frequency,V(onoise)
1.000000000000000e-002,4.069201e-009
1.023292992280754e-002,4.069201e-009
1.047128548050899e-002,4.069201e-009
1.071519305237606e-002,4.069201e-009
1.096478196143185e-002,4.069201e-009
1.122018454301963e-002,4.069201e-009
1.148153621496883e-002,4.069201e-009
1.174897554939529e-002,4.069201e-009
1.202264434617413e-002,4.069201e-009
1.230268770812381e-002,4.069201e-009
1.258925411794167e-002,4.069201e-009
1.288249551693134e-002,4.069201e-009
1.318256738556407e-002,4.069201e-009
1.348962882591653e-002,4.069201e-009
1.380384264602884e-002,4.069201e-009
1.412537544622754e-002,4.069201e-009
1.445439770745927e-002,4.069201e-009
1.479108388168207e-002,4.069201e-009
1.513561248436207e-002,4.069201e-009
1.548816618912481e-002,4.069201e-009
1.584893192461113e-002,4.069201e-009
1.621810097358929e-002,4.069201e-009
1.659586907437560e-002,4.069201e-009
1.698243652461744e-002,4.069201e-009
1.737800828749375e-002,4.069201e-009
1.778279410038922e-002,4.069201e-009
1.819700858609983e-002,4.069201e-009
1.862087136662867e-002,4.069201e-009
1.905460717963246e-002,4.069201e-009
1.949844599758045e-002,4.069201e-009
1.995262314968879e-002,4.069201e-009
2.041737944669528e-002,4.069201e-009
2.089296130854039e-002,4.069201e-009
2.137962089502231e-002,4.069201e-009
2.187761623949552e-002,4.069201e-009
2.238721138568339e-002,4.069201e-009
2.290867652767772e-002,4.069201e-009
2.344228815319921e-002,4.069201e-009
2.398832919019489e-002,4.069201e-009
2.454708915685028e-002,4.069201e-009
2.511886431509578e-002,4.069201e-009
2.570395782768862e-002,4.069201e-009
2.630267991895379e-002,4.069201e-009
2.691534803926913e-002,4.069201e-009
2.754228703338164e-002,4.069201e-009
2.818382931264451e-002,4.069201e-009
2.884031503126603e-002,4.069201e-009
2.951209226666382e-002,4.069201e-009
3.019951720402013e-002,4.069201e-009
3.090295432513587e-002,4.069201e-009
3.162277660168375e-002,4.069201e-009
3.235936569296278e-002,4.069201e-009
3.311311214825906e-002,4.069201e-009
3.388441561392020e-002,4.069201e-009
3.467368504525311e-002,4.069201e-009
3.548133892335749e-002,4.069201e-009
3.630780547701008e-002,4.069201e-009
3.715352290971719e-002,4.069201e-009
3.801893963205606e-002,4.069201e-009
3.890451449942799e-002,4.069201e-009
3.981071705534966e-002,4.069201e-009
4.073802778041120e-002,4.069201e-009
4.168693834703347e-002,4.069201e-009
4.265795188015920e-002,4.069201e-009
4.365158322401652e-002,4.069201e-009
4.466835921509623e-002,4.069201e-009
4.570881896148742e-002,4.069201e-009
4.677351412871973e-002,4.069201e-009
4.786300923226374e-002,4.069201e-009
4.897788193684452e-002,4.069201e-009
5.011872336272712e-002,4.069201e-009
5.128613839913638e-002,4.069201e-009
5.248074602497715e-002,4.069201e-009
5.370317963702516e-002,4.069201e-009
5.495408738576234e-002,4.069201e-009
5.623413251903479e-002,4.069201e-009
5.754399373371557e-002,4.069201e-009
5.888436553555877e-002,4.069201e-009
6.025595860743564e-002,4.069201e-009
6.165950018614807e-002,4.069201e-009
6.309573444801918e-002,4.069201e-009
6.456542290346540e-002,4.069201e-009
6.606934480075945e-002,4.069201e-009
6.760829753919802e-002,4.069201e-009
6.918309709189348e-002,4.069201e-009
7.079457843841361e-002,4.069201e-009
7.244359600749882e-002,4.069201e-009
7.413102413009155e-002,4.069201e-009
7.585775750291818e-002,4.069201e-009
7.762471166286897e-002,4.069201e-009
7.943282347242793e-002,4.069201e-009
8.128305161640970e-002,4.069201e-009
8.317637711026686e-002,4.069201e-009
8.511380382023739e-002,4.069201e-009
8.709635899560780e-002,4.069201e-009
8.912509381337429e-002,4.069201e-009
9.120108393559070e-002,4.069201e-009
9.332543007969883e-002,4.069201e-009
9.549925860214331e-002,4.069201e-009
9.772372209558078e-002,4.069201e-009
9.999999999999970e-002,4.069201e-009
1.023292992280751e-001,4.069201e-009
1.047128548050896e-001,4.069201e-009
1.071519305237603e-001,4.069201e-009
1.096478196143182e-001,4.069201e-009
1.122018454301960e-001,4.069201e-009
1.148153621496879e-001,4.069201e-009
1.174897554939526e-001,4.069201e-009
1.202264434617409e-001,4.069201e-009
1.230268770812378e-001,4.069201e-009
1.258925411794163e-001,4.069201e-009
1.288249551693130e-001,4.069201e-009
1.318256738556403e-001,4.069201e-009
1.348962882591649e-001,4.069201e-009
1.380384264602880e-001,4.069201e-009
1.412537544622749e-001,4.069201e-009
1.445439770745922e-001,4.069201e-009
1.479108388168202e-001,4.069201e-009
1.513561248436203e-001,4.069201e-009
1.548816618912476e-001,4.069201e-009
1.584893192461108e-001,4.069201e-009
1.621810097358924e-001,4.069201e-009
1.659586907437555e-001,4.069201e-009
1.698243652461738e-001,4.069201e-009
1.737800828749369e-001,4.069201e-009
1.778279410038916e-001,4.069201e-009
1.819700858609977e-001,4.069201e-009
1.862087136662861e-001,4.069201e-009
1.905460717963240e-001,4.069201e-009
1.949844599758038e-001,4.069201e-009
1.995262314968872e-001,4.069201e-009
2.041737944669521e-001,4.069201e-009
2.089296130854031e-001,4.069201e-009
2.137962089502223e-001,4.069201e-009
2.187761623949543e-001,4.069201e-009
2.238721138568330e-001,4.069201e-009
2.290867652767764e-001,4.069201e-009
2.344228815319912e-001,4.069201e-009
2.398832919019480e-001,4.069201e-009
2.454708915685020e-001,4.069201e-009
2.511886431509570e-001,4.069201e-009
2.570395782768853e-001,4.069201e-009
2.630267991895371e-001,4.069201e-009
2.691534803926904e-001,4.069201e-009
2.754228703338155e-001,4.069201e-009
2.818382931264442e-001,4.069201e-009
2.884031503126593e-001,4.069201e-009
2.951209226666373e-001,4.069201e-009
3.019951720402003e-001,4.069201e-009
3.090295432513577e-001,4.069201e-009
3.162277660168365e-001,4.069201e-009
3.235936569296268e-001,4.069201e-009
3.311311214825896e-001,4.069201e-009
3.388441561392009e-001,4.069201e-009
3.467368504525300e-001,4.069201e-009
3.548133892335738e-001,4.069201e-009
3.630780547700996e-001,4.069201e-009
3.715352290971707e-001,4.069201e-009
3.801893963205594e-001,4.069201e-009
3.890451449942787e-001,4.069201e-009
3.981071705534953e-001,4.069201e-009
4.073802778041107e-001,4.069201e-009
4.168693834703334e-001,4.069201e-009
4.265795188015906e-001,4.069201e-009
4.365158322401638e-001,4.069201e-009
4.466835921509609e-001,4.069201e-009
4.570881896148728e-001,4.069201e-009
4.677351412871959e-001,4.069201e-009
4.786300923226360e-001,4.069201e-009
4.897788193684438e-001,4.069201e-009
5.011872336272698e-001,4.069201e-009
5.128613839913623e-001,4.069201e-009
5.248074602497700e-001,4.069201e-009
5.370317963702500e-001,4.069201e-009
5.495408738576217e-001,4.069201e-009
5.623413251903462e-001,4.069201e-009
5.754399373371539e-001,4.069201e-009
5.888436553555859e-001,4.069201e-009
6.025595860743546e-001,4.069201e-009
6.165950018614789e-001,4.069201e-009
6.309573444801898e-001,4.069201e-009
6.456542290346520e-001,4.069201e-009
6.606934480075923e-001,4.069201e-009
6.760829753919780e-001,4.069201e-009
6.918309709189326e-001,4.069201e-009
7.079457843841339e-001,4.069201e-009
7.244359600749859e-001,4.069201e-009
7.413102413009133e-001,4.069201e-009
7.585775750291794e-001,4.069201e-009
7.762471166286873e-001,4.069201e-009
7.943282347242769e-001,4.069201e-009
8.128305161640945e-001,4.069201e-009
8.317637711026662e-001,4.069201e-009
8.511380382023716e-001,4.069201e-009
8.709635899560756e-001,4.069201e-009
8.912509381337403e-001,4.069201e-009
9.120108393559044e-001,4.069201e-009
9.332543007969856e-001,4.069201e-009
9.549925860214303e-001,4.069201e-009
9.772372209558049e-001,4.069201e-009
9.999999999999940e-001,4.069201e-009
1.023292992280748e+000,4.069201e-009
1.047128548050893e+000,4.069201e-009
1.071519305237600e+000,4.069201e-009
1.096478196143178e+000,4.069201e-009
1.122018454301957e+000,4.069201e-009
1.148153621496876e+000,4.069201e-009
1.174897554939522e+000,4.069201e-009
1.202264434617406e+000,4.069201e-009
1.230268770812374e+000,4.069201e-009
1.258925411794160e+000,4.069201e-009
1.288249551693126e+000,4.069201e-009
1.318256738556399e+000,4.069201e-009
1.348962882591645e+000,4.069201e-009
1.380384264602876e+000,4.069201e-009
1.412537544622746e+000,4.069201e-009
1.445439770745919e+000,4.069201e-009
1.479108388168198e+000,4.069201e-009
1.513561248436199e+000,4.069201e-009
1.548816618912472e+000,4.069201e-009
1.584893192461103e+000,4.069201e-009
1.621810097358920e+000,4.069201e-009
1.659586907437550e+000,4.069201e-009
1.698243652461734e+000,4.069201e-009
1.737800828749364e+000,4.069201e-009
1.778279410038911e+000,4.069201e-009
1.819700858609971e+000,4.069201e-009
1.862087136662855e+000,4.069200e-009
1.905460717963235e+000,4.069200e-009
1.949844599758032e+000,4.069200e-009
1.995262314968866e+000,4.069200e-009
2.041737944669515e+000,4.069200e-009
2.089296130854025e+000,4.069200e-009
2.137962089502217e+000,4.069200e-009
2.187761623949537e+000,4.069200e-009
2.238721138568323e+000,4.069200e-009
2.290867652767756e+000,4.069200e-009
2.344228815319905e+000,4.069200e-009
2.398832919019473e+000,4.069200e-009
2.454708915685012e+000,4.069199e-009
2.511886431509561e+000,4.069199e-009
2.570395782768844e+000,4.069199e-009
2.630267991895362e+000,4.069199e-009
2.691534803926895e+000,4.069199e-009
2.754228703338145e+000,4.069198e-009
2.818382931264432e+000,4.069198e-009
2.884031503126584e+000,4.069198e-009
2.951209226666363e+000,4.069198e-009
3.019951720401993e+000,4.069197e-009
3.090295432513567e+000,4.069197e-009
3.162277660168355e+000,4.069197e-009
3.235936569296257e+000,4.069197e-009
3.311311214825885e+000,4.069196e-009
3.388441561391999e+000,4.069196e-009
3.467368504525289e+000,4.069195e-009
3.548133892335727e+000,4.069194e-009
3.630780547700985e+000,4.069194e-009
3.715352290971696e+000,4.069193e-009
3.801893963205582e+000,4.069193e-009
3.890451449942775e+000,4.069192e-009
3.981071705534941e+000,4.069191e-009
4.073802778041094e+000,4.069190e-009
4.168693834703320e+000,4.069189e-009
4.265795188015892e+000,4.069188e-009
4.365158322401624e+000,4.069186e-009
4.466835921509595e+000,4.069185e-009
4.570881896148713e+000,4.069183e-009
4.677351412871944e+000,4.069181e-009
4.786300923226344e+000,4.069180e-009
4.897788193684422e+000,4.069177e-009
5.011872336272681e+000,4.069175e-009
5.128613839913606e+000,4.069173e-009
5.248074602497682e+000,4.069170e-009
5.370317963702482e+000,4.069167e-009
5.495408738576200e+000,4.069164e-009
5.623413251903443e+000,4.069161e-009
5.754399373371521e+000,4.069157e-009
5.888436553555840e+000,4.069153e-009
6.025595860743526e+000,4.069148e-009
6.165950018614769e+000,4.069142e-009
6.309573444801878e+000,4.069137e-009
6.456542290346500e+000,4.069131e-009
6.606934480075903e+000,4.069124e-009
6.760829753919760e+000,4.069117e-009
6.918309709189305e+000,4.069109e-009
7.079457843841318e+000,4.069100e-009
7.244359600749839e+000,4.069090e-009
7.413102413009112e+000,4.069079e-009
7.585775750291773e+000,4.069067e-009
7.762471166286851e+000,4.069054e-009
7.943282347242747e+000,4.069041e-009
8.128305161640922e+000,4.069025e-009
8.317637711026638e+000,4.069008e-009
8.511380382023690e+000,4.068990e-009
8.709635899560730e+000,4.068969e-009
8.912509381337378e+000,4.068947e-009
9.120108393559018e+000,4.068922e-009
9.332543007969829e+000,4.068895e-009
9.549925860214275e+000,4.068866e-009
9.772372209558020e+000,4.068834e-009
9.999999999999911e+000,4.068798e-009
1.023292992280745e+001,4.068760e-009
1.047128548050890e+001,4.068717e-009
1.071519305237597e+001,4.068670e-009
1.096478196143175e+001,4.068619e-009
1.122018454301953e+001,4.068563e-009
1.148153621496872e+001,4.068502e-009
1.174897554939519e+001,4.068434e-009
1.202264434617402e+001,4.068360e-009
1.230268770812370e+001,4.068279e-009
1.258925411794155e+001,4.068190e-009
1.288249551693122e+001,4.068093e-009
1.318256738556395e+001,4.067986e-009
1.348962882591641e+001,4.067869e-009
1.380384264602872e+001,4.067740e-009
1.412537544622741e+001,4.067599e-009
1.445439770745914e+001,4.067445e-009
1.479108388168193e+001,4.067275e-009
1.513561248436193e+001,4.067090e-009
1.548816618912466e+001,4.066886e-009
1.584893192461098e+001,4.066663e-009
1.621810097358914e+001,4.066419e-009
1.659586907437544e+001,4.066151e-009
1.698243652461728e+001,4.065857e-009
1.737800828749359e+001,4.065535e-009
1.778279410038905e+001,4.065182e-009
1.819700858609966e+001,4.064795e-009
1.862087136662849e+001,4.064370e-009
1.905460717963229e+001,4.063905e-009
1.949844599758026e+001,4.063395e-009
1.995262314968860e+001,4.062837e-009
2.041737944669509e+001,4.062224e-009
2.089296130854019e+001,4.061553e-009
2.137962089502211e+001,4.060817e-009
2.187761623949531e+001,4.060011e-009
2.238721138568317e+001,4.059129e-009
2.290867652767750e+001,4.058160e-009
2.344228815319899e+001,4.057100e-009
2.398832919019467e+001,4.055939e-009
2.454708915685006e+001,4.054666e-009
2.511886431509555e+001,4.053272e-009
2.570395782768838e+001,4.051745e-009
2.630267991895356e+001,4.050073e-009
2.691534803926889e+001,4.048242e-009
2.754228703338139e+001,4.046237e-009
2.818382931264425e+001,4.044042e-009
2.884031503126576e+001,4.041639e-009
2.951209226666355e+001,4.039010e-009
3.019951720401985e+001,4.036132e-009
3.090295432513559e+001,4.032985e-009
3.162277660168347e+001,4.029541e-009
3.235936569296249e+001,4.025776e-009
3.311311214825876e+001,4.021660e-009
3.388441561391990e+001,4.017161e-009
3.467368504525280e+001,4.012245e-009
3.548133892335717e+001,4.006876e-009
3.630780547700975e+001,4.001013e-009
3.715352290971686e+001,3.994614e-009
3.801893963205572e+001,3.987634e-009
3.890451449942765e+001,3.980021e-009
3.981071705534930e+001,3.971724e-009
4.073802778041084e+001,3.962686e-009
4.168693834703309e+001,3.952846e-009
4.265795188015881e+001,3.942142e-009
4.365158322401612e+001,3.930503e-009
4.466835921509583e+001,3.917860e-009
4.570881896148701e+001,3.904136e-009
4.677351412871931e+001,3.889252e-009
4.786300923226331e+001,3.873126e-009
4.897788193684408e+001,3.855674e-009
5.011872336272667e+001,3.836806e-009
5.128613839913592e+001,3.816432e-009
