frequency,V(onoise)
1.000000000000000e+000,1.287434e-007
1.023292992280754e+000,1.272712e-007
1.047128548050899e+000,1.258158e-007
1.071519305237606e+000,1.243771e-007
1.096478196143185e+000,1.229549e-007
1.122018454301963e+000,1.215490e-007
1.148153621496882e+000,1.201592e-007
1.174897554939529e+000,1.187854e-007
1.202264434617413e+000,1.174272e-007
1.230268770812381e+000,1.160847e-007
1.258925411794167e+000,1.147575e-007
1.288249551693134e+000,1.134456e-007
1.318256738556407e+000,1.121486e-007
1.348962882591653e+000,1.108666e-007
1.380384264602885e+000,1.095992e-007
1.412537544622754e+000,1.083464e-007
1.445439770745927e+000,1.071079e-007
1.479108388168207e+000,1.058836e-007
1.513561248436208e+000,1.046734e-007
1.548816618912481e+000,1.034770e-007
1.584893192461113e+000,1.022944e-007
1.621810097358929e+000,1.011253e-007
1.659586907437560e+000,9.996960e-008
1.698243652461744e+000,9.882717e-008
1.737800828749375e+000,9.769784e-008
1.778279410038922e+000,9.658145e-008
1.819700858609982e+000,9.547786e-008
1.862087136662866e+000,9.438693e-008
1.905460717963246e+000,9.330851e-008
1.949844599758044e+000,9.224246e-008
1.995262314968878e+000,9.118863e-008
2.041737944669527e+000,9.014690e-008
2.089296130854037e+000,8.911711e-008
2.137962089502230e+000,8.809913e-008
2.187761623949550e+000,8.709283e-008
2.238721138568337e+000,8.609807e-008
2.290867652767771e+000,8.511473e-008
2.344228815319919e+000,8.414266e-008
2.398832919019488e+000,8.318175e-008
2.454708915685028e+000,8.223187e-008
2.511886431509577e+000,8.129289e-008
2.570395782768860e+000,8.036468e-008
2.630267991895378e+000,7.944712e-008
2.691534803926912e+000,7.854009e-008
2.754228703338163e+000,7.764348e-008
2.818382931264450e+000,7.675715e-008
2.884031503126602e+000,7.588100e-008
2.951209226666381e+000,7.501490e-008
3.019951720402012e+000,7.415875e-008
3.090295432513586e+000,7.331243e-008
3.162277660168374e+000,7.247582e-008
3.235936569296277e+000,7.164882e-008
3.311311214825905e+000,7.083132e-008
3.388441561392020e+000,7.002321e-008
3.467368504525310e+000,6.922437e-008
3.548133892335748e+000,6.843471e-008
3.630780547701007e+000,6.765412e-008
3.715352290971719e+000,6.688250e-008
3.801893963205605e+000,6.611974e-008
3.890451449942799e+000,6.536575e-008
3.981071705534965e+000,6.462042e-008
4.073802778041119e+000,6.388365e-008
4.168693834703346e+000,6.315534e-008
4.265795188015918e+000,6.243541e-008
4.365158322401651e+000,6.172375e-008
4.466835921509622e+000,6.102028e-008
4.570881896148741e+000,6.032489e-008
4.677351412871972e+000,5.963749e-008
4.786300923226373e+000,5.895800e-008
4.897788193684452e+000,5.828632e-008
5.011872336272712e+000,5.762237e-008
5.128613839913638e+000,5.696604e-008
5.248074602497715e+000,5.631727e-008
5.370317963702516e+000,5.567596e-008
5.495408738576233e+000,5.504203e-008
5.623413251903478e+000,5.441539e-008
5.754399373371556e+000,5.379595e-008
5.888436553555876e+000,5.318365e-008
6.025595860743564e+000,5.257839e-008
6.165950018614807e+000,5.198010e-008
6.309573444801917e+000,5.138869e-008
6.456542290346540e+000,5.080409e-008
6.606934480075944e+000,5.022622e-008
6.760829753919802e+000,4.965499e-008
6.918309709189348e+000,4.909035e-008
7.079457843841362e+000,4.853220e-008
7.244359600749883e+000,4.798048e-008
7.413102413009157e+000,4.743511e-008
7.585775750291819e+000,4.689602e-008
7.762471166286898e+000,4.636314e-008
7.943282347242795e+000,4.583639e-008
8.128305161640972e+000,4.531570e-008
8.317637711026690e+000,4.480102e-008
8.511380382023743e+000,4.429225e-008
8.709635899560784e+000,4.378935e-008
8.912509381337431e+000,4.329223e-008
9.120108393559072e+000,4.280084e-008
9.332543007969884e+000,4.231510e-008
9.549925860214332e+000,4.183495e-008
9.772372209558078e+000,4.136033e-008
9.999999999999970e+000,4.089116e-008
1.023292992280751e+001,4.042739e-008
1.047128548050896e+001,3.996896e-008
1.071519305237603e+001,3.951579e-008
1.096478196143182e+001,3.906783e-008
1.122018454301960e+001,3.862502e-008
1.148153621496879e+001,3.818729e-008
1.174897554939526e+001,3.775458e-008
1.202264434617409e+001,3.732683e-008
1.230268770812378e+001,3.690399e-008
1.258925411794163e+001,3.648599e-008
1.288249551693130e+001,3.607277e-008
1.318256738556403e+001,3.566428e-008
1.348962882591649e+001,3.526045e-008
1.380384264602880e+001,3.486122e-008
1.412537544622749e+001,3.446654e-008
1.445439770745922e+001,3.407635e-008
1.479108388168202e+001,3.369059e-008
1.513561248436203e+001,3.330921e-008
1.548816618912476e+001,3.293213e-008
1.584893192461108e+001,3.255931e-008
1.621810097358924e+001,3.219069e-008
1.659586907437554e+001,3.182620e-008
1.698243652461738e+001,3.146580e-008
1.737800828749369e+001,3.110941e-008
1.778279410038916e+001,3.075698e-008
1.819700858609976e+001,3.040845e-008
1.862087136662860e+001,3.006376e-008
1.905460717963240e+001,2.972284e-008
1.949844599758038e+001,2.938564e-008
1.995262314968872e+001,2.905208e-008
2.041737944669522e+001,2.872211e-008
2.089296130854032e+001,2.839566e-008
2.137962089502224e+001,2.807267e-008
2.187761623949544e+001,2.775305e-008
2.238721138568331e+001,2.743675e-008
2.290867652767764e+001,2.712370e-008
2.344228815319913e+001,2.681380e-008
2.398832919019481e+001,2.650700e-008
2.454708915685020e+001,2.620321e-008
2.511886431509570e+001,2.590236e-008
2.570395782768853e+001,2.560434e-008
2.630267991895371e+001,2.530909e-008
2.691534803926904e+001,2.501651e-008
2.754228703338155e+001,2.472649e-008
2.818382931264442e+001,2.443896e-008
2.884031503126593e+001,2.415379e-008
2.951209226666373e+001,2.387089e-008
3.019951720402003e+001,2.359015e-008
3.090295432513577e+001,2.331143e-008
3.162277660168365e+001,2.303463e-008
3.235936569296268e+001,2.275962e-008
3.311311214825896e+001,2.248625e-008
3.388441561392011e+001,2.221438e-008
3.467368504525301e+001,2.194387e-008
3.548133892335738e+001,2.167456e-008
3.630780547700997e+001,2.140628e-008
3.715352290971708e+001,2.113887e-008
3.801893963205595e+001,2.087214e-008
3.890451449942788e+001,2.060590e-008
3.981071705534954e+001,2.033996e-008
4.073802778041109e+001,2.007411e-008
4.168693834703335e+001,1.980814e-008
4.265795188015907e+001,1.954182e-008
4.365158322401639e+001,1.927493e-008
4.466835921509610e+001,1.900723e-008
4.570881896148729e+001,1.873847e-008
4.677351412871960e+001,1.846840e-008
