frequency,V(onoise),inoise
1.000000000000000e+000,1.381164e-008,1.381166e-012
1.023292992280754e+000,1.381164e-008,1.381166e-012
1.047128548050899e+000,1.381164e-008,1.381166e-012
1.071519305237606e+000,1.381164e-008,1.381166e-012
1.096478196143185e+000,1.381164e-008,1.381166e-012
1.122018454301963e+000,1.381164e-008,1.381166e-012
1.148153621496882e+000,1.381164e-008,1.381166e-012
1.174897554939529e+000,1.381164e-008,1.381166e-012
1.202264434617413e+000,1.381164e-008,1.381166e-012
1.230268770812381e+000,1.381164e-008,1.381166e-012
1.258925411794167e+000,1.381164e-008,1.381166e-012
1.288249551693134e+000,1.381164e-008,1.381166e-012
1.318256738556407e+000,1.381164e-008,1.381166e-012
1.348962882591653e+000,1.381164e-008,1.381166e-012
1.380384264602885e+000,1.381164e-008,1.381166e-012
1.412537544622754e+000,1.381164e-008,1.381166e-012
1.445439770745927e+000,1.381164e-008,1.381166e-012
1.479108388168207e+000,1.381164e-008,1.381166e-012
1.513561248436208e+000,1.381164e-008,1.381166e-012
1.548816618912481e+000,1.381164e-008,1.381166e-012
1.584893192461113e+000,1.381164e-008,1.381166e-012
1.621810097358929e+000,1.381164e-008,1.381166e-012
1.659586907437560e+000,1.381164e-008,1.381166e-012
1.698243652461744e+000,1.381164e-008,1.381166e-012
1.737800828749375e+000,1.381164e-008,1.381166e-012
1.778279410038922e+000,1.381164e-008,1.381166e-012
1.819700858609982e+000,1.381164e-008,1.381166e-012
1.862087136662866e+000,1.381164e-008,1.381166e-012
1.905460717963246e+000,1.381164e-008,1.381166e-012
1.949844599758044e+000,1.381164e-008,1.381166e-012
1.995262314968878e+000,1.381164e-008,1.381166e-012
2.041737944669527e+000,1.381164e-008,1.381166e-012
2.089296130854037e+000,1.381164e-008,1.381166e-012
2.137962089502230e+000,1.381164e-008,1.381166e-012
2.187761623949550e+000,1.381164e-008,1.381166e-012
2.238721138568337e+000,1.381164e-008,1.381166e-012
2.290867652767771e+000,1.381164e-008,1.381166e-012
2.344228815319919e+000,1.381164e-008,1.381166e-012
2.398832919019488e+000,1.381164e-008,1.381166e-012
2.454708915685028e+000,1.381164e-008,1.381166e-012
2.511886431509577e+000,1.381164e-008,1.381166e-012
2.570395782768860e+000,1.381164e-008,1.381166e-012
2.630267991895378e+000,1.381164e-008,1.381166e-012
2.691534803926912e+000,1.381164e-008,1.381166e-012
2.754228703338163e+000,1.381164e-008,1.381166e-012
2.818382931264450e+000,1.381164e-008,1.381166e-012
2.884031503126602e+000,1.381164e-008,1.381166e-012
2.951209226666381e+000,1.381164e-008,1.381166e-012
3.019951720402012e+000,1.381164e-008,1.381166e-012
3.090295432513586e+000,1.381164e-008,1.381166e-012
3.162277660168374e+000,1.381164e-008,1.381166e-012
3.235936569296277e+000,1.381164e-008,1.381166e-012
3.311311214825905e+000,1.381164e-008,1.381166e-012
3.388441561392020e+000,1.381164e-008,1.381166e-012
3.467368504525310e+000,1.381164e-008,1.381166e-012
3.548133892335748e+000,1.381164e-008,1.381166e-012
3.630780547701007e+000,1.381164e-008,1.381166e-012
3.715352290971719e+000,1.381164e-008,1.381166e-012
3.801893963205605e+000,1.381164e-008,1.381166e-012
3.890451449942799e+000,1.381164e-008,1.381166e-012
3.981071705534965e+000,1.381164e-008,1.381166e-012
4.073802778041119e+000,1.381164e-008,1.381166e-012
4.168693834703346e+000,1.381164e-008,1.381166e-012
4.265795188015918e+000,1.381164e-008,1.381166e-012
4.365158322401651e+000,1.381164e-008,1.381166e-012
4.466835921509622e+000,1.381164e-008,1.381166e-012
4.570881896148741e+000,1.381164e-008,1.381166e-012
4.677351412871972e+000,1.381164e-008,1.381166e-012
4.786300923226373e+000,1.381164e-008,1.381166e-012
4.897788193684452e+000,1.381164e-008,1.381166e-012
5.011872336272712e+000,1.381164e-008,1.381166e-012
5.128613839913638e+000,1.381164e-008,1.381166e-012
5.248074602497715e+000,1.381164e-008,1.381166e-012
5.370317963702516e+000,1.381164e-008,1.381166e-012
5.495408738576233e+000,1.381164e-008,1.381166e-012
5.623413251903478e+000,1.381164e-008,1.381166e-012
5.754399373371556e+000,1.381164e-008,1.381166e-012
5.888436553555876e+000,1.381164e-008,1.381166e-012
6.025595860743564e+000,1.381164e-008,1.381166e-012
6.165950018614807e+000,1.381164e-008,1.381166e-012
6.309573444801917e+000,1.381164e-008,1.381166e-012
6.456542290346540e+000,1.381164e-008,1.381166e-012
6.606934480075944e+000,1.381164e-008,1.381166e-012
6.760829753919802e+000,1.381164e-008,1.381166e-012
6.918309709189348e+000,1.381164e-008,1.381166e-012
7.079457843841362e+000,1.381164e-008,1.381166e-012
7.244359600749883e+000,1.381164e-008,1.381166e-012
7.413102413009157e+000,1.381164e-008,1.381166e-012
7.585775750291819e+000,1.381164e-008,1.381166e-012
7.762471166286898e+000,1.381164e-008,1.381166e-012
7.943282347242795e+000,1.381164e-008,1.381166e-012
8.128305161640972e+000,1.381164e-008,1.381166e-012
8.317637711026690e+000,1.381164e-008,1.381166e-012
8.511380382023743e+000,1.381164e-008,1.381166e-012
8.709635899560784e+000,1.381164e-008,1.381166e-012
8.912509381337431e+000,1.381164e-008,1.381166e-012
9.120108393559072e+000,1.381164e-008,1.381166e-012
9.332543007969884e+000,1.381164e-008,1.381166e-012
9.549925860214332e+000,1.381164e-008,1.381166e-012
9.772372209558078e+000,1.381164e-008,1.381166e-012
9.999999999999970e+000,1.381164e-008,1.381166e-012
1.023292992280751e+001,1.381164e-008,1.381166e-012
1.047128548050896e+001,1.381164e-008,1.381166e-012
1.071519305237603e+001,1.381164e-008,1.381166e-012
1.096478196143182e+001,1.381164e-008,1.381166e-012
1.122018454301960e+001,1.381164e-008,1.381166e-012
1.148153621496879e+001,1.381164e-008,1.381166e-012
1.174897554939526e+001,1.381164e-008,1.381166e-012
1.202264434617409e+001,1.381164e-008,1.381166e-012
1.230268770812378e+001,1.381164e-008,1.381166e-012
1.258925411794163e+001,1.381164e-008,1.381166e-012
1.288249551693130e+001,1.381164e-008,1.381166e-012
1.318256738556403e+001,1.381164e-008,1.381166e-012
1.348962882591649e+001,1.381164e-008,1.381166e-012
1.380384264602880e+001,1.381164e-008,1.381166e-012
1.412537544622749e+001,1.381164e-008,1.381166e-012
1.445439770745922e+001,1.381164e-008,1.381166e-012
1.479108388168202e+001,1.381164e-008,1.381166e-012
1.513561248436203e+001,1.381164e-008,1.381166e-012
1.548816618912476e+001,1.381164e-008,1.381166e-012
1.584893192461108e+001,1.381164e-008,1.381166e-012
1.621810097358924e+001,1.381164e-008,1.381166e-012
1.659586907437554e+001,1.381164e-008,1.381166e-012
1.698243652461738e+001,1.381164e-008,1.381166e-012
1.737800828749369e+001,1.381164e-008,1.381166e-012
1.778279410038916e+001,1.381164e-008,1.381166e-012
1.819700858609976e+001,1.381164e-008,1.381166e-012
1.862087136662860e+001,1.381164e-008,1.381166e-012
1.905460717963240e+001,1.381164e-008,1.381166e-012
1.949844599758038e+001,1.381164e-008,1.381166e-012
1.995262314968872e+001,1.381164e-008,1.381166e-012
2.041737944669522e+001,1.381164e-008,1.381166e-012
2.089296130854032e+001,1.381164e-008,1.381166e-012
2.137962089502224e+001,1.381164e-008,1.381166e-012
2.187761623949544e+001,1.381164e-008,1.381166e-012
2.238721138568331e+001,1.381164e-008,1.381166e-012
2.290867652767764e+001,1.381164e-008,1.381166e-012
2.344228815319913e+001,1.381164e-008,1.381166e-012
2.398832919019481e+001,1.381164e-008,1.381166e-012
2.454708915685020e+001,1.381164e-008,1.381166e-012
2.511886431509570e+001,1.381164e-008,1.381166e-012
2.570395782768853e+001,1.381164e-008,1.381166e-012
2.630267991895371e+001,1.381164e-008,1.381166e-012
2.691534803926904e+001,1.381164e-008,1.381166e-012
2.754228703338155e+001,1.381164e-008,1.381166e-012
2.818382931264442e+001,1.381164e-008,1.381166e-012
2.884031503126593e+001,1.381164e-008,1.381166e-012
2.951209226666373e+001,1.381164e-008,1.381166e-012
3.019951720402003e+001,1.381164e-008,1.381166e-012
3.090295432513577e+001,1.381164e-008,1.381166e-012
3.162277660168365e+001,1.381164e-008,1.381166e-012
3.235936569296268e+001,1.381164e-008,1.381166e-012
3.311311214825896e+001,1.381164e-008,1.381166e-012
3.388441561392011e+001,1.381164e-008,1.381166e-012
3.467368504525301e+001,1.381164e-008,1.381166e-012
3.548133892335738e+001,1.381164e-008,1.381166e-012
3.630780547700997e+001,1.381164e-008,1.381166e-012
3.715352290971708e+001,1.381164e-008,1.381166e-012
3.801893963205595e+001,1.381164e-008,1.381166e-012
3.890451449942788e+001,1.381164e-008,1.381166e-012
3.981071705534954e+001,1.381164e-008,1.381166e-012
4.073802778041109e+001,1.381164e-008,1.381166e-012
4.168693834703335e+001,1.381164e-008,1.381166e-012
4.265795188015907e+001,1.381164e-008,1.381166e-012
4.365158322401639e+001,1.381164e-008,1.381166e-012
4.466835921509610e+001,1.381164e-008,1.381166e-012
4.570881896148729e+001,1.381164e-008,1.381166e-012
4.677351412871960e+001,1.381164e-008,1.381166e-012
4.786300923226361e+001,1.381164e-008,1.381166e-012
4.897788193684438e+001,1.381164e-008,1.381166e-012
5.011872336272698e+001,1.381164e-008,1.381166e-012
5.128613839913624e+001,1.381164e-008,1.381166e-012
5.248074602497700e+001,1.381164e-008,1.381166e-012
5.370317963702501e+001,1.381164e-008,1.381166e-012
5.495408738576219e+001,1.381164e-008,1.381166e-012
5.623413251903463e+001,1.381164e-008,1.381166e-012
5.754399373371541e+001,1.381164e-008,1.381166e-012
5.888436553555861e+001,1.381164e-008,1.381166e-012
6.025595860743547e+001,1.381164e-008,1.381166e-012
6.165950018614791e+001,1.381164e-008,1.381166e-012
6.309573444801901e+001,1.381164e-008,1.381166e-012
6.456542290346522e+001,1.381164e-008,1.381166e-012
6.606934480075925e+001,1.381164e-008,1.381166e-012
6.760829753919782e+001,1.381164e-008,1.381166e-012
6.918309709189329e+001,1.381164e-008,1.381166e-012
7.079457843841342e+001,1.381164e-008,1.381166e-012
7.244359600749863e+001,1.381164e-008,1.381166e-012
7.413102413009136e+001,1.381164e-008,1.381166e-012
7.585775750291798e+001,1.381164e-008,1.381166e-012
7.762471166286876e+001,1.381164e-008,1.381166e-012
7.943282347242773e+001,1.381164e-008,1.381166e-012
8.128305161640949e+001,1.381164e-008,1.381166e-012
8.317637711026666e+001,1.381164e-008,1.381166e-012
8.511380382023719e+001,1.381164e-008,1.381166e-012
8.709635899560760e+001,1.381164e-008,1.381166e-012
8.912509381337408e+001,1.381164e-008,1.381166e-012
9.120108393559049e+001,1.381164e-008,1.381166e-012
9.332543007969861e+001,1.381164e-008,1.381166e-012
9.549925860214309e+001,1.381164e-008,1.381166e-012
9.772372209558054e+001,1.381164e-008,1.381166e-012
9.999999999999946e+001,1.381164e-008,1.381166e-012
1.023292992280749e+002,1.381164e-008,1.381166e-012
1.047128548050894e+002,1.381164e-008,1.381166e-012
1.071519305237600e+002,1.381164e-008,1.381166e-012
1.096478196143179e+002,1.381164e-008,1.381166e-012
1.122018454301957e+002,1.381164e-008,1.381166e-012
1.148153621496876e+002,1.381164e-008,1.381166e-012
1.174897554939523e+002,1.381164e-008,1.381166e-012
1.202264434617406e+002,1.381164e-008,1.381166e-012
1.230268770812374e+002,1.381164e-008,1.381166e-012
1.258925411794160e+002,1.381164e-008,1.381166e-012
1.288249551693126e+002,1.381164e-008,1.381166e-012
1.318256738556399e+002,1.381164e-008,1.381166e-012
1.348962882591646e+002,1.381164e-008,1.381166e-012
1.380384264602876e+002,1.381164e-008,1.381166e-012
1.412537544622746e+002,1.381164e-008,1.381166e-012
1.445439770745919e+002,1.381164e-008,1.381166e-012
1.479108388168199e+002,1.381164e-008,1.381166e-012
1.513561248436199e+002,1.381164e-008,1.381166e-012
1.548816618912472e+002,1.381164e-008,1.381166e-012
1.584893192461104e+002,1.381164e-008,1.381166e-012
1.621810097358920e+002,1.381164e-008,1.381166e-012
1.659586907437551e+002,1.381164e-008,1.381166e-012
1.698243652461734e+002,1.381164e-008,1.381166e-012
1.737800828749365e+002,1.381165e-008,1.381166e-012
1.778279410038912e+002,1.381165e-008,1.381166e-012
1.819700858609972e+002,1.381165e-008,1.381166e-012
1.862087136662856e+002,1.381165e-008,1.381166e-012
