Freq.	V(vout2)/I(vs)
1.00000000000000e-002	(6.03049104268833e+001dB,1.79603882490309e+002°)
1.02329299228075e-002	(6.03049167827603e+001dB,1.79594655900652e+002°)
1.04712854805090e-002	(6.03049234378240e+001dB,1.79585214408442e+002°)
1.07151930523761e-002	(6.03049304065256e+001dB,1.79575553008851e+002°)
1.09647819614318e-002	(6.03049377042396e+001dB,1.79565666580502e+002°)
1.12201845430196e-002	(6.03049453452945e+001dB,1.79555549882835e+002°)
1.14815362149688e-002	(6.03049533468842e+001dB,1.79545197553260e+002°)
1.17489755493953e-002	(6.03049617249546e+001dB,1.79534604104372e+002°)
1.20226443461741e-002	(6.03049704984929e+001dB,1.79523763921023e+002°)
1.23026877081238e-002	(6.03049796848577e+001dB,1.79512671257379e+002°)
1.25892541179417e-002	(6.03049893046136e+001dB,1.79501320233827e+002°)
1.28824955169313e-002	(6.03049993776156e+001dB,1.79489704833934e+002°)
1.31825673855641e-002	(6.03050099253022e+001dB,1.79477818901223e+002°)
1.34896288259165e-002	(6.03050209697369e+001dB,1.79465656135949e+002°)
1.38038426460288e-002	(6.03050325351990e+001dB,1.79453210091718e+002°)
1.41253754462275e-002	(6.03050446455256e+001dB,1.79440474172150e+002°)
1.44543977074593e-002	(6.03050573265264e+001dB,1.79427441627341e+002°)
1.47910838816821e-002	(6.03050706046904e+001dB,1.79414105550325e+002°)
1.51356124843621e-002	(6.03050845092708e+001dB,1.79400458873401e+002°)
1.54881661891248e-002	(6.03050990684767e+001dB,1.79386494364448e+002°)
1.58489319246111e-002	(6.03051143142334e+001dB,1.79372204623054e+002°)
1.62181009735893e-002	(6.03051302785086e+001dB,1.79357582076634e+002°)
1.65958690743756e-002	(6.03051469946211e+001dB,1.79342618976443e+002°)
1.69824365246174e-002	(6.03051644987376e+001dB,1.79327307393482e+002°)
1.73780082874937e-002	(6.03051828276530e+001dB,1.79311639214296e+002°)
1.77827941003892e-002	(6.03052020203046e+001dB,1.79295606136734e+002°)
1.81970085860998e-002	(6.03052221171948e+001dB,1.79279199665524e+002°)
1.86208713666287e-002	(6.03052431615500e+001dB,1.79262411107847e+002°)
1.90546071796325e-002	(6.03052651972506e+001dB,1.79245231568731e+002°)
1.94984459975804e-002	(6.03052882718309e+001dB,1.79227651946344e+002°)
1.99526231496888e-002	(6.03053124328807e+001dB,1.79209662927260e+002°)
2.04173794466953e-002	(6.03053377332606e+001dB,1.79191254981486e+002°)
2.08929613085404e-002	(6.03053642253906e+001dB,1.79172418357526e+002°)
2.13796208950223e-002	(6.03053919659945e+001dB,1.79153143077168e+002°)
2.18776162394955e-002	(6.03054210135862e+001dB,1.79133418930298e+002°)
2.23872113856834e-002	(6.03054514300635e+001dB,1.79113235469521e+002°)
2.29086765276777e-002	(6.03054832795855e+001dB,1.79092582004649e+002°)
2.34422881531992e-002	(6.03055166301793e+001dB,1.79071447597106e+002°)
2.39883291901949e-002	(6.03055515523022e+001dB,1.79049821054199e+002°)
2.45470891568503e-002	(6.03055881195702e+001dB,1.79027690923221e+002°)
2.51188643150958e-002	(6.03056264098252e+001dB,1.79005045485463e+002°)
2.57039578276886e-002	(6.03056665044750e+001dB,1.78981872750030e+002°)
2.63026799189538e-002	(6.03057084883110e+001dB,1.78958160447635e+002°)
2.69153480392691e-002	(6.03057524503238e+001dB,1.78933896024119e+002°)
2.75422870333816e-002	(6.03057984834648e+001dB,1.78909066633903e+002°)
2.81838293126445e-002	(6.03058466855914e+001dB,1.78883659133243e+002°)
2.88403150312660e-002	(6.03058971588520e+001dB,1.78857660073417e+002°)
2.95120922666638e-002	(6.03059500100164e+001dB,1.78831055693650e+002°)
3.01995172040201e-002	(6.03060053515525e+001dB,1.78803831913961e+002°)
3.09029543251359e-002	(6.03060633002313e+001dB,1.78775974327800e+002°)
3.16227766016838e-002	(6.03061239788661e+001dB,1.78747468194575e+002°)
3.23593656929628e-002	(6.03061875165499e+001dB,1.78718298431947e+002°)
3.31131121482591e-002	(6.03062540470985e+001dB,1.78688449608035e+002°)
3.38844156139202e-002	(6.03063237121720e+001dB,1.78657905933282e+002°)
3.46736850452531e-002	(6.03063966594321e+001dB,1.78626651252409e+002°)
3.54813389233575e-002	(6.03064730428706e+001dB,1.78594669035946e+002°)
3.63078054770101e-002	(6.03065530246892e+001dB,1.78561942371681e+002°)
3.71535229097172e-002	(6.03066367743682e+001dB,1.78528453955910e+002°)
3.80189396320561e-002	(6.03067244685818e+001dB,1.78494186084521e+002°)
3.89045144994280e-002	(6.03068162941032e+001dB,1.78459120643774e+002°)
3.98107170553497e-002	(6.03069124449434e+001dB,1.78423239101107e+002°)
4.07380277804112e-002	(6.03070131244422e+001dB,1.78386522495436e+002°)
