frequency,V(inoise),V(onoise)
1.000000000000000e+000,1.216842e-007,2.408605e-008
1.023292992280754e+000,1.199995e-007,2.404076e-008
1.047128548050899e+000,1.183429e-007,2.399633e-008
1.071519305237606e+000,1.167131e-007,2.395279e-008
1.096478196143185e+000,1.151087e-007,2.391014e-008
1.122018454301963e+000,1.135284e-007,2.386840e-008
1.148153621496882e+000,1.119707e-007,2.382759e-008
1.174897554939529e+000,1.104346e-007,2.378771e-008
1.202264434617413e+000,1.089188e-007,2.374879e-008
1.230268770812381e+000,1.074221e-007,2.371081e-008
1.258925411794167e+000,1.059436e-007,2.367378e-008
1.288249551693134e+000,1.044821e-007,2.363771e-008
1.318256738556407e+000,1.030368e-007,2.360260e-008
1.348962882591653e+000,1.016067e-007,2.356843e-008
1.380384264602885e+000,1.001910e-007,2.353521e-008
1.412537544622754e+000,9.878890e-008,2.350293e-008
1.445439770745927e+000,9.739971e-008,2.347159e-008
1.479108388168207e+000,9.602275e-008,2.344116e-008
1.513561248436208e+000,9.465741e-008,2.341165e-008
1.548816618912481e+000,9.330315e-008,2.338303e-008
1.584893192461113e+000,9.195949e-008,2.335530e-008
1.621810097358929e+000,9.062597e-008,2.332845e-008
1.659586907437560e+000,8.930223e-008,2.330245e-008
1.698243652461744e+000,8.798793e-008,2.327729e-008
1.737800828749375e+000,8.668280e-008,2.325295e-008
1.778279410038922e+000,8.538661e-008,2.322941e-008
1.819700858609982e+000,8.409918e-008,2.320667e-008
1.862087136662866e+000,8.282038e-008,2.318470e-008
1.905460717963246e+000,8.155011e-008,2.316347e-008
1.949844599758044e+000,8.028832e-008,2.314297e-008
1.995262314968878e+000,7.903498e-008,2.312319e-008
2.041737944669527e+000,7.779014e-008,2.310409e-008
2.089296130854037e+000,7.655384e-008,2.308567e-008
2.137962089502230e+000,7.532615e-008,2.306790e-008
2.187761623949550e+000,7.410719e-008,2.305076e-008
2.238721138568337e+000,7.289709e-008,2.303423e-008
2.290867652767771e+000,7.169601e-008,2.301829e-008
2.344228815319919e+000,7.050412e-008,2.300293e-008
2.398832919019488e+000,6.932161e-008,2.298812e-008
2.454708915685028e+000,6.814869e-008,2.297384e-008
2.511886431509577e+000,6.698556e-008,2.296008e-008
2.570395782768860e+000,6.583246e-008,2.294681e-008
2.630267991895378e+000,6.468960e-008,2.293402e-008
2.691534803926912e+000,6.355724e-008,2.292168e-008
2.754228703338163e+000,6.243559e-008,2.290979e-008
2.818382931264450e+000,6.132490e-008,2.289832e-008
2.884031503126602e+000,6.022540e-008,2.288725e-008
2.951209226666381e+000,5.913732e-008,2.287657e-008
3.019951720402012e+000,5.806088e-008,2.286627e-008
3.090295432513586e+000,5.699630e-008,2.285631e-008
3.162277660168374e+000,5.594380e-008,2.284670e-008
3.235936569296277e+000,5.490357e-008,2.283741e-008
3.311311214825905e+000,5.387581e-008,2.282843e-008
3.388441561392020e+000,5.286068e-008,2.281974e-008
3.467368504525310e+000,5.185837e-008,2.281132e-008
3.548133892335748e+000,5.086903e-008,2.280317e-008
3.630780547701007e+000,4.989281e-008,2.279527e-008
3.715352290971719e+000,4.892982e-008,2.278760e-008
3.801893963205605e+000,4.798020e-008,2.278016e-008
3.890451449942799e+000,4.704403e-008,2.277292e-008
3.981071705534965e+000,4.612142e-008,2.276588e-008
4.073802778041119e+000,4.521243e-008,2.275902e-008
4.168693834703346e+000,4.431714e-008,2.275233e-008
4.265795188015918e+000,4.343558e-008,2.274579e-008
4.365158322401651e+000,4.256779e-008,2.273940e-008
4.466835921509622e+000,4.171379e-008,2.273315e-008
4.570881896148741e+000,4.087360e-008,2.272701e-008
4.677351412871972e+000,4.004720e-008,2.272098e-008
4.786300923226373e+000,3.923459e-008,2.271506e-008
4.897788193684452e+000,3.843573e-008,2.270922e-008
5.011872336272712e+000,3.765059e-008,2.270345e-008
5.128613839913638e+000,3.687912e-008,2.269775e-008
5.248074602497715e+000,3.612126e-008,2.269211e-008
5.370317963702516e+000,3.537694e-008,2.268651e-008
5.495408738576233e+000,3.464609e-008,2.268093e-008
5.623413251903478e+000,3.392861e-008,2.267539e-008
5.754399373371556e+000,3.322441e-008,2.266985e-008
5.888436553555876e+000,3.253340e-008,2.266432e-008
6.025595860743564e+000,3.185545e-008,2.265877e-008
6.165950018614807e+000,3.119047e-008,2.265321e-008
6.309573444801917e+000,3.053831e-008,2.264762e-008
6.456542290346540e+000,2.989886e-008,2.264198e-008
6.606934480075944e+000,2.927198e-008,2.263630e-008
6.760829753919802e+000,2.865754e-008,2.263055e-008
6.918309709189348e+000,2.805538e-008,2.262473e-008
7.079457843841362e+000,2.746538e-008,2.261883e-008
7.244359600749883e+000,2.688738e-008,2.261284e-008
7.413102413009157e+000,2.632122e-008,2.260674e-008
7.585775750291819e+000,2.576675e-008,2.260053e-008
7.762471166286898e+000,2.522382e-008,2.259419e-008
7.943282347242795e+000,2.469227e-008,2.258772e-008
8.128305161640972e+000,2.417193e-008,2.258110e-008
8.317637711026690e+000,2.366264e-008,2.257432e-008
8.511380382023743e+000,2.316425e-008,2.256737e-008
8.709635899560784e+000,2.267658e-008,2.256025e-008
8.912509381337431e+000,2.219948e-008,2.255293e-008
9.120108393559072e+000,2.173277e-008,2.254541e-008
9.332543007969884e+000,2.127630e-008,2.253767e-008
9.549925860214332e+000,2.082990e-008,2.252971e-008
9.772372209558078e+000,2.039340e-008,2.252151e-008
9.999999999999970e+000,1.996665e-008,2.251306e-008
1.023292992280751e+001,1.954947e-008,2.250435e-008
1.047128548050896e+001,1.914172e-008,2.249536e-008
1.071519305237603e+001,1.874322e-008,2.248609e-008
1.096478196143182e+001,1.835382e-008,2.247653e-008
1.122018454301960e+001,1.797336e-008,2.246665e-008
1.148153621496879e+001,1.760169e-008,2.245645e-008
1.174897554939526e+001,1.723864e-008,2.244592e-008
1.202264434617409e+001,1.688406e-008,2.243504e-008
1.230268770812378e+001,1.653780e-008,2.242381e-008
1.258925411794163e+001,1.619972e-008,2.241221e-008
1.288249551693130e+001,1.586965e-008,2.240022e-008
1.318256738556403e+001,1.554746e-008,2.238785e-008
1.348962882591649e+001,1.523300e-008,2.237507e-008
1.380384264602880e+001,1.492612e-008,2.236188e-008
1.412537544622749e+001,1.462669e-008,2.234826e-008
1.445439770745922e+001,1.433456e-008,2.233421e-008
1.479108388168202e+001,1.404960e-008,2.231971e-008
1.513561248436203e+001,1.377168e-008,2.230476e-008
1.548816618912476e+001,1.350065e-008,2.228934e-008
1.584893192461108e+001,1.323638e-008,2.227345e-008
1.621810097358924e+001,1.297875e-008,2.225708e-008
