Freq.	V(vout)
1.00000000000000e-002	(3.21965286511104e+001dB,1.79999828235766e+002°)
1.02329299228075e-002	(3.21965286511086e+001dB,1.79999824234864e+002°)
1.04712854805090e-002	(3.21965286511066e+001dB,1.79999820140768e+002°)
1.07151930523761e-002	(3.21965286511046e+001dB,1.79999815951308e+002°)
1.09647819614318e-002	(3.21965286511025e+001dB,1.79999811664263e+002°)
1.12201845430196e-002	(3.21965286511003e+001dB,1.79999807277360e+002°)
1.14815362149688e-002	(3.21965286510980e+001dB,1.79999802788273e+002°)
1.17489755493953e-002	(3.21965286510955e+001dB,1.79999798194622e+002°)
1.20226443461741e-002	(3.21965286510930e+001dB,1.79999793493971e+002°)
1.23026877081238e-002	(3.21965286510904e+001dB,1.79999788683828e+002°)
1.25892541179417e-002	(3.21965286510876e+001dB,1.79999783761642e+002°)
1.28824955169313e-002	(3.21965286510847e+001dB,1.79999778724803e+002°)
1.31825673855641e-002	(3.21965286510816e+001dB,1.79999773570642e+002°)
1.34896288259165e-002	(3.21965286510784e+001dB,1.79999768296424e+002°)
1.38038426460288e-002	(3.21965286510751e+001dB,1.79999762899355e+002°)
1.41253754462275e-002	(3.21965286510716e+001dB,1.79999757376571e+002°)
1.44543977074593e-002	(3.21965286510679e+001dB,1.79999751725146e+002°)
1.47910838816821e-002	(3.21965286510640e+001dB,1.79999745942081e+002°)
1.51356124843621e-002	(3.21965286510600e+001dB,1.79999740024312e+002°)
1.54881661891248e-002	(3.21965286510558e+001dB,1.79999733968701e+002°)
1.58489319246111e-002	(3.21965286510514e+001dB,1.79999727772036e+002°)
1.62181009735893e-002	(3.21965286510468e+001dB,1.79999721431032e+002°)
1.65958690743756e-002	(3.21965286510419e+001dB,1.79999714942327e+002°)
1.69824365246174e-002	(3.21965286510369e+001dB,1.79999708302481e+002°)
1.73780082874937e-002	(3.21965286510316e+001dB,1.79999701507973e+002°)
1.77827941003892e-002	(3.21965286510260e+001dB,1.79999694555200e+002°)
1.81970085860998e-002	(3.21965286510202e+001dB,1.79999687440477e+002°)
1.86208713666287e-002	(3.21965286510141e+001dB,1.79999680160030e+002°)
1.90546071796325e-002	(3.21965286510077e+001dB,1.79999672710000e+002°)
1.94984459975804e-002	(3.21965286510010e+001dB,1.79999665086437e+002°)
1.99526231496888e-002	(3.21965286509941e+001dB,1.79999657285298e+002°)
2.04173794466953e-002	(3.21965286509867e+001dB,1.79999649302447e+002°)
2.08929613085404e-002	(3.21965286509791e+001dB,1.79999641133651e+002°)
2.13796208950223e-002	(3.21965286509710e+001dB,1.79999632774580e+002°)
2.18776162394955e-002	(3.21965286509626e+001dB,1.79999624220802e+002°)
2.23872113856834e-002	(3.21965286509538e+001dB,1.79999615467780e+002°)
2.29086765276777e-002	(3.21965286509446e+001dB,1.79999606510874e+002°)
2.34422881531992e-002	(3.21965286509350e+001dB,1.79999597345334e+002°)
2.39883291901949e-002	(3.21965286509248e+001dB,1.79999587966302e+002°)
2.45470891568503e-002	(3.21965286509143e+001dB,1.79999578368805e+002°)
2.51188643150958e-002	(3.21965286509032e+001dB,1.79999568547752e+002°)
2.57039578276886e-002	(3.21965286508916e+001dB,1.79999558497939e+002°)
2.63026799189538e-002	(3.21965286508794e+001dB,1.79999548214034e+002°)
2.69153480392691e-002	(3.21965286508667e+001dB,1.79999537690587e+002°)
2.75422870333816e-002	(3.21965286508534e+001dB,1.79999526922018e+002°)
2.81838293126445e-002	(3.21965286508394e+001dB,1.79999515902616e+002°)
2.88403150312660e-002	(3.21965286508248e+001dB,1.79999504626539e+002°)
2.95120922666638e-002	(3.21965286508095e+001dB,1.79999493087809e+002°)
3.01995172040201e-002	(3.21965286507935e+001dB,1.79999481280307e+002°)
3.09029543251359e-002	(3.21965286507767e+001dB,1.79999469197774e+002°)
3.16227766016838e-002	(3.21965286507592e+001dB,1.79999456833802e+002°)
3.23593656929628e-002	(3.21965286507408e+001dB,1.79999444181835e+002°)
3.31131121482591e-002	(3.21965286507215e+001dB,1.79999431235167e+002°)
3.38844156139202e-002	(3.21965286507013e+001dB,1.79999417986932e+002°)
3.46736850452531e-002	(3.21965286506802e+001dB,1.79999404430106e+002°)
3.54813389233575e-002	(3.21965286506581e+001dB,1.79999390557502e+002°)
3.63078054770101e-002	(3.21965286506350e+001dB,1.79999376361762e+002°)
3.71535229097172e-002	(3.21965286506107e+001dB,1.79999361835361e+002°)
