frequency,V(onoise)/gain
1.000000000000000e+000,4.584830e-009
1.023292992280754e+000,4.534546e-009
1.047128548050899e+000,4.484861e-009
1.071519305237606e+000,4.435771e-009
1.096478196143185e+000,4.387267e-009
1.122018454301963e+000,4.339343e-009
1.148153621496882e+000,4.291993e-009
1.174897554939529e+000,4.245211e-009
1.202264434617413e+000,4.198990e-009
1.230268770812381e+000,4.153324e-009
1.258925411794167e+000,4.108208e-009
1.288249551693134e+000,4.063635e-009
1.318256738556407e+000,4.019598e-009
1.348962882591653e+000,3.976093e-009
1.380384264602885e+000,3.933113e-009
1.412537544622754e+000,3.890653e-009
1.445439770745927e+000,3.848707e-009
1.479108388168207e+000,3.807270e-009
1.513561248436208e+000,3.766335e-009
1.548816618912481e+000,3.725897e-009
1.584893192461113e+000,3.685952e-009
1.621810097358929e+000,3.646492e-009
1.659586907437560e+000,3.607514e-009
1.698243652461744e+000,3.569012e-009
1.737800828749375e+000,3.530982e-009
1.778279410038922e+000,3.493416e-009
1.819700858609982e+000,3.456312e-009
1.862087136662866e+000,3.419663e-009
1.905460717963246e+000,3.383464e-009
1.949844599758044e+000,3.347712e-009
1.995262314968878e+000,3.312401e-009
2.041737944669527e+000,3.277525e-009
2.089296130854037e+000,3.243082e-009
2.137962089502230e+000,3.209065e-009
2.187761623949550e+000,3.175471e-009
2.238721138568337e+000,3.142294e-009
2.290867652767771e+000,3.109531e-009
2.344228815319919e+000,3.077176e-009
2.398832919019488e+000,3.045226e-009
2.454708915685028e+000,3.013676e-009
2.511886431509577e+000,2.982521e-009
2.570395782768860e+000,2.951758e-009
2.630267991895378e+000,2.921383e-009
2.691534803926912e+000,2.891390e-009
2.754228703338163e+000,2.861777e-009
2.818382931264450e+000,2.832538e-009
2.884031503126602e+000,2.803671e-009
2.951209226666381e+000,2.775170e-009
3.019951720402012e+000,2.747033e-009
3.090295432513586e+000,2.719255e-009
3.162277660168374e+000,2.691832e-009
3.235936569296277e+000,2.664761e-009
3.311311214825905e+000,2.638037e-009
3.388441561392020e+000,2.611658e-009
3.467368504525310e+000,2.585619e-009
3.548133892335748e+000,2.559917e-009
3.630780547701007e+000,2.534549e-009
3.715352290971719e+000,2.509510e-009
3.801893963205605e+000,2.484797e-009
3.890451449942799e+000,2.460407e-009
3.981071705534965e+000,2.436336e-009
4.073802778041119e+000,2.412582e-009
4.168693834703346e+000,2.389139e-009
4.265795188015918e+000,2.366006e-009
4.365158322401651e+000,2.343179e-009
4.466835921509622e+000,2.320655e-009
4.570881896148741e+000,2.298430e-009
4.677351412871972e+000,2.276501e-009
4.786300923226373e+000,2.254866e-009
4.897788193684452e+000,2.233520e-009
5.011872336272712e+000,2.212462e-009
5.128613839913638e+000,2.191687e-009
5.248074602497715e+000,2.171193e-009
5.370317963702516e+000,2.150977e-009
5.495408738576233e+000,2.131036e-009
5.623413251903478e+000,2.111367e-009
5.754399373371556e+000,2.091967e-009
5.888436553555876e+000,2.072833e-009
6.025595860743564e+000,2.053963e-009
