frequency,(V(onoise)-4*4.11*1e(U+2212)21*1e6)/(1e6)
1.000000000000000e+000,1.871942e-013
1.023292992280754e+000,1.851428e-013
1.047128548050899e+000,1.831158e-013
1.071519305237606e+000,1.811131e-013
1.096478196143185e+000,1.791344e-013
1.122018454301963e+000,1.771793e-013
1.148153621496882e+000,1.752477e-013
1.174897554939529e+000,1.733392e-013
1.202264434617413e+000,1.714537e-013
1.230268770812381e+000,1.695908e-013
1.258925411794167e+000,1.677504e-013
1.288249551693134e+000,1.659321e-013
1.318256738556407e+000,1.641358e-013
1.348962882591653e+000,1.623611e-013
1.380384264602885e+000,1.606079e-013
1.412537544622754e+000,1.588760e-013
1.445439770745927e+000,1.571650e-013
1.479108388168207e+000,1.554747e-013
1.513561248436208e+000,1.538050e-013
1.548816618912481e+000,1.521556e-013
1.584893192461113e+000,1.505263e-013
1.621810097358929e+000,1.489168e-013
1.659586907437560e+000,1.473270e-013
1.698243652461744e+000,1.457567e-013
1.737800828749375e+000,1.442055e-013
1.778279410038922e+000,1.426734e-013
1.819700858609982e+000,1.411601e-013
1.862087136662866e+000,1.396654e-013
1.905460717963246e+000,1.381891e-013
1.949844599758044e+000,1.367310e-013
1.995262314968878e+000,1.352909e-013
2.041737944669527e+000,1.338687e-013
2.089296130854037e+000,1.324640e-013
2.137962089502230e+000,1.310768e-013
2.187761623949550e+000,1.297068e-013
2.238721138568337e+000,1.283539e-013
2.290867652767771e+000,1.270179e-013
2.344228815319919e+000,1.256985e-013
2.398832919019488e+000,1.243957e-013
2.454708915685028e+000,1.231092e-013
2.511886431509577e+000,1.218389e-013
2.570395782768860e+000,1.205845e-013
2.630267991895378e+000,1.193460e-013
2.691534803926912e+000,1.181231e-013
2.754228703338163e+000,1.169157e-013
2.818382931264450e+000,1.157236e-013
2.884031503126602e+000,1.145467e-013
2.951209226666381e+000,1.133847e-013
3.019951720402012e+000,1.122376e-013
3.090295432513586e+000,1.111051e-013
3.162277660168374e+000,1.099872e-013
3.235936569296277e+000,1.088836e-013
3.311311214825905e+000,1.077942e-013
3.388441561392020e+000,1.067189e-013
3.467368504525310e+000,1.056575e-013
3.548133892335748e+000,1.046098e-013
3.630780547701007e+000,1.035758e-013
3.715352290971719e+000,1.025552e-013
3.801893963205605e+000,1.015479e-013
3.890451449942799e+000,1.005539e-013
3.981071705534965e+000,9.957282e-014
4.073802778041119e+000,9.860468e-014
4.168693834703346e+000,9.764931e-014
4.265795188015918e+000,9.670656e-014
4.365158322401651e+000,9.577631e-014
4.466835921509622e+000,9.485842e-014
4.570881896148741e+000,9.395276e-014
4.677351412871972e+000,9.305921e-014
4.786300923226373e+000,9.217762e-014
4.897788193684452e+000,9.130788e-014
5.011872336272712e+000,9.044985e-014
5.128613839913638e+000,8.960343e-014
5.248074602497715e+000,8.876847e-014
5.370317963702516e+000,8.794485e-014
5.495408738576233e+000,8.713246e-014
5.623413251903478e+000,8.633118e-014
5.754399373371556e+000,8.554090e-014
5.888436553555876e+000,8.476147e-014
6.025595860743564e+000,8.399281e-014
6.165950018614807e+000,8.323479e-014
6.309573444801917e+000,8.248728e-014
6.456542290346540e+000,8.175019e-014
6.606934480075944e+000,8.102341e-014
6.760829753919802e+000,8.030680e-014
6.918309709189348e+000,7.960028e-014
7.079457843841362e+000,7.890374e-014
7.244359600749883e+000,7.821705e-014
7.413102413009157e+000,7.754012e-014
7.585775750291819e+000,7.687284e-014
7.762471166286898e+000,7.621510e-014
7.943282347242795e+000,7.556681e-014
8.128305161640972e+000,7.492785e-014
8.317637711026690e+000,7.429814e-014
8.511380382023743e+000,7.367755e-014
8.709635899560784e+000,7.306600e-014
8.912509381337431e+000,7.246338e-014
9.120108393559072e+000,7.186960e-014
9.332543007969884e+000,7.128455e-014
9.549925860214332e+000,7.070815e-014
9.772372209558078e+000,7.014030e-014
9.999999999999970e+000,6.958089e-014
1.023292992280751e+001,6.902983e-014
1.047128548050896e+001,6.848703e-014
1.071519305237603e+001,6.795241e-014
1.096478196143182e+001,6.742585e-014
1.122018454301960e+001,6.690728e-014
1.148153621496879e+001,6.639660e-014
1.174897554939526e+001,6.589372e-014
1.202264434617409e+001,6.539855e-014
1.230268770812378e+001,6.491101e-014
1.258925411794163e+001,6.443099e-014
1.288249551693130e+001,6.395842e-014
1.318256738556403e+001,6.349322e-014
1.348962882591649e+001,6.303528e-014
1.380384264602880e+001,6.258453e-014
1.412537544622749e+001,6.214089e-014
1.445439770745922e+001,6.170426e-014
1.479108388168202e+001,6.127456e-014
1.513561248436203e+001,6.085172e-014
1.548816618912476e+001,6.043564e-014
1.584893192461108e+001,6.002624e-014
1.621810097358924e+001,5.962345e-014
1.659586907437554e+001,5.922718e-014
1.698243652461738e+001,5.883735e-014
1.737800828749369e+001,5.845389e-014
1.778279410038916e+001,5.807670e-014
1.819700858609976e+001,5.770572e-014
