frequency,V(onoise),V(rs)
1.000000000000000e+000,2.015652e-006,1.968545e-006
1.023292992280754e+000,2.015462e-006,1.968545e-006
1.047128548050899e+000,2.015276e-006,1.968545e-006
1.071519305237606e+000,2.015094e-006,1.968545e-006
1.096478196143185e+000,2.014916e-006,1.968545e-006
1.122018454301963e+000,2.014743e-006,1.968545e-006
1.148153621496882e+000,2.014573e-006,1.968545e-006
1.174897554939529e+000,2.014407e-006,1.968545e-006
1.202264434617413e+000,2.014245e-006,1.968545e-006
1.230268770812381e+000,2.014086e-006,1.968545e-006
1.258925411794167e+000,2.013932e-006,1.968545e-006
1.288249551693134e+000,2.013780e-006,1.968545e-006
1.318256738556407e+000,2.013632e-006,1.968545e-006
1.348962882591653e+000,2.013488e-006,1.968545e-006
1.380384264602885e+000,2.013347e-006,1.968545e-006
1.412537544622754e+000,2.013209e-006,1.968545e-006
1.445439770745927e+000,2.013074e-006,1.968545e-006
1.479108388168207e+000,2.012942e-006,1.968545e-006
1.513561248436208e+000,2.012813e-006,1.968545e-006
1.548816618912481e+000,2.012687e-006,1.968545e-006
1.584893192461113e+000,2.012564e-006,1.968545e-006
1.621810097358929e+000,2.012443e-006,1.968545e-006
1.659586907437560e+000,2.012326e-006,1.968545e-006
1.698243652461744e+000,2.012211e-006,1.968545e-006
1.737800828749375e+000,2.012099e-006,1.968545e-006
1.778279410038922e+000,2.011989e-006,1.968545e-006
1.819700858609982e+000,2.011882e-006,1.968545e-006
1.862087136662866e+000,2.011777e-006,1.968545e-006
1.905460717963246e+000,2.011674e-006,1.968545e-006
1.949844599758044e+000,2.011574e-006,1.968545e-006
1.995262314968878e+000,2.011477e-006,1.968545e-006
2.041737944669527e+000,2.011381e-006,1.968545e-006
2.089296130854037e+000,2.011288e-006,1.968545e-006
2.137962089502230e+000,2.011196e-006,1.968545e-006
2.187761623949550e+000,2.011107e-006,1.968545e-006
2.238721138568337e+000,2.011020e-006,1.968545e-006
2.290867652767771e+000,2.010934e-006,1.968545e-006
2.344228815319919e+000,2.010851e-006,1.968545e-006
2.398832919019488e+000,2.010770e-006,1.968545e-006
2.454708915685028e+000,2.010690e-006,1.968545e-006
2.511886431509577e+000,2.010612e-006,1.968545e-006
2.570395782768860e+000,2.010536e-006,1.968545e-006
