frequency,V(onoise),V(r1)
1.000000000000000e-002,2.689353e-006,8.142654e-007
1.023292992280754e-002,2.661480e-006,8.142654e-007
1.047128548050899e-002,2.633957e-006,8.142654e-007
1.071519305237606e-002,2.606780e-006,8.142654e-007
1.096478196143185e-002,2.579945e-006,8.142654e-007
1.122018454301963e-002,2.553448e-006,8.142654e-007
1.148153621496883e-002,2.527286e-006,8.142654e-007
1.174897554939529e-002,2.501455e-006,8.142654e-007
1.202264434617413e-002,2.475951e-006,8.142654e-007
1.230268770812381e-002,2.450772e-006,8.142654e-007
1.258925411794167e-002,2.425914e-006,8.142654e-007
1.288249551693134e-002,2.401373e-006,8.142654e-007
1.318256738556407e-002,2.377145e-006,8.142654e-007
1.348962882591653e-002,2.353228e-006,8.142654e-007
1.380384264602884e-002,2.329619e-006,8.142654e-007
1.412537544622754e-002,2.306313e-006,8.142654e-007
1.445439770745927e-002,2.283308e-006,8.142654e-007
1.479108388168207e-002,2.260600e-006,8.142654e-007
1.513561248436207e-002,2.238187e-006,8.142654e-007
1.548816618912481e-002,2.216065e-006,8.142654e-007
1.584893192461113e-002,2.194231e-006,8.142654e-007
1.621810097358929e-002,2.172683e-006,8.142654e-007
1.659586907437560e-002,2.151416e-006,8.142654e-007
1.698243652461744e-002,2.130428e-006,8.142654e-007
1.737800828749375e-002,2.109716e-006,8.142654e-007
1.778279410038922e-002,2.089277e-006,8.142654e-007
1.819700858609983e-002,2.069109e-006,8.142654e-007
1.862087136662867e-002,2.049207e-006,8.142654e-007
1.905460717963246e-002,2.029571e-006,8.142654e-007
1.949844599758045e-002,2.010196e-006,8.142654e-007
1.995262314968879e-002,1.991079e-006,8.142654e-007
2.041737944669528e-002,1.972219e-006,8.142654e-007
2.089296130854039e-002,1.953613e-006,8.142654e-007
2.137962089502231e-002,1.935257e-006,8.142654e-007
2.187761623949552e-002,1.917149e-006,8.142654e-007
2.238721138568339e-002,1.899287e-006,8.142654e-007
2.290867652767772e-002,1.881667e-006,8.142654e-007
2.344228815319921e-002,1.864287e-006,8.142654e-007
2.398832919019489e-002,1.847146e-006,8.142654e-007
2.454708915685028e-002,1.830239e-006,8.142654e-007
2.511886431509578e-002,1.813565e-006,8.142654e-007
2.570395782768862e-002,1.797120e-006,8.142654e-007
2.630267991895379e-002,1.780904e-006,8.142654e-007
2.691534803926913e-002,1.764913e-006,8.142654e-007
2.754228703338164e-002,1.749144e-006,8.142654e-007
2.818382931264451e-002,1.733596e-006,8.142654e-007
2.884031503126603e-002,1.718266e-006,8.142654e-007
2.951209226666382e-002,1.703151e-006,8.142654e-007
3.019951720402013e-002,1.688250e-006,8.142654e-007
3.090295432513587e-002,1.673560e-006,8.142654e-007
3.162277660168375e-002,1.659079e-006,8.142654e-007
3.235936569296278e-002,1.644804e-006,8.142654e-007
3.311311214825906e-002,1.630733e-006,8.142654e-007
3.388441561392020e-002,1.616864e-006,8.142654e-007
3.467368504525311e-002,1.603195e-006,8.142654e-007
3.548133892335749e-002,1.589724e-006,8.142654e-007
3.630780547701008e-002,1.576448e-006,8.142654e-007
3.715352290971719e-002,1.563366e-006,8.142654e-007
3.801893963205606e-002,1.550474e-006,8.142654e-007
3.890451449942799e-002,1.537772e-006,8.142654e-007
3.981071705534966e-002,1.525256e-006,8.142654e-007
4.073802778041120e-002,1.512925e-006,8.142654e-007
4.168693834703347e-002,1.500778e-006,8.142654e-007
4.265795188015920e-002,1.488811e-006,8.142654e-007
4.365158322401652e-002,1.477022e-006,8.142654e-007
4.466835921509623e-002,1.465411e-006,8.142654e-007
4.570881896148742e-002,1.453974e-006,8.142654e-007
4.677351412871973e-002,1.442710e-006,8.142654e-007
4.786300923226374e-002,1.431616e-006,8.142654e-007
4.897788193684452e-002,1.420692e-006,8.142654e-007
5.011872336272712e-002,1.409934e-006,8.142654e-007
5.128613839913638e-002,1.399341e-006,8.142654e-007
5.248074602497715e-002,1.388912e-006,8.142654e-007
5.370317963702516e-002,1.378643e-006,8.142654e-007
5.495408738576234e-002,1.368534e-006,8.142654e-007
5.623413251903479e-002,1.358583e-006,8.142654e-007
5.754399373371557e-002,1.348787e-006,8.142654e-007
5.888436553555877e-002,1.339144e-006,8.142654e-007
6.025595860743564e-002,1.329654e-006,8.142654e-007
6.165950018614807e-002,1.320314e-006,8.142654e-007
6.309573444801918e-002,1.311122e-006,8.142654e-007
6.456542290346540e-002,1.302076e-006,8.142654e-007
6.606934480075945e-002,1.293176e-006,8.142654e-007
6.760829753919802e-002,1.284418e-006,8.142654e-007
6.918309709189348e-002,1.275802e-006,8.142654e-007
7.079457843841361e-002,1.267325e-006,8.142654e-007
7.244359600749882e-002,1.258986e-006,8.142654e-007
7.413102413009155e-002,1.250783e-006,8.142654e-007
7.585775750291818e-002,1.242715e-006,8.142654e-007
7.762471166286897e-002,1.234779e-006,8.142654e-007
7.943282347242793e-002,1.226974e-006,8.142654e-007
8.128305161640970e-002,1.219299e-006,8.142654e-007
8.317637711026686e-002,1.211752e-006,8.142654e-007
8.511380382023739e-002,1.204330e-006,8.142654e-007
8.709635899560780e-002,1.197033e-006,8.142654e-007
8.912509381337429e-002,1.189859e-006,8.142654e-007
9.120108393559070e-002,1.182806e-006,8.142654e-007
9.332543007969883e-002,1.175873e-006,8.142654e-007
9.549925860214331e-002,1.169058e-006,8.142654e-007
9.772372209558078e-002,1.162359e-006,8.142654e-007
9.999999999999970e-002,1.155776e-006,8.142654e-007
1.023292992280751e-001,1.149306e-006,8.142654e-007
1.047128548050896e-001,1.142948e-006,8.142654e-007
1.071519305237603e-001,1.136700e-006,8.142654e-007
