Freq.	V(v-)	V(vout)
1.00000000000000e-002	(2.12612583217060e+001dB,1.80111213184437e-005°)	(1.19999880928018e+002dB,1.79999999500788e+002°)
1.02329299228075e-002	(2.12612583217060e+001dB,1.84306542311476e-005°)	(1.19999880928018e+002dB,1.79999999489159e+002°)
1.04712854805090e-002	(2.12612583215311e+001dB,1.88599593151885e-005°)	(1.19999880928018e+002dB,1.79999999477260e+002°)
1.07151930523761e-002	(2.12612583215311e+001dB,1.92992642050284e-005°)	(1.19999880928018e+002dB,1.79999999465084e+002°)
1.09647819614318e-002	(2.12612583215311e+001dB,1.97488018164550e-005°)	(1.19999880928018e+002dB,1.79999999452624e+002°)
1.12201845430196e-002	(2.12612583214437e+001dB,2.02088105059319e-005°)	(1.19999880928018e+002dB,1.79999999439874e+002°)
1.14815362149688e-002	(2.12612583217935e+001dB,2.06795341705527e-005°)	(1.19999880928018e+002dB,1.79999999426827e+002°)
1.17489755493953e-002	(2.12612583215312e+001dB,2.11612224028359e-005°)	(1.19999880928018e+002dB,1.79999999413477e+002°)
1.20226443461741e-002	(2.12612583214438e+001dB,2.16541305915888e-005°)	(1.19999880928018e+002dB,1.79999999399815e+002°)
1.23026877081238e-002	(2.12612583214438e+001dB,2.21585200867433e-005°)	(1.19999880928018e+002dB,1.79999999385835e+002°)
1.25892541179417e-002	(2.12612583216188e+001dB,2.26746583266977e-005°)	(1.19999880928018e+002dB,1.79999999371529e+002°)
1.28824955169313e-002	(2.12612583215313e+001dB,2.32028189666646e-005°)	(1.19999880928018e+002dB,1.79999999356890e+002°)
1.31825673855641e-002	(2.12612583217937e+001dB,2.37432820483734e-005°)	(1.19999880928018e+002dB,1.79999999341910e+002°)
1.34896288259165e-002	(2.12612583211816e+001dB,2.42963341398471e-005°)	(1.19999880928018e+002dB,1.79999999326581e+002°)
1.38038426460288e-002	(2.12612583216189e+001dB,2.48622684603580e-005°)	(1.19999880928018e+002dB,1.79999999310895e+002°)
1.41253754462275e-002	(2.12612583212691e+001dB,2.54413850910792e-005°)	(1.19999880928018e+002dB,1.79999999294844e+002°)
1.44543977074593e-002	(2.12612583213566e+001dB,2.60339910736226e-005°)	(1.19999880928018e+002dB,1.79999999278418e+002°)
1.47910838816821e-002	(2.12612583211818e+001dB,2.66404006234363e-005°)	(1.19999880928018e+002dB,1.79999999261611e+002°)
1.51356124843621e-002	(2.12612583214442e+001dB,2.72609352707804e-005°)	(1.19999880928018e+002dB,1.79999999244411e+002°)
1.54881661891248e-002	(2.12612583216191e+001dB,2.78959240270911e-005°)	(1.19999880928018e+002dB,1.79999999226811e+002°)
1.58489319246111e-002	(2.12612583215317e+001dB,2.85457035728019e-005°)	(1.19999880928018e+002dB,1.79999999208802e+002°)
1.62181009735893e-002	(2.12612583214443e+001dB,2.92106184241656e-005°)	(1.19999880928018e+002dB,1.79999999190372e+002°)
1.65958690743756e-002	(2.12612583216193e+001dB,2.98910211293388e-005°)	(1.19999880928018e+002dB,1.79999999171514e+002°)
1.69824365246174e-002	(2.12612583216193e+001dB,3.05872724567872e-005°)	(1.19999880928018e+002dB,1.79999999152216e+002°)
1.73780082874937e-002	(2.12612583216194e+001dB,3.12997415580817e-005°)	(1.19999880928018e+002dB,1.79999999132468e+002°)
1.77827941003892e-002	(2.12612583214445e+001dB,3.20288061989532e-005°)	(1.19999880928018e+002dB,1.79999999112261e+002°)
1.81970085860998e-002	(2.12612583214446e+001dB,3.27748529310829e-005°)	(1.19999880928018e+002dB,1.79999999091583e+002°)
