Freq.	V(test)/I(Test)
1.00000000000000e-002	(2.64150619617360e-003dB,1.67137905017607e-008°)
1.02329299228075e-002	(2.64150619617360e-003dB,1.71031046949004e-008°)
1.04712854805090e-002	(2.64150619617360e-003dB,1.75014871805356e-008°)
1.07151930523761e-002	(2.64150619617360e-003dB,1.79091491863336e-008°)
1.09647819614318e-002	(2.64150619617360e-003dB,1.83263068600857e-008°)
1.12201845430196e-002	(2.64150619617360e-003dB,1.87531813843127e-008°)
1.14815362149688e-002	(2.64150619617360e-003dB,1.91899990935369e-008°)
1.17489755493953e-002	(2.64150619617360e-003dB,1.96369915942903e-008°)
1.20226443461741e-002	(2.64150619617360e-003dB,2.00943958879133e-008°)
1.23026877081238e-002	(2.64150619617360e-003dB,2.05624544962168e-008°)
1.25892541179417e-002	(2.64150619617360e-003dB,2.10414155900706e-008°)
1.28824955169313e-002	(2.64150619617360e-003dB,2.15315331209864e-008°)
1.31825673855641e-002	(2.64150619617360e-003dB,2.20330669557663e-008°)
1.34896288259165e-002	(2.64150619617360e-003dB,2.25462830142883e-008°)
1.38038426460288e-002	(2.64150619617360e-003dB,2.30714534104999e-008°)
1.41253754462275e-002	(2.64150619617360e-003dB,2.36088565966963e-008°)
1.44543977074593e-002	(2.64150619617360e-003dB,2.41587775111607e-008°)
1.47910838816821e-002	(2.64150619617360e-003dB,2.47215077292404e-008°)
1.51356124843621e-002	(2.64150619617360e-003dB,2.52973456179464e-008°)
1.54881661891248e-002	(2.64150619617360e-003dB,2.58865964941488e-008°)
1.58489319246111e-002	(2.64150619617360e-003dB,2.64895727864619e-008°)
1.62181009735893e-002	(2.64150619617360e-003dB,2.71065942008975e-008°)
1.65958690743756e-002	(2.64150619617360e-003dB,2.77379878903766e-008°)
1.69824365246174e-002	(2.64150619617360e-003dB,2.83840886281906e-008°)
1.73780082874937e-002	(2.64150619617360e-003dB,2.90452389855033e-008°)
1.77827941003892e-002	(2.64150619617360e-003dB,2.97217895129855e-008°)
1.81970085860998e-002	(2.64150619617360e-003dB,3.04140989266814e-008°)
1.86208713666287e-002	(2.64150619617360e-003dB,3.11225342982066e-008°)
1.90546071796325e-002	(2.64150619617360e-003dB,3.18474712493725e-008°)
1.94984459975804e-002	(2.64150619617360e-003dB,3.25892941513456e-008°)
1.99526231496888e-002	(2.64150619617360e-003dB,3.33483963284480e-008°)
2.04173794466953e-002	(2.64150619617360e-003dB,3.41251802667023e-008°)
2.08929613085404e-002	(2.64150619617360e-003dB,3.49200578272338e-008°)
2.13796208950223e-002	(2.64150619617360e-003dB,3.57334504646473e-008°)
