time,V(vout),I(Iin)
0.000000000000000e+000,3.483278e-003,0.000000e+000
4.571428315257112e-010,3.484248e-003,9.142857e-009
9.142856630514224e-010,3.483885e-003,1.828571e-008
1.371428494577134e-009,3.482188e-003,2.742857e-008
1.828571326102845e-009,3.479157e-003,3.657143e-008
2.285714157628556e-009,3.474792e-003,4.571428e-008
2.742856989154267e-009,3.469093e-003,5.485714e-008
3.199999820679977e-009,3.462060e-003,6.400000e-008
6.399999641359955e-009,3.210794e-003,1.280000e-007
9.378746447029620e-009,2.532318e-003,1.875749e-007
1.221224140358687e-008,1.291504e-003,2.442448e-007
1.476710619511902e-008,-4.407984e-004,2.953421e-007
1.757659153931955e-008,-3.111365e-003,3.515318e-007
2.158321015132278e-008,-8.441224e-003,4.316642e-007
2.834276110370584e-008,-2.178233e-002,5.668552e-007
3.945439247864883e-008,-5.600481e-002,7.890878e-007
5.898564247864882e-008,-1.520906e-001,1.179713e-006
7.851689247864882e-008,-2.901820e-001,1.570338e-006
8.437246504270235e-008,-3.390616e-001,1.687449e-006
9.217989512810705e-008,-4.090254e-001,1.843598e-006
1.000000000000000e-007,-4.843143e-001,2.000000e-006
1.007820104871893e-007,-4.921431e-001,2.000000e-006
1.023460314615679e-007,-5.078892e-001,2.000000e-006
1.054740734103251e-007,-5.398090e-001,2.000000e-006
1.100737761658780e-007,-5.872736e-001,2.000000e-006
1.192731816769839e-007,-6.813979e-001,2.000000e-006
1.376719926991956e-007,-8.575359e-001,2.000000e-006
1.572032426991956e-007,-1.021617e+000,2.000000e-006
1.767344926991956e-007,-1.162347e+000,2.000000e-006
1.962657426991956e-007,-1.282784e+000,2.000000e-006
2.157969926991956e-007,-1.385832e+000,2.000000e-006
2.353282426991956e-007,-1.474002e+000,2.000000e-006
2.548594926991956e-007,-1.549442e+000,2.000000e-006
2.743907426991956e-007,-1.613989e+000,2.000000e-006
2.939219926991956e-007,-1.669217e+000,2.000000e-006
3.134532426991956e-007,-1.716470e+000,2.000000e-006
3.329844926991956e-007,-1.756901e+000,2.000000e-006
