frequency,V(onoise),V(r1)
1.000000000000000e-001,9.066277e-007,8.141371e-007
1.023292992280754e-001,9.048363e-007,8.141371e-007
1.047128548050900e-001,9.030822e-007,8.141371e-007
1.071519305237607e-001,9.013648e-007,8.141371e-007
1.096478196143185e-001,8.996832e-007,8.141371e-007
1.122018454301964e-001,8.980370e-007,8.141371e-007
1.148153621496883e-001,8.964253e-007,8.141371e-007
1.174897554939530e-001,8.948474e-007,8.141371e-007
1.202264434617413e-001,8.933028e-007,8.141371e-007
1.230268770812382e-001,8.917907e-007,8.141371e-007
1.258925411794167e-001,8.903106e-007,8.141371e-007
1.288249551693134e-001,8.888618e-007,8.141371e-007
1.318256738556407e-001,8.874437e-007,8.141371e-007
1.348962882591653e-001,8.860557e-007,8.141371e-007
1.380384264602884e-001,8.846972e-007,8.141371e-007
1.412537544622754e-001,8.833675e-007,8.141371e-007
1.445439770745927e-001,8.820662e-007,8.141371e-007
1.479108388168207e-001,8.807927e-007,8.141371e-007
1.513561248436207e-001,8.795464e-007,8.141371e-007
1.548816618912480e-001,8.783267e-007,8.141371e-007
1.584893192461112e-001,8.771332e-007,8.141371e-007
1.621810097358929e-001,8.759653e-007,8.141371e-007
1.659586907437559e-001,8.748224e-007,8.141371e-007
1.698243652461743e-001,8.737041e-007,8.141371e-007
1.737800828749374e-001,8.726099e-007,8.141371e-007
1.778279410038921e-001,8.715392e-007,8.141371e-007
1.819700858609982e-001,8.704917e-007,8.141371e-007
1.862087136662866e-001,8.694668e-007,8.141371e-007
1.905460717963245e-001,8.684640e-007,8.141371e-007
1.949844599758043e-001,8.674830e-007,8.141371e-007
1.995262314968878e-001,8.665232e-007,8.141371e-007
2.041737944669527e-001,8.655842e-007,8.141371e-007
2.089296130854037e-001,8.646657e-007,8.141371e-007
2.137962089502230e-001,8.637670e-007,8.141371e-007
2.187761623949550e-001,8.628879e-007,8.141371e-007
2.238721138568337e-001,8.620280e-007,8.141371e-007
2.290867652767770e-001,8.611868e-007,8.141371e-007
2.344228815319919e-001,8.603640e-007,8.141371e-007
2.398832919019487e-001,8.595592e-007,8.141371e-007
2.454708915685027e-001,8.587719e-007,8.141371e-007
2.511886431509577e-001,8.580019e-007,8.141371e-007
2.570395782768861e-001,8.572487e-007,8.141371e-007
2.630267991895379e-001,8.565120e-007,8.141371e-007
2.691534803926912e-001,8.557915e-007,8.141371e-007
2.754228703338163e-001,8.550868e-007,8.141371e-007
2.818382931264450e-001,8.543976e-007,8.141371e-007
2.884031503126602e-001,8.537235e-007,8.141371e-007
2.951209226666382e-001,8.530643e-007,8.141371e-007
3.019951720402012e-001,8.524195e-007,8.141371e-007
3.090295432513586e-001,8.517890e-007,8.141371e-007
3.162277660168375e-001,8.511723e-007,8.141371e-007
3.235936569296278e-001,8.505693e-007,8.141371e-007
3.311311214825907e-001,8.499796e-007,8.141371e-007
3.388441561392021e-001,8.494030e-007,8.141371e-007
3.467368504525312e-001,8.488390e-007,8.141371e-007
3.548133892335750e-001,8.482875e-007,8.141371e-007
3.630780547701009e-001,8.477483e-007,8.141371e-007
3.715352290971720e-001,8.472210e-007,8.141371e-007
3.801893963205607e-001,8.467053e-007,8.141371e-007
3.890451449942800e-001,8.462012e-007,8.141371e-007
3.981071705534967e-001,8.457082e-007,8.141371e-007
4.073802778041121e-001,8.452261e-007,8.141371e-007
4.168693834703348e-001,8.447548e-007,8.141371e-007
4.265795188015920e-001,8.442939e-007,8.141371e-007
4.365158322401653e-001,8.438433e-007,8.141371e-007
4.466835921509624e-001,8.434026e-007,8.141371e-007
4.570881896148742e-001,8.429719e-007,8.141371e-007
4.677351412871974e-001,8.425507e-007,8.141371e-007
4.786300923226375e-001,8.421388e-007,8.141371e-007
4.897788193684454e-001,8.417362e-007,8.141371e-007
5.011872336272715e-001,8.413425e-007,8.141371e-007
5.128613839913641e-001,8.409577e-007,8.141371e-007
5.248074602497718e-001,8.405814e-007,8.141371e-007
5.370317963702519e-001,8.402135e-007,8.141371e-007
5.495408738576236e-001,8.398538e-007,8.141371e-007
5.623413251903481e-001,8.395022e-007,8.141371e-007
5.754399373371559e-001,8.391584e-007,8.141371e-007
5.888436553555879e-001,8.388224e-007,8.141371e-007
6.025595860743567e-001,8.384938e-007,8.141371e-007
6.165950018614811e-001,8.381726e-007,8.141371e-007
6.309573444801921e-001,8.378586e-007,8.141371e-007
