frequency,V(onoise),V(r1)
1.000000000000000e-001,8.110442e-007,8.142654e-008
1.023292992280754e-001,8.018780e-007,8.142654e-008
1.047128548050900e-001,7.928180e-007,8.142654e-008
1.071519305237607e-001,7.838631e-007,8.142654e-008
1.096478196143185e-001,7.750122e-007,8.142654e-008
1.122018454301964e-001,7.662638e-007,8.142654e-008
1.148153621496883e-001,7.576170e-007,8.142654e-008
1.174897554939530e-001,7.490707e-007,8.142654e-008
1.202264434617413e-001,7.406236e-007,8.142654e-008
1.230268770812382e-001,7.322747e-007,8.142654e-008
1.258925411794167e-001,7.240228e-007,8.142654e-008
1.288249551693134e-001,7.158667e-007,8.142654e-008
1.318256738556407e-001,7.078057e-007,8.142654e-008
1.348962882591653e-001,6.998384e-007,8.142654e-008
1.380384264602884e-001,6.919638e-007,8.142654e-008
1.412537544622754e-001,6.841809e-007,8.142654e-008
1.445439770745927e-001,6.764887e-007,8.142654e-008
1.479108388168207e-001,6.688861e-007,8.142654e-008
1.513561248436207e-001,6.613722e-007,8.142654e-008
1.548816618912480e-001,6.539458e-007,8.142654e-008
1.584893192461112e-001,6.466062e-007,8.142654e-008
1.621810097358929e-001,6.393522e-007,8.142654e-008
1.659586907437559e-001,6.321828e-007,8.142654e-008
1.698243652461743e-001,6.250973e-007,8.142654e-008
1.737800828749374e-001,6.180946e-007,8.142654e-008
1.778279410038921e-001,6.111738e-007,8.142654e-008
1.819700858609982e-001,6.043339e-007,8.142654e-008
1.862087136662866e-001,5.975741e-007,8.142654e-008
1.905460717963245e-001,5.908935e-007,8.142654e-008
1.949844599758043e-001,5.842912e-007,8.142654e-008
1.995262314968878e-001,5.777662e-007,8.142654e-008
2.041737944669527e-001,5.713178e-007,8.142654e-008
2.089296130854037e-001,5.649451e-007,8.142654e-008
2.137962089502230e-001,5.586472e-007,8.142654e-008
2.187761623949550e-001,5.524233e-007,8.142654e-008
2.238721138568337e-001,5.462725e-007,8.142654e-008
2.290867652767770e-001,5.401942e-007,8.142654e-008
2.344228815319919e-001,5.341873e-007,8.142654e-008
2.398832919019487e-001,5.282512e-007,8.142654e-008
2.454708915685027e-001,5.223851e-007,8.142654e-008
2.511886431509577e-001,5.165881e-007,8.142654e-008
2.570395782768861e-001,5.108595e-007,8.142654e-008
2.630267991895379e-001,5.051987e-007,8.142654e-008
2.691534803926912e-001,4.996047e-007,8.142654e-008
2.754228703338163e-001,4.940768e-007,8.142654e-008
2.818382931264450e-001,4.886143e-007,8.142654e-008
2.884031503126602e-001,4.832166e-007,8.142654e-008
2.951209226666382e-001,4.778828e-007,8.142654e-008
3.019951720402012e-001,4.726122e-007,8.142654e-008
3.090295432513586e-001,4.674042e-007,8.142654e-008
3.162277660168375e-001,4.622582e-007,8.142654e-008
3.235936569296278e-001,4.571732e-007,8.142654e-008
3.311311214825907e-001,4.521488e-007,8.142654e-008
3.388441561392021e-001,4.471842e-007,8.142654e-008
3.467368504525312e-001,4.422787e-007,8.142654e-008
3.548133892335750e-001,4.374319e-007,8.142654e-008
3.630780547701009e-001,4.326428e-007,8.142654e-008
3.715352290971720e-001,4.279110e-007,8.142654e-008
3.801893963205607e-001,4.232358e-007,8.142654e-008
3.890451449942800e-001,4.186166e-007,8.142654e-008
3.981071705534967e-001,4.140527e-007,8.142654e-008
4.073802778041121e-001,4.095436e-007,8.142654e-008
4.168693834703348e-001,4.050887e-007,8.142654e-008
4.265795188015920e-001,4.006873e-007,8.142654e-008
4.365158322401653e-001,3.963389e-007,8.142654e-008
4.466835921509624e-001,3.920428e-007,8.142654e-008
4.570881896148742e-001,3.877986e-007,8.142654e-008
4.677351412871974e-001,3.836056e-007,8.142654e-008
4.786300923226375e-001,3.794633e-007,8.142654e-008
4.897788193684454e-001,3.753712e-007,8.142654e-008
5.011872336272715e-001,3.713286e-007,8.142654e-008
5.128613839913641e-001,3.673350e-007,8.142654e-008
5.248074602497718e-001,3.633900e-007,8.142654e-008
5.370317963702519e-001,3.594930e-007,8.142654e-008
5.495408738576236e-001,3.556434e-007,8.142654e-008
5.623413251903481e-001,3.518407e-007,8.142654e-008
5.754399373371559e-001,3.480845e-007,8.142654e-008
5.888436553555879e-001,3.443742e-007,8.142654e-008
6.025595860743567e-001,3.407093e-007,8.142654e-008
6.165950018614811e-001,3.370893e-007,8.142654e-008
6.309573444801921e-001,3.335138e-007,8.142654e-008
6.456542290346544e-001,3.299822e-007,8.142654e-008
6.606934480075949e-001,3.264942e-007,8.142654e-008
6.760829753919806e-001,3.230491e-007,8.142654e-008
6.918309709189353e-001,3.196466e-007,8.142654e-008
7.079457843841367e-001,3.162862e-007,8.142654e-008
7.244359600749888e-001,3.129674e-007,8.142654e-008
7.413102413009162e-001,3.096898e-007,8.142654e-008
7.585775750291823e-001,3.064529e-007,8.142654e-008
7.762471166286903e-001,3.032564e-007,8.142654e-008
7.943282347242799e-001,3.000997e-007,8.142654e-008
8.128305161640976e-001,2.969825e-007,8.142654e-008
8.317637711026693e-001,2.939042e-007,8.142654e-008
8.511380382023747e-001,2.908646e-007,8.142654e-008
8.709635899560788e-001,2.878632e-007,8.142654e-008
8.912509381337437e-001,2.848995e-007,8.142654e-008
9.120108393559078e-001,2.819732e-007,8.142654e-008
9.332543007969890e-001,2.790839e-007,8.142654e-008
9.549925860214339e-001,2.762311e-007,8.142654e-008
9.772372209558086e-001,2.734145e-007,8.142654e-008
9.999999999999978e-001,2.706337e-007,8.142654e-008
1.023292992280752e+000,2.678884e-007,8.142654e-008
1.047128548050897e+000,2.651780e-007,8.142654e-008
1.071519305237604e+000,2.625024e-007,8.142654e-008
1.096478196143182e+000,2.598610e-007,8.142654e-008
1.122018454301961e+000,2.572535e-007,8.142654e-008
1.148153621496880e+000,2.546796e-007,8.142654e-008
1.174897554939527e+000,2.521389e-007,8.142654e-008
1.202264434617410e+000,2.496311e-007,8.142654e-008
1.230268770812378e+000,2.471558e-007,8.142654e-008
1.258925411794164e+000,2.447126e-007,8.142654e-008
1.288249551693131e+000,2.423012e-007,8.142654e-008
1.318256738556404e+000,2.399213e-007,8.142654e-008
1.348962882591650e+000,2.375726e-007,8.142654e-008
1.380384264602881e+000,2.352546e-007,8.142654e-008
1.412537544622750e+000,2.329672e-007,8.142654e-008
1.445439770745923e+000,2.307099e-007,8.142654e-008
1.479108388168203e+000,2.284824e-007,8.142654e-008
1.513561248436204e+000,2.262845e-007,8.142654e-008
1.548816618912477e+000,2.241157e-007,8.142654e-008
1.584893192461109e+000,2.219759e-007,8.142654e-008
1.621810097358925e+000,2.198646e-007,8.142654e-008
1.659586907437555e+000,2.177817e-007,8.142654e-008
1.698243652461739e+000,2.157267e-007,8.142654e-008
1.737800828749370e+000,2.136994e-007,8.142654e-008
1.778279410038917e+000,2.116995e-007,8.142654e-008
1.819700858609977e+000,2.097267e-007,8.142654e-008
1.862087136662861e+000,2.077807e-007,8.142654e-008
1.905460717963241e+000,2.058613e-007,8.142654e-008
1.949844599758039e+000,2.039680e-007,8.142654e-008
1.995262314968873e+000,2.021008e-007,8.142654e-008
2.041737944669523e+000,2.002592e-007,8.142654e-008
2.089296130854033e+000,1.984430e-007,8.142654e-008
2.137962089502225e+000,1.966520e-007,8.142654e-008
2.187761623949545e+000,1.948859e-007,8.142654e-008
2.238721138568332e+000,1.931443e-007,8.142654e-008
2.290867652767766e+000,1.914271e-007,8.142654e-008
2.344228815319914e+000,1.897339e-007,8.142654e-008
2.398832919019482e+000,1.880646e-007,8.142654e-008
2.454708915685022e+000,1.864188e-007,8.142654e-008
2.511886431509572e+000,1.847963e-007,8.142654e-008
2.570395782768855e+000,1.831969e-007,8.142654e-008
2.630267991895373e+000,1.816203e-007,8.142654e-008
2.691534803926906e+000,1.800662e-007,8.142654e-008
2.754228703338157e+000,1.785344e-007,8.142654e-008
2.818382931264444e+000,1.770247e-007,8.142654e-008
2.884031503126595e+000,1.755368e-007,8.142654e-008
