Freq.	V(vout)
1.00000000000000e-002	(9.99998994588574e+001dB,1.79999999846807e+002°)
1.02329299228075e-002	(9.99998994588574e+001dB,1.79999999843239e+002°)
1.04712854805090e-002	(9.99998994588574e+001dB,1.79999999839588e+002°)
1.07151930523761e-002	(9.99998994588574e+001dB,1.79999999835851e+002°)
1.09647819614318e-002	(9.99998994588574e+001dB,1.79999999832028e+002°)
1.12201845430196e-002	(9.99998994588574e+001dB,1.79999999828115e+002°)
1.14815362149688e-002	(9.99998994588574e+001dB,1.79999999824111e+002°)
1.17489755493953e-002	(9.99998994588574e+001dB,1.79999999820014e+002°)
1.20226443461741e-002	(9.99998994588574e+001dB,1.79999999815822e+002°)
1.23026877081238e-002	(9.99998994588574e+001dB,1.79999999811532e+002°)
1.25892541179417e-002	(9.99998994588574e+001dB,1.79999999807142e+002°)
1.28824955169313e-002	(9.99998994588574e+001dB,1.79999999802650e+002°)
1.31825673855641e-002	(9.99998994588574e+001dB,1.79999999798053e+002°)
1.34896288259165e-002	(9.99998994588574e+001dB,1.79999999793349e+002°)
1.38038426460288e-002	(9.99998994588574e+001dB,1.79999999788535e+002°)
1.41253754462275e-002	(9.99998994588574e+001dB,1.79999999783610e+002°)
1.44543977074593e-002	(9.99998994588574e+001dB,1.79999999778569e+002°)
1.47910838816821e-002	(9.99998994588574e+001dB,1.79999999773411e+002°)
1.51356124843621e-002	(9.99998994588574e+001dB,1.79999999768133e+002°)
1.54881661891248e-002	(9.99998994588574e+001dB,1.79999999762733e+002°)
1.58489319246111e-002	(9.99998994588574e+001dB,1.79999999757206e+002°)
1.62181009735893e-002	(9.99998994588574e+001dB,1.79999999751551e+002°)
1.65958690743756e-002	(9.99998994588574e+001dB,1.79999999745763e+002°)
1.69824365246174e-002	(9.99998994588574e+001dB,1.79999999739841e+002°)
1.73780082874937e-002	(9.99998994588574e+001dB,1.79999999733782e+002°)
1.77827941003892e-002	(9.99998994588574e+001dB,1.79999999727581e+002°)
1.81970085860998e-002	(9.99998994588574e+001dB,1.79999999721235e+002°)
1.86208713666287e-002	(9.99998994588574e+001dB,1.79999999714742e+002°)
1.90546071796325e-002	(9.99998994588574e+001dB,1.79999999708097e+002°)
1.94984459975804e-002	(9.99998994588574e+001dB,1.79999999701298e+002°)
1.99526231496888e-002	(9.99998994588574e+001dB,1.79999999694340e+002°)
2.04173794466953e-002	(9.99998994588574e+001dB,1.79999999687221e+002°)
2.08929613085404e-002	(9.99998994588574e+001dB,1.79999999679935e+002°)
2.13796208950223e-002	(9.99998994588574e+001dB,1.79999999672480e+002°)
2.18776162394955e-002	(9.99998994588574e+001dB,1.79999999664851e+002°)
2.23872113856834e-002	(9.99998994588574e+001dB,1.79999999657044e+002°)
2.29086765276777e-002	(9.99998994588574e+001dB,1.79999999649056e+002°)
2.34422881531992e-002	(9.99998994588574e+001dB,1.79999999640881e+002°)
2.39883291901949e-002	(9.99998994588574e+001dB,1.79999999632516e+002°)
2.45470891568503e-002	(9.99998994588574e+001dB,1.79999999623956e+002°)
2.51188643150958e-002	(9.99998994588574e+001dB,1.79999999615197e+002°)
2.57039578276886e-002	(9.99998994588574e+001dB,1.79999999606234e+002°)
2.63026799189538e-002	(9.99998994588574e+001dB,1.79999999597062e+002°)
2.69153480392691e-002	(9.99998994588574e+001dB,1.79999999587676e+002°)
2.75422870333816e-002	(9.99998994588574e+001dB,1.79999999578072e+002°)
2.81838293126445e-002	(9.99998994588574e+001dB,1.79999999568244e+002°)
2.88403150312660e-002	(9.99998994588574e+001dB,1.79999999558187e+002°)
2.95120922666638e-002	(9.99998994588574e+001dB,1.79999999547896e+002°)
3.01995172040201e-002	(9.99998994588574e+001dB,1.79999999537365e+002°)
3.09029543251359e-002	(9.99998994588574e+001dB,1.79999999526589e+002°)
3.16227766016838e-002	(9.99998994588574e+001dB,1.79999999515562e+002°)
3.23593656929628e-002	(9.99998994588574e+001dB,1.79999999504278e+002°)
3.31131121482591e-002	(9.99998994588574e+001dB,1.79999999492731e+002°)
3.38844156139202e-002	(9.99998994588574e+001dB,1.79999999480915e+002°)
3.46736850452531e-002	(9.99998994588574e+001dB,1.79999999468824e+002°)
3.54813389233575e-002	(9.99998994588574e+001dB,1.79999999456452e+002°)
3.63078054770101e-002	(9.99998994588574e+001dB,1.79999999443791e+002°)
3.71535229097172e-002	(9.99998994588574e+001dB,1.79999999430835e+002°)
3.80189396320561e-002	(9.99998994588574e+001dB,1.79999999417578e+002°)
3.89045144994280e-002	(9.99998994588574e+001dB,1.79999999404011e+002°)
3.98107170553497e-002	(9.99998994588574e+001dB,1.79999999390129e+002°)
4.07380277804112e-002	(9.99998994588574e+001dB,1.79999999375923e+002°)
4.16869383470335e-002	(9.99998994588574e+001dB,1.79999999361386e+002°)
4.26579518801592e-002	(9.99998994588574e+001dB,1.79999999346511e+002°)
4.36515832240165e-002	(9.99998994588574e+001dB,1.79999999331290e+002°)
4.46683592150962e-002	(9.99998994588574e+001dB,1.79999999315713e+002°)
4.57088189614874e-002	(9.99998994588574e+001dB,1.79999999299774e+002°)
4.67735141287197e-002	(9.99998994588574e+001dB,1.79999999283464e+002°)
4.78630092322637e-002	(9.99998994588574e+001dB,1.79999999266774e+002°)
4.89778819368445e-002	(9.99998994588574e+001dB,1.79999999249695e+002°)
5.01187233627271e-002	(9.99998994588574e+001dB,1.79999999232218e+002°)
5.12861383991364e-002	(9.99998994588574e+001dB,1.79999999214334e+002°)
5.24807460249771e-002	(9.99998994588574e+001dB,1.79999999196033e+002°)
5.37031796370252e-002	(9.99998994588574e+001dB,1.79999999177306e+002°)
5.49540873857623e-002	(9.99998994588574e+001dB,1.79999999158143e+002°)
5.62341325190348e-002	(9.99998994588574e+001dB,1.79999999138534e+002°)
5.75439937337156e-002	(9.99998994588574e+001dB,1.79999999118468e+002°)
5.88843655355588e-002	(9.99998994588574e+001dB,1.79999999097934e+002°)
6.02559586074356e-002	(9.99998994588574e+001dB,1.79999999076923e+002°)
6.16595001861481e-002	(9.99998994588574e+001dB,1.79999999055421e+002°)
6.30957344480192e-002	(9.99998994588574e+001dB,1.79999999033419e+002°)
6.45654229034654e-002	(9.99998994588574e+001dB,1.79999999010905e+002°)
6.60693448007594e-002	(9.99998994588574e+001dB,1.79999998987866e+002°)
6.76082975391980e-002	(9.99998994588574e+001dB,1.79999998964290e+002°)
6.91830970918935e-002	(9.99998994588574e+001dB,1.79999998940165e+002°)
7.07945784384136e-002	(9.99998994588574e+001dB,1.79999998915479e+002°)
7.24435960074988e-002	(9.99998994588574e+001dB,1.79999998890217e+002°)
7.41310241300916e-002	(9.99998994588574e+001dB,1.79999998864367e+002°)
7.58577575029182e-002	(9.99998994588574e+001dB,1.79999998837914e+002°)
7.76247116628690e-002	(9.99998994588574e+001dB,1.79999998810846e+002°)
7.94328234724279e-002	(9.99998994588574e+001dB,1.79999998783147e+002°)
8.12830516164097e-002	(9.99998994588574e+001dB,1.79999998754803e+002°)
8.31763771102669e-002	(9.99998994588574e+001dB,1.79999998725798e+002°)
8.51138038202374e-002	(9.99998994588574e+001dB,1.79999998696119e+002°)
8.70963589956078e-002	(9.99998994588574e+001dB,1.79999998665747e+002°)
8.91250938133743e-002	(9.99998994588574e+001dB,1.79999998634668e+002°)
9.12010839355907e-002	(9.99998994588574e+001dB,1.79999998602866e+002°)
9.33254300796988e-002	(9.99998994588574e+001dB,1.79999998570322e+002°)
9.54992586021433e-002	(9.99998994588574e+001dB,1.79999998537021e+002°)
9.77237220955808e-002	(9.99998994588574e+001dB,1.79999998502944e+002°)
9.99999999999997e-002	(9.99998994588574e+001dB,1.79999998468073e+002°)
1.02329299228075e-001	(9.99998994588574e+001dB,1.79999998432390e+002°)
1.04712854805090e-001	(9.99998994588574e+001dB,1.79999998395875e+002°)
1.07151930523760e-001	(9.99998994588574e+001dB,1.79999998358510e+002°)
1.09647819614318e-001	(9.99998994588574e+001dB,1.79999998320275e+002°)
1.12201845430196e-001	(9.99998994588574e+001dB,1.79999998281149e+002°)
1.14815362149688e-001	(9.99998994588574e+001dB,1.79999998241112e+002°)
1.17489755493953e-001	(9.99998994588574e+001dB,1.79999998200142e+002°)
1.20226443461741e-001	(9.99998994588574e+001dB,1.79999998158218e+002°)
1.23026877081238e-001	(9.99998994588574e+001dB,1.79999998115318e+002°)
1.25892541179416e-001	(9.99998994588574e+001dB,1.79999998071418e+002°)
1.28824955169313e-001	(9.99998994588574e+001dB,1.79999998026495e+002°)
1.31825673855640e-001	(9.99998994588574e+001dB,1.79999997980527e+002°)
1.34896288259165e-001	(9.99998994588574e+001dB,1.79999997933487e+002°)
1.38038426460288e-001	(9.99998994588574e+001dB,1.79999997885352e+002°)
1.41253754462275e-001	(9.99998994588574e+001dB,1.79999997836095e+002°)
1.44543977074592e-001	(9.99998994588574e+001dB,1.79999997785692e+002°)
1.47910838816820e-001	(9.99998994588574e+001dB,1.79999997734114e+002°)
1.51356124843620e-001	(9.99998994588574e+001dB,1.79999997681334e+002°)
1.54881661891248e-001	(9.99998994588574e+001dB,1.79999997627326e+002°)
1.58489319246111e-001	(9.99998994588574e+001dB,1.79999997572059e+002°)
1.62181009735892e-001	(9.99998994588574e+001dB,1.79999997515505e+002°)
1.65958690743755e-001	(9.99998994588574e+001dB,1.79999997457634e+002°)
1.69824365246174e-001	(9.99998994588574e+001dB,1.79999997398414e+002°)
1.73780082874937e-001	(9.99998994588574e+001dB,1.79999997337816e+002°)
1.77827941003892e-001	(9.99998994588574e+001dB,1.79999997275805e+002°)
1.81970085860998e-001	(9.99998994588574e+001dB,1.79999997212351e+002°)
1.86208713666286e-001	(9.99998994588574e+001dB,1.79999997147418e+002°)
1.90546071796324e-001	(9.99998994588574e+001dB,1.79999997080973e+002°)
1.94984459975804e-001	(9.99998994588574e+001dB,1.79999997012980e+002°)
1.99526231496887e-001	(9.99998994588574e+001dB,1.79999996943403e+002°)
2.04173794466952e-001	(9.99998994588574e+001dB,1.79999996872206e+002°)
2.08929613085403e-001	(9.99998994588574e+001dB,1.79999996799350e+002°)
2.13796208950222e-001	(9.99998994588574e+001dB,1.79999996724798e+002°)
2.18776162394954e-001	(9.99998994588574e+001dB,1.79999996648508e+002°)
2.23872113856833e-001	(9.99998994588574e+001dB,1.79999996570442e+002°)
2.29086765276776e-001	(9.99998994588574e+001dB,1.79999996490558e+002°)
2.34422881531991e-001	(9.99998994588574e+001dB,1.79999996408812e+002°)
2.39883291901948e-001	(9.99998994588574e+001dB,1.79999996325163e+002°)
2.45470891568502e-001	(9.99998994588574e+001dB,1.79999996239565e+002°)
2.51188643150957e-001	(9.99998994588574e+001dB,1.79999996151973e+002°)
2.57039578276885e-001	(9.99998994588574e+001dB,1.79999996062341e+002°)
2.63026799189537e-001	(9.99998994588574e+001dB,1.79999995970621e+002°)
2.69153480392690e-001	(9.99998994588574e+001dB,1.79999995876765e+002°)
2.75422870333815e-001	(9.99998994588574e+001dB,1.79999995780722e+002°)
