frequency,V(onoise),V(r1)
1.000000000000000e-001,1.152871e-006,8.142654e-007
1.023292992280754e-001,1.146441e-006,8.142654e-007
1.047128548050900e-001,1.140122e-006,8.142654e-007
1.071519305237607e-001,1.133913e-006,8.142654e-007
1.096478196143185e-001,1.127813e-006,8.142654e-007
1.122018454301964e-001,1.121819e-006,8.142654e-007
1.148153621496883e-001,1.115931e-006,8.142654e-007
1.174897554939530e-001,1.110146e-006,8.142654e-007
1.202264434617413e-001,1.104464e-006,8.142654e-007
1.230268770812382e-001,1.098883e-006,8.142654e-007
1.258925411794167e-001,1.093402e-006,8.142654e-007
1.288249551693134e-001,1.088018e-006,8.142654e-007
1.318256738556407e-001,1.082731e-006,8.142654e-007
1.348962882591653e-001,1.077540e-006,8.142654e-007
1.380384264602884e-001,1.072442e-006,8.142654e-007
1.412537544622754e-001,1.067437e-006,8.142654e-007
1.445439770745927e-001,1.062523e-006,8.142654e-007
1.479108388168207e-001,1.057699e-006,8.142654e-007
1.513561248436207e-001,1.052963e-006,8.142654e-007
1.548816618912480e-001,1.048314e-006,8.142654e-007
1.584893192461112e-001,1.043751e-006,8.142654e-007
1.621810097358929e-001,1.039273e-006,8.142654e-007
1.659586907437559e-001,1.034878e-006,8.142654e-007
1.698243652461743e-001,1.030565e-006,8.142654e-007
1.737800828749374e-001,1.026332e-006,8.142654e-007
1.778279410038921e-001,1.022180e-006,8.142654e-007
1.819700858609982e-001,1.018105e-006,8.142654e-007
1.862087136662866e-001,1.014107e-006,8.142654e-007
1.905460717963245e-001,1.010184e-006,8.142654e-007
1.949844599758043e-001,1.006337e-006,8.142654e-007
1.995262314968878e-001,1.002562e-006,8.142654e-007
2.041737944669527e-001,9.988599e-007,8.142654e-007
2.089296130854037e-001,9.952287e-007,8.142654e-007
2.137962089502230e-001,9.916672e-007,8.142654e-007
2.187761623949550e-001,9.881744e-007,8.142654e-007
2.238721138568337e-001,9.847491e-007,8.142654e-007
2.290867652767770e-001,9.813903e-007,8.142654e-007
2.344228815319919e-001,9.780968e-007,8.142654e-007
