Freq.	V(vout)
1.00000000000000e-002	(1.19999899565815e+002dB,1.79999999511690e+002°)
1.02329299228075e-002	(1.19999899565815e+002dB,1.79999999500316e+002°)
1.04712854805090e-002	(1.19999899565815e+002dB,1.79999999488677e+002°)
1.07151930523761e-002	(1.19999899565815e+002dB,1.79999999476767e+002°)
1.09647819614318e-002	(1.19999899565815e+002dB,1.79999999464579e+002°)
1.12201845430196e-002	(1.19999899565815e+002dB,1.79999999452107e+002°)
1.14815362149688e-002	(1.19999899565815e+002dB,1.79999999439345e+002°)
1.17489755493953e-002	(1.19999899565815e+002dB,1.79999999426286e+002°)
1.20226443461741e-002	(1.19999899565815e+002dB,1.79999999412923e+002°)
1.23026877081238e-002	(1.19999899565815e+002dB,1.79999999399248e+002°)
1.25892541179417e-002	(1.19999899565815e+002dB,1.79999999385254e+002°)
1.28824955169313e-002	(1.19999899565815e+002dB,1.79999999370935e+002°)
1.31825673855641e-002	(1.19999899565815e+002dB,1.79999999356282e+002°)
1.34896288259165e-002	(1.19999899565815e+002dB,1.79999999341288e+002°)
1.38038426460288e-002	(1.19999899565815e+002dB,1.79999999325945e+002°)
1.41253754462275e-002	(1.19999899565815e+002dB,1.79999999310244e+002°)
1.44543977074593e-002	(1.19999899565815e+002dB,1.79999999294178e+002°)
1.47910838816821e-002	(1.19999899565815e+002dB,1.79999999277737e+002°)
1.51356124843621e-002	(1.19999899565815e+002dB,1.79999999260913e+002°)
1.54881661891248e-002	(1.19999899565815e+002dB,1.79999999243698e+002°)
1.58489319246111e-002	(1.19999899565815e+002dB,1.79999999226081e+002°)
1.62181009735893e-002	(1.19999899565815e+002dB,1.79999999208054e+002°)
1.65958690743756e-002	(1.19999899565815e+002dB,1.79999999189608e+002°)
1.69824365246174e-002	(1.19999899565815e+002dB,1.79999999170731e+002°)
1.73780082874937e-002	(1.19999899565815e+002dB,1.79999999151415e+002°)
1.77827941003892e-002	(1.19999899565815e+002dB,1.79999999131649e+002°)
1.81970085860998e-002	(1.19999899565815e+002dB,1.79999999111422e+002°)
1.86208713666287e-002	(1.19999899565815e+002dB,1.79999999090725e+002°)
1.90546071796325e-002	(1.19999899565815e+002dB,1.79999999069545e+002°)
1.94984459975804e-002	(1.19999899565815e+002dB,1.79999999047872e+002°)
1.99526231496888e-002	(1.19999899565815e+002dB,1.79999999025694e+002°)
2.04173794466953e-002	(1.19999899565815e+002dB,1.79999999002999e+002°)
2.08929613085404e-002	(1.19999899565815e+002dB,1.79999998979776e+002°)
2.13796208950223e-002	(1.19999899565815e+002dB,1.79999998956012e+002°)
2.18776162394955e-002	(1.19999899565815e+002dB,1.79999998931695e+002°)
2.23872113856834e-002	(1.19999899565815e+002dB,1.79999998906811e+002°)
2.29086765276777e-002	(1.19999899565815e+002dB,1.79999998881347e+002°)
2.34422881531992e-002	(1.19999899565815e+002dB,1.79999998855290e+002°)
2.39883291901949e-002	(1.19999899565815e+002dB,1.79999998828626e+002°)
2.45470891568503e-002	(1.19999899565815e+002dB,1.79999998801342e+002°)
2.51188643150958e-002	(1.19999899565815e+002dB,1.79999998773421e+002°)
2.57039578276886e-002	(1.19999899565815e+002dB,1.79999998744851e+002°)
2.63026799189538e-002	(1.19999899565815e+002dB,1.79999998715614e+002°)
2.69153480392691e-002	(1.19999899565815e+002dB,1.79999998685697e+002°)
2.75422870333816e-002	(1.19999899565815e+002dB,1.79999998655083e+002°)
2.81838293126445e-002	(1.19999899565815e+002dB,1.79999998623756e+002°)
2.88403150312660e-002	(1.19999899565815e+002dB,1.79999998591699e+002°)
2.95120922666638e-002	(1.19999899565815e+002dB,1.79999998558896e+002°)
3.01995172040201e-002	(1.19999899565815e+002dB,1.79999998525328e+002°)
3.09029543251359e-002	(1.19999899565815e+002dB,1.79999998490979e+002°)
3.16227766016838e-002	(1.19999899565815e+002dB,1.79999998455829e+002°)
3.23593656929628e-002	(1.19999899565815e+002dB,1.79999998419861e+002°)
3.31131121482591e-002	(1.19999899565815e+002dB,1.79999998383054e+002°)
3.38844156139202e-002	(1.19999899565815e+002dB,1.79999998345391e+002°)
3.46736850452531e-002	(1.19999899565815e+002dB,1.79999998306850e+002°)
3.54813389233575e-002	(1.19999899565815e+002dB,1.79999998267412e+002°)
3.63078054770101e-002	(1.19999899565815e+002dB,1.79999998227054e+002°)
3.71535229097172e-002	(1.19999899565815e+002dB,1.79999998185757e+002°)
3.80189396320561e-002	(1.19999899565815e+002dB,1.79999998143498e+002°)
3.89045144994280e-002	(1.19999899565815e+002dB,1.79999998100255e+002°)
3.98107170553497e-002	(1.19999899565815e+002dB,1.79999998056004e+002°)
4.07380277804112e-002	(1.19999899565815e+002dB,1.79999998010722e+002°)
4.16869383470335e-002	(1.19999899565815e+002dB,1.79999997964386e+002°)
4.26579518801592e-002	(1.19999899565815e+002dB,1.79999997916971e+002°)
4.36515832240165e-002	(1.19999899565815e+002dB,1.79999997868451e+002°)
4.46683592150962e-002	(1.19999899565815e+002dB,1.79999997818800e+002°)
4.57088189614874e-002	(1.19999899565815e+002dB,1.79999997767994e+002°)
4.67735141287197e-002	(1.19999899565815e+002dB,1.79999997716004e+002°)
4.78630092322637e-002	(1.19999899565815e+002dB,1.79999997662803e+002°)
4.89778819368445e-002	(1.19999899565815e+002dB,1.79999997608362e+002°)
5.01187233627271e-002	(1.19999899565815e+002dB,1.79999997552654e+002°)
5.12861383991364e-002	(1.19999899565815e+002dB,1.79999997495648e+002°)
5.24807460249771e-002	(1.19999899565815e+002dB,1.79999997437314e+002°)
5.37031796370252e-002	(1.19999899565815e+002dB,1.79999997377621e+002°)
5.49540873857623e-002	(1.19999899565815e+002dB,1.79999997316538e+002°)
5.62341325190348e-002	(1.19999899565815e+002dB,1.79999997254032e+002°)
5.75439937337156e-002	(1.19999899565815e+002dB,1.79999997190071e+002°)
5.88843655355588e-002	(1.19999899565815e+002dB,1.79999997124619e+002°)
6.02559586074356e-002	(1.19999899565815e+002dB,1.79999997057643e+002°)
6.16595001861481e-002	(1.19999899565815e+002dB,1.79999996989106e+002°)
6.30957344480192e-002	(1.19999899565815e+002dB,1.79999996918974e+002°)
6.45654229034654e-002	(1.19999899565815e+002dB,1.79999996847207e+002°)
6.60693448007594e-002	(1.19999899565815e+002dB,1.79999996773769e+002°)
6.76082975391980e-002	(1.19999899565815e+002dB,1.79999996698621e+002°)
6.91830970918935e-002	(1.19999899565815e+002dB,1.79999996621722e+002°)
7.07945784384136e-002	(1.19999899565815e+002dB,1.79999996543032e+002°)
7.24435960074988e-002	(1.19999899565815e+002dB,1.79999996462508e+002°)
7.41310241300916e-002	(1.19999899565815e+002dB,1.79999996380110e+002°)
7.58577575029182e-002	(1.19999899565815e+002dB,1.79999996295792e+002°)
7.76247116628690e-002	(1.19999899565815e+002dB,1.79999996209510e+002°)
7.94328234724279e-002	(1.19999899565815e+002dB,1.79999996121218e+002°)
8.12830516164097e-002	(1.19999899565815e+002dB,1.79999996030869e+002°)
8.31763771102669e-002	(1.19999899565815e+002dB,1.79999995938416e+002°)
8.51138038202374e-002	(1.19999899565815e+002dB,1.79999995843810e+002°)
8.70963589956078e-002	(1.19999899565815e+002dB,1.79999995747000e+002°)
8.91250938133743e-002	(1.19999899565815e+002dB,1.79999995647935e+002°)
9.12010839355907e-002	(1.19999899565815e+002dB,1.79999995546562e+002°)
9.33254300796988e-002	(1.19999899565815e+002dB,1.79999995442828e+002°)
9.54992586021433e-002	(1.19999899565815e+002dB,1.79999995336678e+002°)
9.77237220955808e-002	(1.19999899565815e+002dB,1.79999995228055e+002°)
9.99999999999997e-002	(1.19999899565815e+002dB,1.79999995116902e+002°)
1.02329299228075e-001	(1.19999899565815e+002dB,1.79999995003160e+002°)
1.04712854805090e-001	(1.19999899565815e+002dB,1.79999994886769e+002°)
1.07151930523760e-001	(1.19999899565815e+002dB,1.79999994767667e+002°)
1.09647819614318e-001	(1.19999899565815e+002dB,1.79999994645790e+002°)
1.12201845430196e-001	(1.19999899565815e+002dB,1.79999994521074e+002°)
1.14815362149688e-001	(1.19999899565815e+002dB,1.79999994393454e+002°)
1.17489755493953e-001	(1.19999899565815e+002dB,1.79999994262861e+002°)
1.20226443461741e-001	(1.19999899565815e+002dB,1.79999994129225e+002°)
1.23026877081238e-001	(1.19999899565815e+002dB,1.79999993992477e+002°)
1.25892541179416e-001	(1.19999899565815e+002dB,1.79999993852544e+002°)
1.28824955169313e-001	(1.19999899565815e+002dB,1.79999993709352e+002°)
1.31825673855640e-001	(1.19999899565815e+002dB,1.79999993562824e+002°)
1.34896288259165e-001	(1.19999899565815e+002dB,1.79999993412883e+002°)
1.38038426460288e-001	(1.19999899565815e+002dB,1.79999993259449e+002°)
1.41253754462275e-001	(1.19999899565815e+002dB,1.79999993102441e+002°)
1.44543977074592e-001	(1.19999899565815e+002dB,1.79999992941776e+002°)
1.47910838816820e-001	(1.19999899565815e+002dB,1.79999992777369e+002°)
1.51356124843620e-001	(1.19999899565815e+002dB,1.79999992609133e+002°)
1.54881661891248e-001	(1.19999899565815e+002dB,1.79999992436977e+002°)
1.58489319246111e-001	(1.19999899565815e+002dB,1.79999992260812e+002°)
1.62181009735892e-001	(1.19999899565815e+002dB,1.79999992080543e+002°)
1.65958690743755e-001	(1.19999899565815e+002dB,1.79999991896075e+002°)
1.69824365246174e-001	(1.19999899565815e+002dB,1.79999991707310e+002°)
1.73780082874937e-001	(1.19999899565815e+002dB,1.79999991514149e+002°)
1.77827941003892e-001	(1.19999899565815e+002dB,1.79999991316488e+002°)
1.81970085860998e-001	(1.19999899565815e+002dB,1.79999991114223e+002°)
1.86208713666286e-001	(1.19999899565815e+002dB,1.79999990907247e+002°)
1.90546071796324e-001	(1.19999899565815e+002dB,1.79999990695449e+002°)
1.94984459975804e-001	(1.19999899565815e+002dB,1.79999990478718e+002°)
1.99526231496887e-001	(1.19999899565815e+002dB,1.79999990256939e+002°)
2.04173794466952e-001	(1.19999899565815e+002dB,1.79999990029994e+002°)
2.08929613085403e-001	(1.19999899565815e+002dB,1.79999989797763e+002°)
2.13796208950222e-001	(1.19999899565815e+002dB,1.79999989560122e+002°)
2.18776162394954e-001	(1.19999899565815e+002dB,1.79999989316946e+002°)
2.23872113856833e-001	(1.19999899565815e+002dB,1.79999989068106e+002°)
2.29086765276776e-001	(1.19999899565815e+002dB,1.79999988813470e+002°)
2.34422881531991e-001	(1.19999899565815e+002dB,1.79999988552902e+002°)
2.39883291901948e-001	(1.19999899565815e+002dB,1.79999988286265e+002°)
2.45470891568502e-001	(1.19999899565815e+002dB,1.79999988013417e+002°)
2.51188643150957e-001	(1.19999899565815e+002dB,1.79999987734213e+002°)
2.57039578276885e-001	(1.19999899565815e+002dB,1.79999987448506e+002°)
2.63026799189537e-001	(1.19999899565815e+002dB,1.79999987156145e+002°)
2.69153480392690e-001	(1.19999899565815e+002dB,1.79999986856973e+002°)
2.75422870333815e-001	(1.19999899565815e+002dB,1.79999986550832e+002°)
2.81838293126444e-001	(1.19999899565815e+002dB,1.79999986237561e+002°)
2.88403150312659e-001	(1.19999899565815e+002dB,1.79999985916992e+002°)
2.95120922666637e-001	(1.19999899565815e+002dB,1.79999985588957e+002°)
3.01995172040200e-001	(1.19999899565815e+002dB,1.79999985253281e+002°)
3.09029543251358e-001	(1.19999899565815e+002dB,1.79999984909786e+002°)
3.16227766016837e-001	(1.19999899565815e+002dB,1.79999984558289e+002°)
3.23593656929627e-001	(1.19999899565815e+002dB,1.79999984198606e+002°)
3.31131121482590e-001	(1.19999899565815e+002dB,1.79999983830544e+002°)
3.38844156139201e-001	(1.19999899565815e+002dB,1.79999983453909e+002°)
3.46736850452530e-001	(1.19999899565815e+002dB,1.79999983068501e+002°)
3.54813389233574e-001	(1.19999899565815e+002dB,1.79999982674116e+002°)
3.63078054770100e-001	(1.19999899565815e+002dB,1.79999982270544e+002°)
3.71535229097171e-001	(1.19999899565815e+002dB,1.79999981857572e+002°)
3.80189396320559e-001	(1.19999899565815e+002dB,1.79999981434980e+002°)
3.89045144994279e-001	(1.19999899565815e+002dB,1.79999981002546e+002°)
3.98107170553495e-001	(1.19999899565815e+002dB,1.79999980560038e+002°)
