frequency,V(onoise),V(r1)
1.000000000000000e-001,9.150826e-007,4.524916e-008
1.023292992280754e-001,9.048614e-007,4.524916e-008
1.047128548050900e-001,8.947601e-007,4.524916e-008
1.071519305237607e-001,8.847773e-007,4.524916e-008
1.096478196143185e-001,8.749117e-007,4.524916e-008
1.122018454301964e-001,8.651621e-007,4.524916e-008
1.148153621496883e-001,8.555269e-007,4.524916e-008
1.174897554939530e-001,8.460052e-007,4.524916e-008
1.202264434617413e-001,8.365954e-007,4.524916e-008
1.230268770812382e-001,8.272965e-007,4.524916e-008
1.258925411794167e-001,8.181071e-007,4.524916e-008
1.288249551693134e-001,8.090261e-007,4.524916e-008
1.318256738556407e-001,8.000521e-007,4.524916e-008
1.348962882591653e-001,7.911842e-007,4.524916e-008
1.380384264602884e-001,7.824210e-007,4.524916e-008
1.412537544622754e-001,7.737614e-007,4.524916e-008
1.445439770745927e-001,7.652042e-007,4.524916e-008
1.479108388168207e-001,7.567484e-007,4.524916e-008
1.513561248436207e-001,7.483927e-007,4.524916e-008
1.548816618912480e-001,7.401361e-007,4.524916e-008
1.584893192461112e-001,7.319775e-007,4.524916e-008
1.621810097358929e-001,7.239157e-007,4.524916e-008
1.659586907437559e-001,7.159498e-007,4.524916e-008
1.698243652461743e-001,7.080786e-007,4.524916e-008
1.737800828749374e-001,7.003011e-007,4.524916e-008
1.778279410038921e-001,6.926163e-007,4.524916e-008
1.819700858609982e-001,6.850232e-007,4.524916e-008
1.862087136662866e-001,6.775206e-007,4.524916e-008
1.905460717963245e-001,6.701077e-007,4.524916e-008
1.949844599758043e-001,6.627835e-007,4.524916e-008
1.995262314968878e-001,6.555468e-007,4.524916e-008
2.041737944669527e-001,6.483970e-007,4.524916e-008
2.089296130854037e-001,6.413328e-007,4.524916e-008
2.137962089502230e-001,6.343535e-007,4.524916e-008
2.187761623949550e-001,6.274580e-007,4.524916e-008
2.238721138568337e-001,6.206455e-007,4.524916e-008
2.290867652767770e-001,6.139150e-007,4.524916e-008
2.344228815319919e-001,6.072656e-007,4.524916e-008
2.398832919019487e-001,6.006966e-007,4.524916e-008
