Freq.	V(vout)
1.00000000000000e-002	(9.48936024385948e+001dB,1.79999991878887e+002°)
1.02329299228075e-002	(9.48936024385944e+001dB,1.79999991689722e+002°)
1.04712854805090e-002	(9.48936024385939e+001dB,1.79999991496151e+002°)
1.07151930523761e-002	(9.48936024385935e+001dB,1.79999991298071e+002°)
1.09647819614318e-002	(9.48936024385930e+001dB,1.79999991095377e+002°)
1.12201845430196e-002	(9.48936024385925e+001dB,1.79999990887962e+002°)
1.14815362149688e-002	(9.48936024385919e+001dB,1.79999990675715e+002°)
1.17489755493953e-002	(9.48936024385914e+001dB,1.79999990458525e+002°)
1.20226443461741e-002	(9.48936024385908e+001dB,1.79999990236275e+002°)
1.23026877081238e-002	(9.48936024385901e+001dB,1.79999990008849e+002°)
1.25892541179417e-002	(9.48936024385895e+001dB,1.79999989776125e+002°)
1.28824955169313e-002	(9.48936024385888e+001dB,1.79999989537980e+002°)
1.31825673855641e-002	(9.48936024385881e+001dB,1.79999989294289e+002°)
1.34896288259165e-002	(9.48936024385874e+001dB,1.79999989044920e+002°)
1.38038426460288e-002	(9.48936024385866e+001dB,1.79999988789744e+002°)
1.41253754462275e-002	(9.48936024385858e+001dB,1.79999988528623e+002°)
1.44543977074593e-002	(9.48936024385849e+001dB,1.79999988261421e+002°)
1.47910838816821e-002	(9.48936024385841e+001dB,1.79999987987994e+002°)
1.51356124843621e-002	(9.48936024385831e+001dB,1.79999987708199e+002°)
1.54881661891248e-002	(9.48936024385821e+001dB,1.79999987421886e+002°)
1.58489319246111e-002	(9.48936024385811e+001dB,1.79999987128904e+002°)
1.62181009735893e-002	(9.48936024385800e+001dB,1.79999986829097e+002°)
1.65958690743756e-002	(9.48936024385789e+001dB,1.79999986522308e+002°)
1.69824365246174e-002	(9.48936024385777e+001dB,1.79999986208372e+002°)
1.73780082874937e-002	(9.48936024385765e+001dB,1.79999985887124e+002°)
1.77827941003892e-002	(9.48936024385752e+001dB,1.79999985558393e+002°)
1.81970085860998e-002	(9.48936024385738e+001dB,1.79999985222004e+002°)
1.86208713666287e-002	(9.48936024385724e+001dB,1.79999984877781e+002°)
1.90546071796325e-002	(9.48936024385709e+001dB,1.79999984525539e+002°)
1.94984459975804e-002	(9.48936024385694e+001dB,1.79999984165092e+002°)
1.99526231496888e-002	(9.48936024385678e+001dB,1.79999983796250e+002°)
2.04173794466953e-002	(9.48936024385661e+001dB,1.79999983418816e+002°)
2.08929613085404e-002	(9.48936024385643e+001dB,1.79999983032591e+002°)
2.13796208950223e-002	(9.48936024385624e+001dB,1.79999982637369e+002°)
2.18776162394955e-002	(9.48936024385605e+001dB,1.79999982232941e+002°)
2.23872113856834e-002	(9.48936024385584e+001dB,1.79999981819093e+002°)
2.29086765276777e-002	(9.48936024385563e+001dB,1.79999981395606e+002°)
2.34422881531992e-002	(9.48936024385540e+001dB,1.79999980962254e+002°)
2.39883291901949e-002	(9.48936024385517e+001dB,1.79999980518808e+002°)
2.45470891568503e-002	(9.48936024385492e+001dB,1.79999980065032e+002°)
2.51188643150958e-002	(9.48936024385466e+001dB,1.79999979600687e+002°)
2.57039578276886e-002	(9.48936024385440e+001dB,1.79999979125526e+002°)
2.63026799189538e-002	(9.48936024385411e+001dB,1.79999978639297e+002°)
2.69153480392691e-002	(9.48936024385382e+001dB,1.79999978141743e+002°)
2.75422870333816e-002	(9.48936024385351e+001dB,1.79999977632598e+002°)
2.81838293126445e-002	(9.48936024385318e+001dB,1.79999977111595e+002°)
2.88403150312660e-002	(9.48936024385284e+001dB,1.79999976578455e+002°)
2.95120922666638e-002	(9.48936024385249e+001dB,1.79999976032897e+002°)
3.01995172040201e-002	(9.48936024385212e+001dB,1.79999975474632e+002°)
3.09029543251359e-002	(9.48936024385173e+001dB,1.79999974903363e+002°)
3.16227766016838e-002	(9.48936024385132e+001dB,1.79999974318787e+002°)
3.23593656929628e-002	(9.48936024385089e+001dB,1.79999973720595e+002°)
3.31131121482591e-002	(9.48936024385044e+001dB,1.79999973108469e+002°)
3.38844156139202e-002	(9.48936024384997e+001dB,1.79999972482084e+002°)
3.46736850452531e-002	(9.48936024384948e+001dB,1.79999971841110e+002°)
3.54813389233575e-002	(9.48936024384897e+001dB,1.79999971185205e+002°)
3.63078054770101e-002	(9.48936024384843e+001dB,1.79999970514022e+002°)
3.71535229097172e-002	(9.48936024384787e+001dB,1.79999969827205e+002°)
3.80189396320561e-002	(9.48936024384727e+001dB,1.79999969124391e+002°)
3.89045144994280e-002	(9.48936024384666e+001dB,1.79999968405205e+002°)
3.98107170553497e-002	(9.48936024384601e+001dB,1.79999967669268e+002°)
4.07380277804112e-002	(9.48936024384533e+001dB,1.79999966916189e+002°)
4.16869383470335e-002	(9.48936024384462e+001dB,1.79999966145568e+002°)
4.26579518801592e-002	(9.48936024384388e+001dB,1.79999965356997e+002°)
4.36515832240165e-002	(9.48936024384310e+001dB,1.79999964550057e+002°)
4.46683592150962e-002	(9.48936024384229e+001dB,1.79999963724322e+002°)
4.57088189614874e-002	(9.48936024384143e+001dB,1.79999962879353e+002°)
4.67735141287197e-002	(9.48936024384054e+001dB,1.79999962014702e+002°)
4.78630092322637e-002	(9.48936024383961e+001dB,1.79999961129911e+002°)
4.89778819368445e-002	(9.48936024383863e+001dB,1.79999960224510e+002°)
5.01187233627271e-002	(9.48936024383760e+001dB,1.79999959298020e+002°)
5.12861383991364e-002	(9.48936024383653e+001dB,1.79999958349949e+002°)
5.24807460249771e-002	(9.48936024383540e+001dB,1.79999957379795e+002°)
5.37031796370252e-002	(9.48936024383423e+001dB,1.79999956387043e+002°)
5.49540873857623e-002	(9.48936024383299e+001dB,1.79999955371166e+002°)
5.62341325190348e-002	(9.48936024383170e+001dB,1.79999954331627e+002°)
5.75439937337156e-002	(9.48936024383035e+001dB,1.79999953267874e+002°)
5.88843655355588e-002	(9.48936024382893e+001dB,1.79999952179343e+002°)
6.02559586074356e-002	(9.48936024382745e+001dB,1.79999951065457e+002°)
6.16595001861481e-002	(9.48936024382590e+001dB,1.79999949925625e+002°)
6.30957344480192e-002	(9.48936024382427e+001dB,1.79999948759243e+002°)
6.45654229034654e-002	(9.48936024382257e+001dB,1.79999947565693e+002°)
6.60693448007594e-002	(9.48936024382079e+001dB,1.79999946344341e+002°)
6.76082975391980e-002	(9.48936024381892e+001dB,1.79999945094540e+002°)
6.91830970918935e-002	(9.48936024381697e+001dB,1.79999943815627e+002°)
7.07945784384136e-002	(9.48936024381492e+001dB,1.79999942506925e+002°)
7.24435960074988e-002	(9.48936024381243e+001dB,1.79999941167740e+002°)
7.41310241300916e-002	(9.48936024381019e+001dB,1.79999939797360e+002°)
7.58577575029182e-002	(9.48936024380784e+001dB,1.79999938395061e+002°)
7.76247116628690e-002	(9.48936024380538e+001dB,1.79999936960097e+002°)
7.94328234724279e-002	(9.48936024380280e+001dB,1.79999935491709e+002°)
8.12830516164097e-002	(9.48936024380011e+001dB,1.79999933989118e+002°)
8.31763771102669e-002	(9.48936024379728e+001dB,1.79999932451527e+002°)
8.51138038202374e-002	(9.48936024379432e+001dB,1.79999930878121e+002°)
8.70963589956078e-002	(9.48936024379123e+001dB,1.79999929268066e+002°)
8.91250938133743e-002	(9.48936024378798e+001dB,1.79999927620507e+002°)
9.12010839355907e-002	(9.48936024378459e+001dB,1.79999925934572e+002°)
9.33254300796988e-002	(9.48936024378103e+001dB,1.79999924209367e+002°)
9.54992586021433e-002	(9.48936024377731e+001dB,1.79999922443976e+002°)
9.77237220955808e-002	(9.48936024377341e+001dB,1.79999920637465e+002°)
9.99999999999997e-002	(9.48936024376932e+001dB,1.79999918788874e+002°)
1.02329299228075e-001	(9.48936024376505e+001dB,1.79999916897223e+002°)
1.04712854805090e-001	(9.48936024376057e+001dB,1.79999914961511e+002°)
1.07151930523760e-001	(9.48936024375589e+001dB,1.79999912980710e+002°)
1.09647819614318e-001	(9.48936024375098e+001dB,1.79999910953771e+002°)
1.12201845430196e-001	(9.48936024374584e+001dB,1.79999908879618e+002°)
1.14815362149688e-001	(9.48936024374046e+001dB,1.79999906757151e+002°)
1.17489755493953e-001	(9.48936024373482e+001dB,1.79999904585246e+002°)
1.20226443461741e-001	(9.48936024372892e+001dB,1.79999902362751e+002°)
1.23026877081238e-001	(9.48936024372274e+001dB,1.79999900088488e+002°)
1.25892541179416e-001	(9.48936024371592e+001dB,1.79999897761250e+002°)
1.28824955169313e-001	(9.48936024370914e+001dB,1.79999895379803e+002°)
1.31825673855640e-001	(9.48936024370205e+001dB,1.79999892942886e+002°)
1.34896288259165e-001	(9.48936024369462e+001dB,1.79999890449205e+002°)
1.38038426460288e-001	(9.48936024368684e+001dB,1.79999887897440e+002°)
1.41253754462275e-001	(9.48936024367869e+001dB,1.79999885286236e+002°)
1.44543977074592e-001	(9.48936024367016e+001dB,1.79999882614209e+002°)
1.47910838816820e-001	(9.48936024366123e+001dB,1.79999879879943e+002°)
1.51356124843620e-001	(9.48936024365188e+001dB,1.79999877081987e+002°)
1.54881661891248e-001	(9.48936024364208e+001dB,1.79999874218859e+002°)
1.58489319246111e-001	(9.48936024363182e+001dB,1.79999871289040e+002°)
1.62181009735892e-001	(9.48936024362074e+001dB,1.79999868290976e+002°)
1.65958690743755e-001	(9.48936024360949e+001dB,1.79999865223079e+002°)
1.69824365246174e-001	(9.48936024359772e+001dB,1.79999862083722e+002°)
1.73780082874937e-001	(9.48936024358539e+001dB,1.79999858871239e+002°)
1.77827941003892e-001	(9.48936024357248e+001dB,1.79999855583928e+002°)
1.81970085860998e-001	(9.48936024355896e+001dB,1.79999852220045e+002°)
1.86208713666286e-001	(9.48936024354480e+001dB,1.79999848777808e+002°)
1.90546071796324e-001	(9.48936024352998e+001dB,1.79999845255391e+002°)
1.94984459975804e-001	(9.48936024351411e+001dB,1.79999841650926e+002°)
1.99526231496887e-001	(9.48936024349785e+001dB,1.79999837962503e+002°)
2.04173794466952e-001	(9.48936024348083e+001dB,1.79999834188165e+002°)
2.08929613085403e-001	(9.48936024346301e+001dB,1.79999830325911e+002°)
2.13796208950222e-001	(9.48936024344435e+001dB,1.79999826373694e+002°)
2.18776162394954e-001	(9.48936024342446e+001dB,1.79999822329418e+002°)
2.23872113856833e-001	(9.48936024340399e+001dB,1.79999818190939e+002°)
2.29086765276776e-001	(9.48936024338257e+001dB,1.79999813956062e+002°)
2.34422881531991e-001	(9.48936024336013e+001dB,1.79999809622542e+002°)
2.39883291901948e-001	(9.48936024333629e+001dB,1.79999805188082e+002°)
2.45470891568502e-001	(9.48936024331169e+001dB,1.79999800650330e+002°)
2.51188643150957e-001	(9.48936024328593e+001dB,1.79999796006880e+002°)
2.57039578276885e-001	(9.48936024325895e+001dB,1.79999791255270e+002°)
2.63026799189537e-001	(9.48936024323036e+001dB,1.79999786392981e+002°)
2.69153480392690e-001	(9.48936024320078e+001dB,1.79999781417435e+002°)
2.75422870333815e-001	(9.48936024316981e+001dB,1.79999776325993e+002°)
2.81838293126444e-001	(9.48936024313703e+001dB,1.79999771115956e+002°)
2.88403150312659e-001	(9.48936024310307e+001dB,1.79999765784563e+002°)
2.95120922666637e-001	(9.48936024306751e+001dB,1.79999760328985e+002°)
3.01995172040200e-001	(9.48936024302992e+001dB,1.79999754746330e+002°)
3.09029543251358e-001	(9.48936024299093e+001dB,1.79999749033639e+002°)
3.16227766016837e-001	(9.48936024294976e+001dB,1.79999743187882e+002°)
3.23593656929627e-001	(9.48936024290700e+001dB,1.79999737205960e+002°)
3.31131121482590e-001	(9.48936024286189e+001dB,1.79999731084701e+002°)
3.38844156139201e-001	(9.48936024281501e+001dB,1.79999724820860e+002°)
3.46736850452530e-001	(9.48936024276558e+001dB,1.79999718411116e+002°)
3.54813389233574e-001	(9.48936024271418e+001dB,1.79999711852069e+002°)
3.63078054770100e-001	(9.48936024266001e+001dB,1.79999705140242e+002°)
3.71535229097171e-001	(9.48936024260365e+001dB,1.79999698272077e+002°)
3.80189396320559e-001	(9.48936024254428e+001dB,1.79999691243932e+002°)
3.89045144994279e-001	(9.48936024248214e+001dB,1.79999684052081e+002°)
3.98107170553495e-001	(9.48936024241743e+001dB,1.79999676692710e+002°)
4.07380277804111e-001	(9.48936024234932e+001dB,1.79999669161917e+002°)
4.16869383470333e-001	(9.48936024227802e+001dB,1.79999661455709e+002°)
4.26579518801591e-001	(9.48936024220373e+001dB,1.79999653570001e+002°)
4.36515832240164e-001	(9.48936024212558e+001dB,1.79999645500612e+002°)
4.46683592150961e-001	(9.48936024204377e+001dB,1.79999637243262e+002°)
4.57088189614873e-001	(9.48936024195812e+001dB,1.79999628793574e+002°)
4.67735141287196e-001	(9.48936024186845e+001dB,1.79999620147068e+002°)
4.78630092322636e-001	(9.48936024177457e+001dB,1.79999611299159e+002°)
4.89778819368444e-001	(9.48936024167628e+001dB,1.79999602245155e+002°)
5.01187233627270e-001	(9.48936024157337e+001dB,1.79999592980258e+002°)
5.12861383991362e-001	(9.48936024146564e+001dB,1.79999583499553e+002°)
5.24807460249770e-001	(9.48936024135284e+001dB,1.79999573798014e+002°)
5.37031796370250e-001	(9.48936024123439e+001dB,1.79999563870498e+002°)
5.49540873857622e-001	(9.48936024111074e+001dB,1.79999553711740e+002°)
5.62341325190346e-001	(9.48936024098128e+001dB,1.79999543316354e+002°)
5.75439937337154e-001	(9.48936024084539e+001dB,1.79999532678830e+002°)
5.88843655355586e-001	(9.48936024070347e+001dB,1.79999521793526e+002°)
6.02559586074355e-001	(9.48936024055454e+001dB,1.79999510654670e+002°)
6.16595001861479e-001	(9.48936024039862e+001dB,1.79999499256358e+002°)
6.30957344480190e-001	(9.48936024023573e+001dB,1.79999487592546e+002°)
