Freq.	V(vout)
1.00000000000000e-002	(1.19837298805104e+002dB,1.79999991611070e+002°)
1.02329299228075e-002	(1.19837298805104e+002dB,1.79999991415667e+002°)
1.04712854805090e-002	(1.19837298805103e+002dB,1.79999991215712e+002°)
1.07151930523761e-002	(1.19837298805103e+002dB,1.79999991011099e+002°)
1.09647819614318e-002	(1.19837298805102e+002dB,1.79999990801721e+002°)
1.12201845430196e-002	(1.19837298805102e+002dB,1.79999990587466e+002°)
1.14815362149688e-002	(1.19837298805101e+002dB,1.79999990368220e+002°)
1.17489755493953e-002	(1.19837298805098e+002dB,1.79999990143867e+002°)
1.20226443461741e-002	(1.19837298805097e+002dB,1.79999989914288e+002°)
1.23026877081238e-002	(1.19837298805097e+002dB,1.79999989679361e+002°)
1.25892541179417e-002	(1.19837298805096e+002dB,1.79999989438963e+002°)
1.28824955169313e-002	(1.19837298805095e+002dB,1.79999989192965e+002°)
1.31825673855641e-002	(1.19837298805095e+002dB,1.79999988941236e+002°)
1.34896288259165e-002	(1.19837298805094e+002dB,1.79999988683645e+002°)
1.38038426460288e-002	(1.19837298805094e+002dB,1.79999988420053e+002°)
1.41253754462275e-002	(1.19837298805093e+002dB,1.79999988150321e+002°)
1.44543977074593e-002	(1.19837298805092e+002dB,1.79999987874307e+002°)
1.47910838816821e-002	(1.19837298805091e+002dB,1.79999987591863e+002°)
1.51356124843621e-002	(1.19837298805091e+002dB,1.79999987302840e+002°)
1.54881661891248e-002	(1.19837298805090e+002dB,1.79999987007086e+002°)
1.58489319246111e-002	(1.19837298805089e+002dB,1.79999986704442e+002°)
1.62181009735893e-002	(1.19837298805088e+002dB,1.79999986394748e+002°)
1.65958690743756e-002	(1.19837298805087e+002dB,1.79999986077841e+002°)
1.69824365246174e-002	(1.19837298805086e+002dB,1.79999985753553e+002°)
1.73780082874937e-002	(1.19837298805085e+002dB,1.79999985421710e+002°)
1.77827941003892e-002	(1.19837298805084e+002dB,1.79999985082138e+002°)
1.81970085860998e-002	(1.19837298805083e+002dB,1.79999984734657e+002°)
1.86208713666287e-002	(1.19837298805082e+002dB,1.79999984379081e+002°)
1.90546071796325e-002	(1.19837298805080e+002dB,1.79999984015223e+002°)
1.94984459975804e-002	(1.19837298805079e+002dB,1.79999983642890e+002°)
1.99526231496888e-002	(1.19837298805074e+002dB,1.79999983261884e+002°)
2.04173794466953e-002	(1.19837298805073e+002dB,1.79999982872003e+002°)
2.08929613085404e-002	(1.19837298805071e+002dB,1.79999982473041e+002°)
2.13796208950223e-002	(1.19837298805070e+002dB,1.79999982064785e+002°)
2.18776162394955e-002	(1.19837298805068e+002dB,1.79999981647021e+002°)
2.23872113856834e-002	(1.19837298805066e+002dB,1.79999981219525e+002°)
2.29086765276777e-002	(1.19837298805065e+002dB,1.79999980782071e+002°)
2.34422881531992e-002	(1.19837298805063e+002dB,1.79999980334428e+002°)
2.39883291901949e-002	(1.19837298805061e+002dB,1.79999979876358e+002°)
2.45470891568503e-002	(1.19837298805059e+002dB,1.79999979407618e+002°)
2.51188643150958e-002	(1.19837298805056e+002dB,1.79999978927960e+002°)
2.57039578276886e-002	(1.19837298805051e+002dB,1.79999978437129e+002°)
2.63026799189538e-002	(1.19837298805048e+002dB,1.79999977934866e+002°)
2.69153480392691e-002	(1.19837298805046e+002dB,1.79999977420903e+002°)
2.75422870333816e-002	(1.19837298805043e+002dB,1.79999976894968e+002°)
2.81838293126445e-002	(1.19837298805040e+002dB,1.79999976356783e+002°)
2.88403150312660e-002	(1.19837298805038e+002dB,1.79999975806061e+002°)
2.95120922666638e-002	(1.19837298805035e+002dB,1.79999975242512e+002°)
3.01995172040201e-002	(1.19837298805031e+002dB,1.79999974665836e+002°)
3.09029543251359e-002	(1.19837298805025e+002dB,1.79999974075728e+002°)
3.16227766016838e-002	(1.19837298805021e+002dB,1.79999973471874e+002°)
3.23593656929628e-002	(1.19837298805018e+002dB,1.79999972853954e+002°)
3.31131121482591e-002	(1.19837298805014e+002dB,1.79999972221642e+002°)
3.38844156139202e-002	(1.19837298805010e+002dB,1.79999971574601e+002°)
3.46736850452531e-002	(1.19837298805002e+002dB,1.79999970912488e+002°)
3.54813389233575e-002	(1.19837298804998e+002dB,1.79999970234953e+002°)
3.63078054770101e-002	(1.19837298804993e+002dB,1.79999969541636e+002°)
3.71535229097172e-002	(1.19837298804989e+002dB,1.79999968832169e+002°)
3.80189396320561e-002	(1.19837298804984e+002dB,1.79999968106177e+002°)
3.89045144994280e-002	(1.19837298804975e+002dB,1.79999967363275e+002°)
3.98107170553497e-002	(1.19837298804970e+002dB,1.79999966603068e+002°)
4.07380277804112e-002	(1.19837298804964e+002dB,1.79999965825153e+002°)
4.16869383470335e-002	(1.19837298804954e+002dB,1.79999965029119e+002°)
4.26579518801592e-002	(1.19837298804948e+002dB,1.79999964214542e+002°)
4.36515832240165e-002	(1.19837298804942e+002dB,1.79999963380992e+002°)
4.46683592150962e-002	(1.19837298804931e+002dB,1.79999962528026e+002°)
4.57088189614874e-002	(1.19837298804924e+002dB,1.79999961655191e+002°)
4.67735141287197e-002	(1.19837298804916e+002dB,1.79999960762026e+002°)
4.78630092322637e-002	(1.19837298804905e+002dB,1.79999959848056e+002°)
4.89778819368445e-002	(1.19837298804897e+002dB,1.79999958912797e+002°)
5.01187233627271e-002	(1.19837298804885e+002dB,1.79999957955753e+002°)
5.12861383991364e-002	(1.19837298804876e+002dB,1.79999956976417e+002°)
5.24807460249771e-002	(1.19837298804866e+002dB,1.79999955974269e+002°)
5.37031796370252e-002	(1.19837298804853e+002dB,1.79999954948778e+002°)
5.49540873857623e-002	(1.19837298804842e+002dB,1.79999953899400e+002°)
5.62341325190348e-002	(1.19837298804828e+002dB,1.79999952825579e+002°)
5.75439937337156e-002	(1.19837298804813e+002dB,1.79999951726746e+002°)
5.88843655355588e-002	(1.19837298804801e+002dB,1.79999950602317e+002°)
6.02559586074356e-002	(1.19837298804782e+002dB,1.79999949451698e+002°)
6.16595001861481e-002	(1.19837298804769e+002dB,1.79999948274276e+002°)
6.30957344480192e-002	(1.19837298804752e+002dB,1.79999947069429e+002°)
6.45654229034654e-002	(1.19837298804734e+002dB,1.79999945836518e+002°)
6.60693448007594e-002	(1.19837298804716e+002dB,1.79999944574889e+002°)
6.76082975391980e-002	(1.19837298804700e+002dB,1.79999943283872e+002°)
6.91830970918935e-002	(1.19837298804680e+002dB,1.79999941962784e+002°)
7.07945784384136e-002	(1.19837298804659e+002dB,1.79999940610923e+002°)
7.24435960074988e-002	(1.19837298804631e+002dB,1.79999939227574e+002°)
7.41310241300916e-002	(1.19837298804609e+002dB,1.79999937812002e+002°)
7.58577575029182e-002	(1.19837298804585e+002dB,1.79999936363458e+002°)
7.76247116628690e-002	(1.19837298804561e+002dB,1.79999934881172e+002°)
7.94328234724279e-002	(1.19837298804536e+002dB,1.79999933364360e+002°)
8.12830516164097e-002	(1.19837298804510e+002dB,1.79999931812216e+002°)
8.31763771102669e-002	(1.19837298804482e+002dB,1.79999930223919e+002°)
8.51138038202374e-002	(1.19837298804454e+002dB,1.79999928598625e+002°)
8.70963589956078e-002	(1.19837298804421e+002dB,1.79999926935473e+002°)
