frequency,V(onoise),V(r1)
1.000000000000000e-001,8.159386e-007,4.524919e-009
1.023292992280754e-001,8.066036e-007,4.524919e-009
1.047128548050900e-001,7.973756e-007,4.524919e-009
1.071519305237607e-001,7.882533e-007,4.524919e-009
1.096478196143185e-001,7.792354e-007,4.524919e-009
1.122018454301964e-001,7.703208e-007,4.524919e-009
1.148153621496883e-001,7.615083e-007,4.524919e-009
1.174897554939530e-001,7.527968e-007,4.524919e-009
1.202264434617413e-001,7.441851e-007,4.524919e-009
1.230268770812382e-001,7.356719e-007,4.524919e-009
1.258925411794167e-001,7.272563e-007,4.524919e-009
1.288249551693134e-001,7.189371e-007,4.524919e-009
1.318256738556407e-001,7.107132e-007,4.524919e-009
1.348962882591653e-001,7.025835e-007,4.524919e-009
1.380384264602884e-001,6.945469e-007,4.524919e-009
1.412537544622754e-001,6.866024e-007,4.524919e-009
1.445439770745927e-001,6.787489e-007,4.524919e-009
1.479108388168207e-001,6.709853e-007,4.524919e-009
1.513561248436207e-001,6.633107e-007,4.524919e-009
1.548816618912480e-001,6.557241e-007,4.524919e-009
1.584893192461112e-001,6.482243e-007,4.524919e-009
1.621810097358929e-001,6.408105e-007,4.524919e-009
1.659586907437559e-001,6.334815e-007,4.524919e-009
1.698243652461743e-001,6.262366e-007,4.524919e-009
1.737800828749374e-001,6.190747e-007,4.524919e-009
1.778279410038921e-001,6.119948e-007,4.524919e-009
1.819700858609982e-001,6.049960e-007,4.524919e-009
1.862087136662866e-001,5.980775e-007,4.524919e-009
1.905460717963245e-001,5.912382e-007,4.524919e-009
1.949844599758043e-001,5.844773e-007,4.524919e-009
1.995262314968878e-001,5.777939e-007,4.524919e-009
2.041737944669527e-001,5.711869e-007,4.524919e-009
2.089296130854037e-001,5.646558e-007,4.524919e-009
2.137962089502230e-001,5.581995e-007,4.524919e-009
2.187761623949550e-001,5.518172e-007,4.524919e-009
2.238721138568337e-001,5.455080e-007,4.524919e-009
2.290867652767770e-001,5.392711e-007,4.524919e-009
2.344228815319919e-001,5.331057e-007,4.524919e-009
2.398832919019487e-001,5.270110e-007,4.524919e-009
2.454708915685027e-001,5.209861e-007,4.524919e-009
2.511886431509577e-001,5.150303e-007,4.524919e-009
2.570395782768861e-001,5.091428e-007,4.524919e-009
2.630267991895379e-001,5.033227e-007,4.524919e-009
2.691534803926912e-001,4.975693e-007,4.524919e-009
2.754228703338163e-001,4.918820e-007,4.524919e-009
2.818382931264450e-001,4.862598e-007,4.524919e-009
2.884031503126602e-001,4.807020e-007,4.524919e-009
2.951209226666382e-001,4.752080e-007,4.524919e-009
3.019951720402012e-001,4.697769e-007,4.524919e-009
3.090295432513586e-001,4.644081e-007,4.524919e-009
3.162277660168375e-001,4.591009e-007,4.524919e-009
3.235936569296278e-001,4.538546e-007,4.524919e-009
3.311311214825907e-001,4.486683e-007,4.524919e-009
3.388441561392021e-001,4.435416e-007,4.524919e-009
3.467368504525312e-001,4.384737e-007,4.524919e-009
3.548133892335750e-001,4.334638e-007,4.524919e-009
3.630780547701009e-001,4.285115e-007,4.524919e-009
3.715352290971720e-001,4.236159e-007,4.524919e-009
3.801893963205607e-001,4.187765e-007,4.524919e-009
3.890451449942800e-001,4.139926e-007,4.524919e-009
3.981071705534967e-001,4.092635e-007,4.524919e-009
4.073802778041121e-001,4.045887e-007,4.524919e-009
4.168693834703348e-001,3.999675e-007,4.524919e-009
4.265795188015920e-001,3.953994e-007,4.524919e-009
4.365158322401653e-001,3.908837e-007,4.524919e-009
4.466835921509624e-001,3.864197e-007,4.524919e-009
4.570881896148742e-001,3.820070e-007,4.524919e-009
4.677351412871974e-001,3.776449e-007,4.524919e-009
4.786300923226375e-001,3.733329e-007,4.524919e-009
4.897788193684454e-001,3.690704e-007,4.524919e-009
5.011872336272715e-001,3.648567e-007,4.524919e-009
5.128613839913641e-001,3.606915e-007,4.524919e-009
5.248074602497718e-001,3.565740e-007,4.524919e-009
5.370317963702519e-001,3.525039e-007,4.524919e-009
5.495408738576236e-001,3.484804e-007,4.524919e-009
5.623413251903481e-001,3.445031e-007,4.524919e-009
5.754399373371559e-001,3.405715e-007,4.524919e-009
5.888436553555879e-001,3.366850e-007,4.524919e-009
6.025595860743567e-001,3.328432e-007,4.524919e-009
6.165950018614811e-001,3.290455e-007,4.524919e-009
6.309573444801921e-001,3.252914e-007,4.524919e-009
6.456542290346544e-001,3.215804e-007,4.524919e-009
6.606934480075949e-001,3.179120e-007,4.524919e-009
6.760829753919806e-001,3.142858e-007,4.524919e-009
6.918309709189353e-001,3.107012e-007,4.524919e-009
7.079457843841367e-001,3.071578e-007,4.524919e-009
7.244359600749888e-001,3.036552e-007,4.524919e-009
7.413102413009162e-001,3.001927e-007,4.524919e-009
7.585775750291823e-001,2.967701e-007,4.524919e-009
7.762471166286903e-001,2.933868e-007,4.524919e-009
7.943282347242799e-001,2.900424e-007,4.524919e-009
8.128305161640976e-001,2.867364e-007,4.524919e-009
8.317637711026693e-001,2.834684e-007,4.524919e-009
8.511380382023747e-001,2.802381e-007,4.524919e-009
8.709635899560788e-001,2.770448e-007,4.524919e-009
8.912509381337437e-001,2.738883e-007,4.524919e-009
9.120108393559078e-001,2.707681e-007,4.524919e-009
9.332543007969890e-001,2.676837e-007,4.524919e-009
9.549925860214339e-001,2.646348e-007,4.524919e-009
9.772372209558086e-001,2.616211e-007,4.524919e-009
9.999999999999978e-001,2.586420e-007,4.524919e-009
1.023292992280752e+000,2.556972e-007,4.524919e-009
1.047128548050897e+000,2.527862e-007,4.524919e-009
1.071519305237604e+000,2.499088e-007,4.524919e-009
1.096478196143182e+000,2.470645e-007,4.524919e-009
1.122018454301961e+000,2.442530e-007,4.524919e-009
1.148153621496880e+000,2.414738e-007,4.524919e-009
1.174897554939527e+000,2.387266e-007,4.524919e-009
1.202264434617410e+000,2.360111e-007,4.524919e-009
1.230268770812378e+000,2.333268e-007,4.524919e-009
1.258925411794164e+000,2.306735e-007,4.524919e-009
1.288249551693131e+000,2.280508e-007,4.524919e-009
1.318256738556404e+000,2.254583e-007,4.524919e-009
1.348962882591650e+000,2.228956e-007,4.524919e-009
1.380384264602881e+000,2.203625e-007,4.524919e-009
1.412537544622750e+000,2.178586e-007,4.524919e-009
1.445439770745923e+000,2.153836e-007,4.524919e-009
1.479108388168203e+000,2.129372e-007,4.524919e-009
1.513561248436204e+000,2.105189e-007,4.524919e-009
1.548816618912477e+000,2.081286e-007,4.524918e-009
1.584893192461109e+000,2.057658e-007,4.524918e-009
1.621810097358925e+000,2.034303e-007,4.524918e-009
1.659586907437555e+000,2.011218e-007,4.524918e-009
1.698243652461739e+000,1.988400e-007,4.524918e-009
1.737800828749370e+000,1.965844e-007,4.524918e-009
1.778279410038917e+000,1.943550e-007,4.524918e-009
1.819700858609977e+000,1.921513e-007,4.524918e-009
1.862087136662861e+000,1.899731e-007,4.524918e-009
1.905460717963241e+000,1.878200e-007,4.524918e-009
1.949844599758039e+000,1.856919e-007,4.524918e-009
1.995262314968873e+000,1.835883e-007,4.524918e-009
2.041737944669523e+000,1.815091e-007,4.524918e-009
2.089296130854033e+000,1.794539e-007,4.524918e-009
2.137962089502225e+000,1.774226e-007,4.524918e-009
2.187761623949545e+000,1.754147e-007,4.524918e-009
2.238721138568332e+000,1.734301e-007,4.524918e-009
2.290867652767766e+000,1.714685e-007,4.524918e-009
2.344228815319914e+000,1.695296e-007,4.524918e-009
2.398832919019482e+000,1.676131e-007,4.524918e-009
2.454708915685022e+000,1.657189e-007,4.524918e-009
2.511886431509572e+000,1.638466e-007,4.524918e-009
2.570395782768855e+000,1.619961e-007,4.524918e-009
2.630267991895373e+000,1.601670e-007,4.524918e-009
2.691534803926906e+000,1.583592e-007,4.524918e-009
2.754228703338157e+000,1.565723e-007,4.524918e-009
2.818382931264444e+000,1.548062e-007,4.524918e-009
2.884031503126595e+000,1.530606e-007,4.524918e-009
2.951209226666375e+000,1.513352e-007,4.524918e-009
3.019951720402005e+000,1.496300e-007,4.524918e-009
3.090295432513579e+000,1.479445e-007,4.524918e-009
3.162277660168367e+000,1.462787e-007,4.524918e-009
3.235936569296270e+000,1.446323e-007,4.524918e-009
3.311311214825898e+000,1.430050e-007,4.524918e-009
3.388441561392012e+000,1.413967e-007,4.524918e-009
3.467368504525302e+000,1.398071e-007,4.524918e-009
3.548133892335740e+000,1.382360e-007,4.524918e-009
3.630780547700999e+000,1.366832e-007,4.524918e-009
3.715352290971711e+000,1.351486e-007,4.524918e-009
3.801893963205597e+000,1.336318e-007,4.524918e-009
3.890451449942790e+000,1.321328e-007,4.524918e-009
3.981071705534956e+000,1.306513e-007,4.524918e-009
4.073802778041110e+000,1.291871e-007,4.524918e-009
4.168693834703337e+000,1.277400e-007,4.524918e-009
4.265795188015909e+000,1.263098e-007,4.524918e-009
4.365158322401642e+000,1.248964e-007,4.524918e-009
4.466835921509612e+000,1.234995e-007,4.524918e-009
4.570881896148731e+000,1.221189e-007,4.524918e-009
4.677351412871962e+000,1.207546e-007,4.524918e-009
4.786300923226363e+000,1.194062e-007,4.524918e-009
4.897788193684440e+000,1.180737e-007,4.524918e-009
5.011872336272701e+000,1.167568e-007,4.524918e-009
5.128613839913625e+000,1.154553e-007,4.524918e-009
5.248074602497702e+000,1.141692e-007,4.524918e-009
5.370317963702503e+000,1.128982e-007,4.524918e-009
5.495408738576220e+000,1.116421e-007,4.524918e-009
5.623413251903465e+000,1.104008e-007,4.524918e-009
5.754399373371542e+000,1.091741e-007,4.524918e-009
5.888436553555861e+000,1.079619e-007,4.524918e-009
6.025595860743549e+000,1.067640e-007,4.524918e-009
6.165950018614792e+000,1.055802e-007,4.524918e-009
6.309573444801902e+000,1.044105e-007,4.524918e-009
6.456542290346524e+000,1.032545e-007,4.524918e-009
6.606934480075928e+000,1.021122e-007,4.524918e-009
6.760829753919785e+000,1.009834e-007,4.524918e-009
6.918309709189331e+000,9.986802e-008,4.524918e-009
7.079457843841344e+000,9.876583e-008,4.524918e-009
7.244359600749864e+000,9.767672e-008,4.524918e-009
7.413102413009137e+000,9.660054e-008,4.524918e-009
7.585775750291798e+000,9.553714e-008,4.524918e-009
7.762471166286877e+000,9.448639e-008,4.524918e-009
7.943282347242774e+000,9.344814e-008,4.524918e-009
8.128305161640951e+000,9.242225e-008,4.524918e-009
8.317637711026666e+000,9.140860e-008,4.524918e-009
8.511380382023720e+000,9.040704e-008,4.524918e-009
8.709635899560761e+000,8.941744e-008,4.524918e-009
8.912509381337408e+000,8.843967e-008,4.524918e-009
9.120108393559049e+000,8.747359e-008,4.524918e-009
9.332543007969861e+000,8.651909e-008,4.524918e-009
9.549925860214309e+000,8.557603e-008,4.524918e-009
9.772372209558055e+000,8.464429e-008,4.524918e-009
9.999999999999947e+000,8.372374e-008,4.524918e-009
1.023292992280749e+001,8.281425e-008,4.524918e-009
1.047128548050894e+001,8.191572e-008,4.524918e-009
1.071519305237601e+001,8.102801e-008,4.524918e-009
1.096478196143179e+001,8.015101e-008,4.524918e-009
1.122018454301957e+001,7.928460e-008,4.524917e-009
1.148153621496876e+001,7.842867e-008,4.524917e-009
1.174897554939523e+001,7.758310e-008,4.524917e-009
1.202264434617406e+001,7.674777e-008,4.524917e-009
1.230268770812375e+001,7.592258e-008,4.524917e-009
1.258925411794160e+001,7.510742e-008,4.524917e-009
1.288249551693127e+001,7.430217e-008,4.524917e-009
1.318256738556400e+001,7.350673e-008,4.524917e-009
1.348962882591646e+001,7.272099e-008,4.524917e-009
1.380384264602877e+001,7.194485e-008,4.524917e-009
1.412537544622746e+001,7.117819e-008,4.524917e-009
1.445439770745919e+001,7.042093e-008,4.524917e-009
1.479108388168199e+001,6.967295e-008,4.524917e-009
1.513561248436199e+001,6.893416e-008,4.524917e-009
1.548816618912472e+001,6.820445e-008,4.524917e-009
1.584893192461104e+001,6.748373e-008,4.524916e-009
1.621810097358920e+001,6.677190e-008,4.524916e-009
1.659586907437550e+001,6.606887e-008,4.524916e-009
1.698243652461734e+001,6.537453e-008,4.524916e-009
1.737800828749365e+001,6.468881e-008,4.524916e-009
1.778279410038912e+001,6.401159e-008,4.524916e-009
1.819700858609972e+001,6.334279e-008,4.524916e-009
1.862087136662855e+001,6.268232e-008,4.524916e-009
1.905460717963235e+001,6.203010e-008,4.524916e-009
1.949844599758032e+001,6.138602e-008,4.524916e-009
1.995262314968866e+001,6.075001e-008,4.524916e-009
2.041737944669515e+001,6.012198e-008,4.524916e-009
2.089296130854025e+001,5.950183e-008,4.524915e-009
