frequency,V(onoise),V(r1)
1.000000000000000e-001,5.017868e-006,3.676959e-009
1.023292992280754e-001,4.960430e-006,3.676959e-009
1.047128548050900e-001,4.903648e-006,3.676959e-009
1.071519305237607e-001,4.847517e-006,3.676959e-009
1.096478196143185e-001,4.792028e-006,3.676959e-009
1.122018454301964e-001,4.737175e-006,3.676959e-009
1.148153621496883e-001,4.682949e-006,3.676959e-009
1.174897554939530e-001,4.629344e-006,3.676959e-009
1.202264434617413e-001,4.576353e-006,3.676959e-009
1.230268770812382e-001,4.523968e-006,3.676959e-009
1.258925411794167e-001,4.472183e-006,3.676959e-009
1.288249551693134e-001,4.420991e-006,3.676959e-009
1.318256738556407e-001,4.370384e-006,3.676959e-009
1.348962882591653e-001,4.320357e-006,3.676959e-009
1.380384264602884e-001,4.270903e-006,3.676959e-009
1.412537544622754e-001,4.222015e-006,3.676959e-009
1.445439770745927e-001,4.173686e-006,3.676959e-009
1.479108388168207e-001,4.125910e-006,3.676959e-009
1.513561248436207e-001,4.078682e-006,3.676959e-009
1.548816618912480e-001,4.031994e-006,3.676959e-009
1.584893192461112e-001,3.985841e-006,3.676959e-009
1.621810097358929e-001,3.940216e-006,3.676959e-009
1.659586907437559e-001,3.895113e-006,3.676959e-009
1.698243652461743e-001,3.850526e-006,3.676959e-009
1.737800828749374e-001,3.806450e-006,3.676959e-009
1.778279410038921e-001,3.762878e-006,3.676959e-009
1.819700858609982e-001,3.719805e-006,3.676959e-009
1.862087136662866e-001,3.677226e-006,3.676959e-009
1.905460717963245e-001,3.635133e-006,3.676959e-009
1.949844599758043e-001,3.593522e-006,3.676959e-009
1.995262314968878e-001,3.552388e-006,3.676959e-009
2.041737944669527e-001,3.511725e-006,3.676959e-009
2.089296130854037e-001,3.471527e-006,3.676959e-009
2.137962089502230e-001,3.431789e-006,3.676959e-009
2.187761623949550e-001,3.392506e-006,3.676959e-009
2.238721138568337e-001,3.353673e-006,3.676959e-009
2.290867652767770e-001,3.315284e-006,3.676959e-009
2.344228815319919e-001,3.277335e-006,3.676959e-009
2.398832919019487e-001,3.239820e-006,3.676959e-009
2.454708915685027e-001,3.202735e-006,3.676959e-009
2.511886431509577e-001,3.166074e-006,3.676959e-009
2.570395782768861e-001,3.129833e-006,3.676959e-009
2.630267991895379e-001,3.094006e-006,3.676959e-009
2.691534803926912e-001,3.058590e-006,3.676959e-009
2.754228703338163e-001,3.023579e-006,3.676959e-009
2.818382931264450e-001,2.988969e-006,3.676959e-009
2.884031503126602e-001,2.954755e-006,3.676959e-009
2.951209226666382e-001,2.920933e-006,3.676959e-009
3.019951720402012e-001,2.887497e-006,3.676959e-009
3.090295432513586e-001,2.854445e-006,3.676959e-009
3.162277660168375e-001,2.821771e-006,3.676959e-009
3.235936569296278e-001,2.789471e-006,3.676959e-009
3.311311214825907e-001,2.757541e-006,3.676959e-009
3.388441561392021e-001,2.725976e-006,3.676959e-009
3.467368504525312e-001,2.694773e-006,3.676959e-009
3.548133892335750e-001,2.663926e-006,3.676959e-009
3.630780547701009e-001,2.633433e-006,3.676959e-009
3.715352290971720e-001,2.603289e-006,3.676959e-009
3.801893963205607e-001,2.573490e-006,3.676959e-009
3.890451449942800e-001,2.544032e-006,3.676959e-009
3.981071705534967e-001,2.514912e-006,3.676959e-009
4.073802778041121e-001,2.486124e-006,3.676959e-009
4.168693834703348e-001,2.457667e-006,3.676959e-009
4.265795188015920e-001,2.429535e-006,3.676959e-009
4.365158322401653e-001,2.401724e-006,3.676959e-009
4.466835921509624e-001,2.374233e-006,3.676959e-009
4.570881896148742e-001,2.347056e-006,3.676959e-009
4.677351412871974e-001,2.320190e-006,3.676959e-009
4.786300923226375e-001,2.293632e-006,3.676959e-009
4.897788193684454e-001,2.267377e-006,3.676959e-009
5.011872336272715e-001,2.241424e-006,3.676959e-009
5.128613839913641e-001,2.215767e-006,3.676959e-009
5.248074602497718e-001,2.190404e-006,3.676959e-009
5.370317963702519e-001,2.165331e-006,3.676959e-009
5.495408738576236e-001,2.140546e-006,3.676959e-009
5.623413251903481e-001,2.116044e-006,3.676959e-009
5.754399373371559e-001,2.091822e-006,3.676959e-009
5.888436553555879e-001,2.067878e-006,3.676959e-009
6.025595860743567e-001,2.044208e-006,3.676959e-009
6.165950018614811e-001,2.020809e-006,3.676959e-009
6.309573444801921e-001,1.997678e-006,3.676959e-009
6.456542290346544e-001,1.974811e-006,3.676959e-009
6.606934480075949e-001,1.952207e-006,3.676959e-009
6.760829753919806e-001,1.929861e-006,3.676959e-009
6.918309709189353e-001,1.907771e-006,3.676959e-009
7.079457843841367e-001,1.885933e-006,3.676959e-009
7.244359600749888e-001,1.864346e-006,3.676959e-009
7.413102413009162e-001,1.843006e-006,3.676959e-009
7.585775750291823e-001,1.821910e-006,3.676959e-009
7.762471166286903e-001,1.801056e-006,3.676959e-009
