frequency	V(onoise)	V(r1)
1.000000000000000e-001	1.244023e-006	8.142643e-007
1.023292992280754e-001	1.236574e-006	8.142643e-007
1.047128548050900e-001	1.229251e-006	8.142643e-007
1.071519305237607e-001	1.222052e-006	8.142643e-007
1.096478196143185e-001	1.214976e-006	8.142643e-007
1.122018454301964e-001	1.208020e-006	8.142643e-007
1.148153621496883e-001	1.201184e-006	8.142643e-007
1.174897554939530e-001	1.194466e-006	8.142643e-007
1.202264434617413e-001	1.187865e-006	8.142643e-007
1.230268770812382e-001	1.181377e-006	8.142643e-007
1.258925411794167e-001	1.175003e-006	8.142643e-007
1.288249551693134e-001	1.168741e-006	8.142643e-007
1.318256738556407e-001	1.162588e-006	8.142643e-007
1.348962882591653e-001	1.156544e-006	8.142643e-007
1.380384264602884e-001	1.150607e-006	8.142643e-007
1.412537544622754e-001	1.144775e-006	8.142643e-007
1.445439770745927e-001	1.139047e-006	8.142643e-007
1.479108388168207e-001	1.133421e-006	8.142643e-007
1.513561248436207e-001	1.127897e-006	8.142643e-007
1.548816618912480e-001	1.122471e-006	8.142643e-007
1.584893192461112e-001	1.117144e-006	8.142643e-007
1.621810097358929e-001	1.111914e-006	8.142643e-007
1.659586907437559e-001	1.106778e-006	8.142643e-007
1.698243652461743e-001	1.101737e-006	8.142643e-007
1.737800828749374e-001	1.096788e-006	8.142643e-007
1.778279410038921e-001	1.091929e-006	8.142643e-007
1.819700858609982e-001	1.087161e-006	8.142643e-007
1.862087136662866e-001	1.082481e-006	8.142643e-007
1.905460717963245e-001	1.077887e-006	8.142643e-007
1.949844599758043e-001	1.073379e-006	8.142643e-007
1.995262314968878e-001	1.068956e-006	8.142643e-007
2.041737944669527e-001	1.064615e-006	8.142643e-007
2.089296130854037e-001	1.060356e-006	8.142643e-007
2.137962089502230e-001	1.056177e-006	8.142643e-007
2.187761623949550e-001	1.052078e-006	8.142643e-007
2.238721138568337e-001	1.048056e-006	8.142643e-007
2.290867652767770e-001	1.044111e-006	8.142643e-007
2.344228815319919e-001	1.040241e-006	8.142643e-007
2.398832919019487e-001	1.036445e-006	8.142643e-007
2.454708915685027e-001	1.032722e-006	8.142643e-007
2.511886431509577e-001	1.029071e-006	8.142643e-007
2.570395782768861e-001	1.025491e-006	8.142643e-007
2.630267991895379e-001	1.021980e-006	8.142643e-007
2.691534803926912e-001	1.018537e-006	8.142643e-007
2.754228703338163e-001	1.015161e-006	8.142643e-007
2.818382931264450e-001	1.011851e-006	8.142643e-007
2.884031503126602e-001	1.008606e-006	8.142643e-007
2.951209226666382e-001	1.005425e-006	8.142643e-007
3.019951720402012e-001	1.002306e-006	8.142643e-007
3.090295432513586e-001	9.992492e-007	8.142643e-007
3.162277660168375e-001	9.962527e-007	8.142643e-007
3.235936569296278e-001	9.933157e-007	8.142643e-007
3.311311214825907e-001	9.904371e-007	8.142643e-007
3.388441561392021e-001	9.876160e-007	8.142643e-007
3.467368504525312e-001	9.848512e-007	8.142643e-007
3.548133892335750e-001	9.821418e-007	8.142643e-007
3.630780547701009e-001	9.794869e-007	8.142643e-007
3.715352290971720e-001	9.768855e-007	8.142643e-007
3.801893963205607e-001	9.743366e-007	8.142643e-007
3.890451449942800e-001	9.718392e-007	8.142643e-007
3.981071705534967e-001	9.693924e-007	8.142643e-007
4.073802778041121e-001	9.669955e-007	8.142643e-007
4.168693834703348e-001	9.646473e-007	8.142643e-007
4.265795188015920e-001	9.623469e-007	8.142643e-007
4.365158322401653e-001	9.600936e-007	8.142643e-007
4.466835921509624e-001	9.578865e-007	8.142643e-007
4.570881896148742e-001	9.557248e-007	8.142643e-007
4.677351412871974e-001	9.536075e-007	8.142643e-007
4.786300923226375e-001	9.515338e-007	8.142643e-007
4.897788193684454e-001	9.495030e-007	8.142643e-007
5.011872336272715e-001	9.475142e-007	8.142643e-007
5.128613839913641e-001	9.455666e-007	8.142643e-007
5.248074602497718e-001	9.436595e-007	8.142643e-007
5.370317963702519e-001	9.417921e-007	8.142643e-007
5.495408738576236e-001	9.399635e-007	8.142643e-007
5.623413251903481e-001	9.381732e-007	8.142643e-007
5.754399373371559e-001	9.364202e-007	8.142643e-007
5.888436553555879e-001	9.347041e-007	8.142643e-007
6.025595860743567e-001	9.330239e-007	8.142643e-007
6.165950018614811e-001	9.313791e-007	8.142643e-007
6.309573444801921e-001	9.297689e-007	8.142643e-007
6.456542290346544e-001	9.281926e-007	8.142643e-007
6.606934480075949e-001	9.266496e-007	8.142643e-007
6.760829753919806e-001	9.251393e-007	8.142643e-007
6.918309709189353e-001	9.236609e-007	8.142643e-007
7.079457843841367e-001	9.222140e-007	8.142643e-007
7.244359600749888e-001	9.207977e-007	8.142643e-007
7.413102413009162e-001	9.194116e-007	8.142643e-007
7.585775750291823e-001	9.180550e-007	8.142643e-007
7.762471166286903e-001	9.167274e-007	8.142643e-007
7.943282347242799e-001	9.154281e-007	8.142643e-007
8.128305161640976e-001	9.141567e-007	8.142643e-007
8.317637711026693e-001	9.129124e-007	8.142643e-007
8.511380382023747e-001	9.116948e-007	8.142643e-007
8.709635899560788e-001	9.105034e-007	8.142643e-007
8.912509381337437e-001	9.093375e-007	8.142643e-007
9.120108393559078e-001	9.081969e-007	8.142643e-007
9.332543007969890e-001	9.070807e-007	8.142643e-007
9.549925860214339e-001	9.059886e-007	8.142643e-007
9.772372209558086e-001	9.049201e-007	8.142643e-007
9.999999999999978e-001	9.038748e-007	8.142643e-007
1.023292992280752e+000	9.028520e-007	8.142643e-007
1.047128548050897e+000	9.018514e-007	8.142643e-007
1.071519305237604e+000	9.008725e-007	8.142643e-007
1.096478196143182e+000	8.999149e-007	8.142643e-007
1.122018454301961e+000	8.989780e-007	8.142643e-007
1.148153621496880e+000	8.980616e-007	8.142643e-007
1.174897554939527e+000	8.971651e-007	8.142643e-007
1.202264434617410e+000	8.962882e-007	8.142643e-007
1.230268770812378e+000	8.954303e-007	8.142643e-007
1.258925411794164e+000	8.945913e-007	8.142643e-007
1.288249551693131e+000	8.937705e-007	8.142643e-007
1.318256738556404e+000	8.929677e-007	8.142643e-007
1.348962882591650e+000	8.921825e-007	8.142643e-007
1.380384264602881e+000	8.914145e-007	8.142643e-007
1.412537544622750e+000	8.906633e-007	8.142643e-007
1.445439770745923e+000	8.899286e-007	8.142643e-007
1.479108388168203e+000	8.892101e-007	8.142643e-007
1.513561248436204e+000	8.885073e-007	8.142643e-007
1.548816618912477e+000	8.878201e-007	8.142643e-007
1.584893192461109e+000	8.871479e-007	8.142643e-007
1.621810097358925e+000	8.864905e-007	8.142643e-007
1.659586907437555e+000	8.858477e-007	8.142643e-007
1.698243652461739e+000	8.852190e-007	8.142643e-007
1.737800828749370e+000	8.846042e-007	8.142643e-007
1.778279410038917e+000	8.840030e-007	8.142643e-007
1.819700858609977e+000	8.834151e-007	8.142643e-007
1.862087136662861e+000	8.828401e-007	8.142643e-007
1.905460717963241e+000	8.822780e-007	8.142643e-007
1.949844599758039e+000	8.817282e-007	8.142643e-007
1.995262314968873e+000	8.811906e-007	8.142643e-007
2.041737944669523e+000	8.806650e-007	8.142643e-007
2.089296130854033e+000	8.801510e-007	8.142643e-007
2.137962089502225e+000	8.796484e-007	8.142643e-007
2.187761623949545e+000	8.791570e-007	8.142643e-007
2.238721138568332e+000	8.786765e-007	8.142643e-007
2.290867652767766e+000	8.782067e-007	8.142643e-007
2.344228815319914e+000	8.777474e-007	8.142643e-007
2.398832919019482e+000	8.772982e-007	8.142643e-007
2.454708915685022e+000	8.768591e-007	8.142643e-007
2.511886431509572e+000	8.764297e-007	8.142643e-007
2.570395782768855e+000	8.760099e-007	8.142643e-007
2.630267991895373e+000	8.755995e-007	8.142643e-007
2.691534803926906e+000	8.751983e-007	8.142643e-007
2.754228703338157e+000	8.748060e-007	8.142643e-007
2.818382931264444e+000	8.744224e-007	8.142643e-007
2.884031503126595e+000	8.740475e-007	8.142643e-007
2.951209226666375e+000	8.736808e-007	8.142643e-007
3.019951720402005e+000	8.733224e-007	8.142643e-007
3.090295432513579e+000	8.729721e-007	8.142643e-007
3.162277660168367e+000	8.726295e-007	8.142643e-007
3.235936569296270e+000	8.722947e-007	8.142643e-007
3.311311214825898e+000	8.719673e-007	8.142643e-007
3.388441561392012e+000	8.716473e-007	8.142643e-007
3.467368504525302e+000	8.713344e-007	8.142643e-007
3.548133892335740e+000	8.710285e-007	8.142643e-007
3.630780547700999e+000	8.707295e-007	8.142643e-007
3.715352290971711e+000	8.704372e-007	8.142643e-007
3.801893963205597e+000	8.701515e-007	8.142643e-007
3.890451449942790e+000	8.698722e-007	8.142643e-007
3.981071705534956e+000	8.695991e-007	8.142643e-007
4.073802778041110e+000	8.693322e-007	8.142643e-007
4.168693834703337e+000	8.690713e-007	8.142643e-007
4.265795188015909e+000	8.688162e-007	8.142643e-007
4.365158322401642e+000	8.685669e-007	8.142643e-007
4.466835921509612e+000	8.683232e-007	8.142643e-007
4.570881896148731e+000	8.680850e-007	8.142643e-007
4.677351412871962e+000	8.678521e-007	8.142643e-007
4.786300923226363e+000	8.676245e-007	8.142643e-007
4.897788193684440e+000	8.674020e-007	8.142643e-007
5.011872336272701e+000	8.671844e-007	8.142643e-007
5.128613839913625e+000	8.669718e-007	8.142643e-007
5.248074602497702e+000	8.667640e-007	8.142643e-007
5.370317963702503e+000	8.665609e-007	8.142643e-007
5.495408738576220e+000	8.663624e-007	8.142643e-007
5.623413251903465e+000	8.661683e-007	8.142643e-007
5.754399373371542e+000	8.659786e-007	8.142643e-007
5.888436553555861e+000	8.657932e-007	8.142643e-007
6.025595860743549e+000	8.656119e-007	8.142643e-007
6.165950018614792e+000	8.654348e-007	8.142643e-007
6.309573444801902e+000	8.652617e-007	8.142643e-007
6.456542290346524e+000	8.650924e-007	8.142643e-007
6.606934480075928e+000	8.649270e-007	8.142643e-007
6.760829753919785e+000	8.647653e-007	8.142643e-007
6.918309709189331e+000	8.646073e-007	8.142643e-007
7.079457843841344e+000	8.644528e-007	8.142643e-007
7.244359600749864e+000	8.643018e-007	8.142643e-007
7.413102413009137e+000	8.641542e-007	8.142643e-007
7.585775750291798e+000	8.640100e-007	8.142643e-007
7.762471166286877e+000	8.638690e-007	8.142643e-007
7.943282347242774e+000	8.637313e-007	8.142643e-007
8.128305161640951e+000	8.635966e-007	8.142643e-007
8.317637711026666e+000	8.634650e-007	8.142643e-007
8.511380382023720e+000	8.633363e-007	8.142643e-007
8.709635899560761e+000	8.632106e-007	8.142643e-007
8.912509381337408e+000	8.630877e-007	8.142643e-007
9.120108393559049e+000	8.629676e-007	8.142643e-007
9.332543007969861e+000	8.628502e-007	8.142643e-007
9.549925860214309e+000	8.627355e-007	8.142643e-007
9.772372209558055e+000	8.626234e-007	8.142643e-007
9.999999999999947e+000	8.625137e-007	8.142643e-007
1.023292992280749e+001	8.624066e-007	8.142643e-007
1.047128548050894e+001	8.623019e-007	8.142643e-007
1.071519305237601e+001	8.621996e-007	8.142643e-007
1.096478196143179e+001	8.620996e-007	8.142643e-007
1.122018454301957e+001	8.620019e-007	8.142643e-007
1.148153621496876e+001	8.619064e-007	8.142643e-007
1.174897554939523e+001	8.618130e-007	8.142643e-007
1.202264434617406e+001	8.617218e-007	8.142643e-007
1.230268770812375e+001	8.616327e-007	8.142643e-007
1.258925411794160e+001	8.615455e-007	8.142643e-007
1.288249551693127e+001	8.614603e-007	8.142643e-007
1.318256738556400e+001	8.613771e-007	8.142643e-007
1.348962882591646e+001	8.612957e-007	8.142643e-007
1.380384264602877e+001	8.612162e-007	8.142643e-007
1.412537544622746e+001	8.611385e-007	8.142643e-007
1.445439770745919e+001	8.610626e-007	8.142643e-007
1.479108388168199e+001	8.609883e-007	8.142643e-007
1.513561248436199e+001	8.609158e-007	8.142643e-007
1.548816618912472e+001	8.608449e-007	8.142643e-007
1.584893192461104e+001	8.607756e-007	8.142643e-007
1.621810097358920e+001	8.607079e-007	8.142643e-007
1.659586907437550e+001	8.606418e-007	8.142643e-007
1.698243652461734e+001	8.605771e-007	8.142643e-007
1.737800828749365e+001	8.605139e-007	8.142643e-007
