Freq.	V(v-)	V(vout)
1.00000000000000e-002	(2.12587417829098e+001dB,1.13336799011282e-005°)	(1.19997364389437e+002dB,1.79999992823346e+002°)
1.02329299228075e-002	(2.12587417829095e+001dB,1.15976752195967e-005°)	(1.19997364389436e+002dB,1.79999992656180e+002°)
1.04712854805090e-002	(2.12587417829101e+001dB,1.18678197789806e-005°)	(1.19997364389436e+002dB,1.79999992485121e+002°)
1.07151930523761e-002	(2.12587417829097e+001dB,1.21442568135047e-005°)	(1.19997364389435e+002dB,1.79999992310077e+002°)
1.09647819614318e-002	(2.12587417829074e+001dB,1.24271328937438e-005°)	(1.19997364389435e+002dB,1.79999992130956e+002°)
1.12201845430196e-002	(2.12587417829089e+001dB,1.27165980043027e-005°)	(1.19997364389435e+002dB,1.79999991947662e+002°)
1.14815362149688e-002	(2.12587417829085e+001dB,1.30128056234979e-005°)	(1.19997364389434e+002dB,1.79999991760099e+002°)
1.17489755493953e-002	(2.12587417829080e+001dB,1.33159128044669e-005°)	(1.19997364389434e+002dB,1.79999991568167e+002°)
1.20226443461741e-002	(2.12587417829066e+001dB,1.36260802586702e-005°)	(1.19997364389433e+002dB,1.79999991371764e+002°)
1.23026877081238e-002	(2.12587417829061e+001dB,1.39434724409880e-005°)	(1.19997364389433e+002dB,1.79999991170787e+002°)
1.25892541179417e-002	(2.12587417829056e+001dB,1.42682576369453e-005°)	(1.19997364389432e+002dB,1.79999990965128e+002°)
1.28824955169313e-002	(2.12587417829070e+001dB,1.46006080519651e-005°)	(1.19997364389432e+002dB,1.79999990754679e+002°)
1.31825673855641e-002	(2.12587417829065e+001dB,1.49406999026613e-005°)	(1.19997364389431e+002dB,1.79999990539328e+002°)
1.34896288259165e-002	(2.12587417829039e+001dB,1.52887135102067e-005°)	(1.19997364389430e+002dB,1.79999990318960e+002°)
1.38038426460288e-002	(2.12587417829033e+001dB,1.56448333960225e-005°)	(1.19997364389430e+002dB,1.79999990093460e+002°)
1.41253754462275e-002	(2.12587417829046e+001dB,1.60092483796068e-005°)	(1.19997364389429e+002dB,1.79999989862707e+002°)
1.44543977074593e-002	(2.12587417829020e+001dB,1.63821516785800e-005°)	(1.19997364389428e+002dB,1.79999989626579e+002°)
1.47910838816821e-002	(2.12587417829013e+001dB,1.67637410112433e-005°)	(1.19997364389428e+002dB,1.79999989384951e+002°)
1.51356124843621e-002	(2.12587417829015e+001dB,1.71542187012547e-005°)	(1.19997364389427e+002dB,1.79999989137695e+002°)
1.54881661891248e-002	(2.12587417828998e+001dB,1.75537917851116e-005°)	(1.19997364389426e+002dB,1.79999988884679e+002°)
1.58489319246111e-002	(2.12587417829009e+001dB,1.79626721217416e-005°)	(1.19997364389425e+002dB,1.79999988625770e+002°)
1.62181009735893e-002	(2.12587417829001e+001dB,1.83810765048807e-005°)	(1.19997364389424e+002dB,1.79999988360830e+002°)
1.65958690743756e-002	(2.12587417828982e+001dB,1.88092267780942e-005°)	(1.19997364389423e+002dB,1.79999988089719e+002°)
1.69824365246174e-002	(2.12587417828973e+001dB,1.92473499523401e-005°)	(1.19997364389422e+002dB,1.79999987812293e+002°)
1.73780082874937e-002	(2.12587417828953e+001dB,1.96956783262966e-005°)	(1.19997364389421e+002dB,1.79999987528405e+002°)
1.77827941003892e-002	(2.12587417828963e+001dB,2.01544496095936e-005°)	(1.19997364389420e+002dB,1.79999987237904e+002°)
1.81970085860998e-002	(2.12587417828932e+001dB,2.06239070489004e-005°)	(1.19997364389419e+002dB,1.79999986940637e+002°)
1.86208713666287e-002	(2.12587417828921e+001dB,2.11042995567078e-005°)	(1.19997364389418e+002dB,1.79999986636445e+002°)
1.90546071796325e-002	(2.12587417828910e+001dB,2.15958818434693e-005°)	(1.19997364389417e+002dB,1.79999986325168e+002°)
1.94984459975804e-002	(2.12587417828907e+001dB,2.20989145526728e-005°)	(1.19997364389415e+002dB,1.79999986006640e+002°)
1.99526231496888e-002	(2.12587417828884e+001dB,2.26136643989130e-005°)	(1.19997364389414e+002dB,1.79999985680693e+002°)
2.04173794466953e-002	(2.12587417828881e+001dB,2.31404043093215e-005°)	(1.19997364389412e+002dB,1.79999985347153e+002°)
2.08929613085404e-002	(2.12587417828857e+001dB,2.36794135684393e-005°)	(1.19997364389411e+002dB,1.79999985005845e+002°)
2.13796208950223e-002	(2.12587417828852e+001dB,2.42309779660490e-005°)	(1.19997364389409e+002dB,1.79999984656586e+002°)
2.18776162394955e-002	(2.12587417828817e+001dB,2.47953899489847e-005°)	(1.19997364389408e+002dB,1.79999984299192e+002°)
2.23872113856834e-002	(2.12587417828811e+001dB,2.53729487758533e-005°)	(1.19997364389406e+002dB,1.79999983933473e+002°)
2.29086765276777e-002	(2.12587417828794e+001dB,2.59639606760080e-005°)	(1.19997364389404e+002dB,1.79999983559236e+002°)
2.34422881531992e-002	(2.12587417828766e+001dB,2.65687390118915e-005°)	(1.19997364389402e+002dB,1.79999983176281e+002°)
2.39883291901949e-002	(2.12587417828757e+001dB,2.71876044448139e-005°)	(1.19997364389400e+002dB,1.79999982784406e+002°)
2.45470891568503e-002	(2.12587417828728e+001dB,2.78208851055706e-005°)	(1.19997364389398e+002dB,1.79999982383404e+002°)
2.51188643150958e-002	(2.12587417828708e+001dB,2.84689167678422e-005°)	(1.19997364389396e+002dB,1.79999981973061e+002°)
2.57039578276886e-002	(2.12587417828706e+001dB,2.91320430266433e-005°)	(1.19997364389394e+002dB,1.79999981553159e+002°)
2.63026799189538e-002	(2.12587417828684e+001dB,2.98106154802777e-005°)	(1.19997364389391e+002dB,1.79999981123477e+002°)
2.69153480392691e-002	(2.12587417828651e+001dB,3.05049939168497e-005°)	(1.19997364389389e+002dB,1.79999980683786e+002°)
2.75422870333816e-002	(2.12587417828626e+001dB,3.12155465050661e-005°)	(1.19997364389386e+002dB,1.79999980233854e+002°)
2.81838293126445e-002	(2.12587417828610e+001dB,3.19426499892317e-005°)	(1.19997364389384e+002dB,1.79999979773441e+002°)
2.88403150312660e-002	(2.12587417828584e+001dB,3.26866898892788e-005°)	(1.19997364389381e+002dB,1.79999979302304e+002°)
2.95120922666638e-002	(2.12587417828556e+001dB,3.34480607049822e-005°)	(1.19997364389378e+002dB,1.79999978820193e+002°)
3.01995172040201e-002	(2.12587417828517e+001dB,3.42271661252755e-005°)	(1.19997364389375e+002dB,1.79999978326852e+002°)
3.09029543251359e-002	(2.12587417828495e+001dB,3.50244192421195e-005°)	(1.19997364389371e+002dB,1.79999977822019e+002°)
3.16227766016838e-002	(2.12587417828463e+001dB,3.58402427696983e-005°)	(1.19997364389368e+002dB,1.79999977305428e+002°)
3.23593656929628e-002	(2.12587417828429e+001dB,3.66750692684722e-005°)	(1.19997364389364e+002dB,1.79999976776803e+002°)
3.31131121482591e-002	(2.12587417828394e+001dB,3.75293413744497e-005°)	(1.19997364389361e+002dB,1.79999976235866e+002°)
3.38844156139202e-002	(2.12587417828357e+001dB,3.84035120340488e-005°)	(1.19997364389357e+002dB,1.79999975682328e+002°)
3.46736850452531e-002	(2.12587417828318e+001dB,3.92980447441310e-005°)	(1.19997364389353e+002dB,1.79999975115896e+002°)
3.54813389233575e-002	(2.12587417828268e+001dB,4.02134137978037e-005°)	(1.19997364389348e+002dB,1.79999974536271e+002°)
3.63078054770101e-002	(2.12587417828235e+001dB,4.11501045357760e-005°)	(1.19997364389344e+002dB,1.79999973943145e+002°)
3.71535229097172e-002	(2.12587417828171e+001dB,4.21086136040180e-005°)	(1.19997364389339e+002dB,1.79999973336203e+002°)
3.80189396320561e-002	(2.12587417828144e+001dB,4.30894492165596e-005°)	(1.19997364389334e+002dB,1.79999972715123e+002°)
3.89045144994280e-002	(2.12587417828086e+001dB,4.40931314255770e-005°)	(1.19997364389329e+002dB,1.79999972079577e+002°)
3.98107170553497e-002	(2.12587417828044e+001dB,4.51201923965638e-005°)	(1.19997364389323e+002dB,1.79999971429226e+002°)
4.07380277804112e-002	(2.12587417827981e+001dB,4.61711766909559e-005°)	(1.19997364389318e+002dB,1.79999970763728e+002°)
