Freq.	V(v-)	V(vout)
1.00000000000000e-002	(2.11464071532348e+001dB,3.99581590300246e-006°)	(1.19885029759762e+002dB,1.79999985485482e+002°)
1.02329299228075e-002	(2.11464071532341e+001dB,4.08889041202468e-006°)	(1.19885029759761e+002dB,1.79999985147396e+002°)
1.04712854805090e-002	(2.11464071532344e+001dB,4.18413290486864e-006°)	(1.19885029759760e+002dB,1.79999984801434e+002°)
1.07151930523761e-002	(2.11464071532336e+001dB,4.28159388036848e-006°)	(1.19885029759759e+002dB,1.79999984447414e+002°)
1.09647819614318e-002	(2.11464071532309e+001dB,4.38132501362358e-006°)	(1.19885029759759e+002dB,1.79999984085148e+002°)
1.12201845430196e-002	(2.11464071532320e+001dB,4.48337918336381e-006°)	(1.19885029759758e+002dB,1.79999983714443e+002°)
1.14815362149688e-002	(2.11464071532312e+001dB,4.58781050014437e-006°)	(1.19885029759757e+002dB,1.79999983335104e+002°)
1.17489755493953e-002	(2.11464071532302e+001dB,4.69467433476890e-006°)	(1.19885029759756e+002dB,1.79999982946928e+002°)
1.20226443461741e-002	(2.11464071532283e+001dB,4.80402734787829e-006°)	(1.19885029759755e+002dB,1.79999982549711e+002°)
1.23026877081238e-002	(2.11464071532273e+001dB,4.91592751987814e-006°)	(1.19885029759754e+002dB,1.79999982143242e+002°)
1.25892541179417e-002	(2.11464071532261e+001dB,5.03043418170747e-006°)	(1.19885029759753e+002dB,1.79999981727305e+002°)
1.28824955169313e-002	(2.11464071532269e+001dB,5.14760804633194e-006°)	(1.19885029759751e+002dB,1.79999981301679e+002°)
1.31825673855641e-002	(2.11464071532258e+001dB,5.26751124090815e-006°)	(1.19885029759750e+002dB,1.79999980866139e+002°)
1.34896288259165e-002	(2.11464071532227e+001dB,5.39020733966923e-006°)	(1.19885029759749e+002dB,1.79999980420454e+002°)
1.38038426460288e-002	(2.11464071532214e+001dB,5.51576139771104e-006°)	(1.19885029759748e+002dB,1.79999979964388e+002°)
1.41253754462275e-002	(2.11464071532220e+001dB,5.64423998547825e-006°)	(1.19885029759746e+002dB,1.79999979497699e+002°)
1.44543977074593e-002	(2.11464071532187e+001dB,5.77571122399135e-006°)	(1.19885029759745e+002dB,1.79999979020139e+002°)
1.47910838816821e-002	(2.11464071532173e+001dB,5.91024482107788e-006°)	(1.19885029759744e+002dB,1.79999978531455e+002°)
1.51356124843621e-002	(2.11464071532168e+001dB,6.04791210817498e-006°)	(1.19885029759742e+002dB,1.79999978031388e+002°)
1.54881661891248e-002	(2.11464071532142e+001dB,6.18878607835853e-006°)	(1.19885029759740e+002dB,1.79999977519674e+002°)
1.58489319246111e-002	(2.11464071532145e+001dB,6.33294142486199e-006°)	(1.19885029759739e+002dB,1.79999976996039e+002°)
1.62181009735893e-002	(2.11464071532128e+001dB,6.48045458072821e-006°)	(1.19885029759737e+002dB,1.79999976460208e+002°)
1.65958690743756e-002	(2.11464071532100e+001dB,6.63140375940859e-006°)	(1.19885029759735e+002dB,1.79999975911896e+002°)
1.69824365246174e-002	(2.11464071532081e+001dB,6.78586899617199e-006°)	(1.19885029759733e+002dB,1.79999975350812e+002°)
1.73780082874937e-002	(2.11464071532052e+001dB,6.94393219050414e-006°)	(1.19885029759731e+002dB,1.79999974776659e+002°)
1.77827941003892e-002	(2.11464071532050e+001dB,7.10567714959519e-006°)	(1.19885029759729e+002dB,1.79999974189132e+002°)
1.81970085860998e-002	(2.11464071532009e+001dB,7.27118963282641e-006°)	(1.19885029759727e+002dB,1.79999973587919e+002°)
1.86208713666287e-002	(2.11464071531986e+001dB,7.44055739705037e-006°)	(1.19885029759724e+002dB,1.79999972972703e+002°)
1.90546071796325e-002	(2.11464071531963e+001dB,7.61387024328526e-006°)	(1.19885029759722e+002dB,1.79999972343156e+002°)
1.94984459975804e-002	(2.11464071531943e+001dB,7.79122006434244e-006°)	(1.19885029759719e+002dB,1.79999971698946e+002°)
1.99526231496888e-002	(2.11464071531907e+001dB,7.97270089345352e-006°)	(1.19885029759716e+002dB,1.79999971039730e+002°)
2.04173794466953e-002	(2.11464071531889e+001dB,8.15840895409982e-006°)	(1.19885029759713e+002dB,1.79999970365158e+002°)
2.08929613085404e-002	(2.11464071531851e+001dB,8.34844271122235e-006°)	(1.19885029759710e+002dB,1.79999969674874e+002°)
2.13796208950223e-002	(2.11464071531831e+001dB,8.54290292317425e-006°)	(1.19885029759707e+002dB,1.79999968968511e+002°)
2.18776162394955e-002	(2.11464071531778e+001dB,8.74189269542080e-006°)	(1.19885029759704e+002dB,1.79999968245695e+002°)
2.23872113856834e-002	(2.11464071531755e+001dB,8.94551753488500e-006°)	(1.19885029759700e+002dB,1.79999967506042e+002°)
2.29086765276777e-002	(2.11464071531720e+001dB,9.15388540616756e-006°)	(1.19885029759697e+002dB,1.79999966749161e+002°)
2.34422881531992e-002	(2.11464071531674e+001dB,9.36710678878369e-006°)	(1.19885029759693e+002dB,1.79999965974649e+002°)
2.39883291901949e-002	(2.11464071531646e+001dB,9.58529473536531e-006°)	(1.19885029759689e+002dB,1.79999965182097e+002°)
2.45470891568503e-002	(2.11464071531595e+001dB,9.80856493219813e-006°)	(1.19885029759685e+002dB,1.79999964371084e+002°)
2.51188643150958e-002	(2.11464071531554e+001dB,1.00370357599981e-005°)	(1.19885029759681e+002dB,1.79999963541180e+002°)
2.57039578276886e-002	(2.11464071531530e+001dB,1.02708283570694e-005°)	(1.19885029759676e+002dB,1.79999962691945e+002°)
