frequency	V(onoise)	V(r1)	V(rl)
1.000000000000000e+000	8.243900e-007	8.142745e-007	1.287481e-007
1.023292992280754e+000	8.243900e-007	8.142745e-007	1.287481e-007
1.047128548050899e+000	8.243900e-007	8.142744e-007	1.287481e-007
1.071519305237606e+000	8.243900e-007	8.142744e-007	1.287481e-007
1.096478196143185e+000	8.243900e-007	8.142744e-007	1.287481e-007
1.122018454301963e+000	8.243900e-007	8.142744e-007	1.287481e-007
1.148153621496882e+000	8.243899e-007	8.142744e-007	1.287481e-007
1.174897554939529e+000	8.243899e-007	8.142744e-007	1.287481e-007
1.202264434617413e+000	8.243899e-007	8.142743e-007	1.287481e-007
1.230268770812381e+000	8.243899e-007	8.142743e-007	1.287481e-007
1.258925411794167e+000	8.243899e-007	8.142742e-007	1.287481e-007
1.288249551693134e+000	8.243898e-007	8.142742e-007	1.287481e-007
1.318256738556407e+000	8.243898e-007	8.142742e-007	1.287481e-007
1.348962882591653e+000	8.243898e-007	8.142742e-007	1.287481e-007
1.380384264602885e+000	8.243898e-007	8.142741e-007	1.287480e-007
1.412537544622754e+000	8.243897e-007	8.142741e-007	1.287480e-007
1.445439770745927e+000	8.243896e-007	8.142741e-007	1.287480e-007
1.479108388168207e+000	8.243896e-007	8.142740e-007	1.287480e-007
1.513561248436208e+000	8.243896e-007	8.142740e-007	1.287480e-007
1.548816618912481e+000	8.243895e-007	8.142740e-007	1.287480e-007
1.584893192461113e+000	8.243895e-007	8.142739e-007	1.287480e-007
1.621810097358929e+000	8.243895e-007	8.142739e-007	1.287480e-007
1.659586907437560e+000	8.243894e-007	8.142738e-007	1.287480e-007
1.698243652461744e+000	8.243894e-007	8.142738e-007	1.287480e-007
1.737800828749375e+000	8.243893e-007	8.142737e-007	1.287480e-007
1.778279410038922e+000	8.243893e-007	8.142737e-007	1.287480e-007
1.819700858609982e+000	8.243892e-007	8.142736e-007	1.287480e-007
1.862087136662866e+000	8.243892e-007	8.142736e-007	1.287480e-007
1.905460717963246e+000	8.243891e-007	8.142735e-007	1.287479e-007
1.949844599758044e+000	8.243890e-007	8.142734e-007	1.287479e-007
1.995262314968878e+000	8.243890e-007	8.142734e-007	1.287479e-007
2.041737944669527e+000	8.243889e-007	8.142733e-007	1.287479e-007
2.089296130854037e+000	8.243888e-007	8.142733e-007	1.287479e-007
2.137962089502230e+000	8.243887e-007	8.142732e-007	1.287479e-007
2.187761623949550e+000	8.243887e-007	8.142731e-007	1.287479e-007
2.238721138568337e+000	8.243886e-007	8.142730e-007	1.287479e-007
2.290867652767771e+000	8.243885e-007	8.142729e-007	1.287479e-007
2.344228815319919e+000	8.243884e-007	8.142728e-007	1.287478e-007
2.398832919019488e+000	8.243883e-007	8.142728e-007	1.287478e-007
2.454708915685028e+000	8.243882e-007	8.142727e-007	1.287478e-007
2.511886431509577e+000	8.243881e-007	8.142725e-007	1.287478e-007
2.570395782768860e+000	8.243880e-007	8.142724e-007	1.287478e-007
2.630267991895378e+000	8.243879e-007	8.142723e-007	1.287478e-007
2.691534803926912e+000	8.243878e-007	8.142722e-007	1.287477e-007
2.754228703338163e+000	8.243877e-007	8.142721e-007	1.287477e-007
2.818382931264450e+000	8.243875e-007	8.142720e-007	1.287477e-007
2.884031503126602e+000	8.243874e-007	8.142718e-007	1.287477e-007
2.951209226666381e+000	8.243873e-007	8.142717e-007	1.287477e-007
3.019951720402012e+000	8.243871e-007	8.142715e-007	1.287476e-007
3.090295432513586e+000	8.243869e-007	8.142714e-007	1.287476e-007
3.162277660168374e+000	8.243867e-007	8.142712e-007	1.287476e-007
3.235936569296277e+000	8.243866e-007	8.142711e-007	1.287476e-007
3.311311214825905e+000	8.243864e-007	8.142709e-007	1.287475e-007
3.388441561392020e+000	8.243862e-007	8.142707e-007	1.287475e-007
3.467368504525310e+000	8.243860e-007	8.142705e-007	1.287475e-007
3.548133892335748e+000	8.243858e-007	8.142703e-007	1.287474e-007
3.630780547701007e+000	8.243856e-007	8.142700e-007	1.287474e-007
3.715352290971719e+000	8.243854e-007	8.142698e-007	1.287474e-007
3.801893963205605e+000	8.243852e-007	8.142696e-007	1.287473e-007
3.890451449942799e+000	8.243849e-007	8.142694e-007	1.287473e-007
3.981071705534965e+000	8.243846e-007	8.142691e-007	1.287472e-007
4.073802778041119e+000	8.243844e-007	8.142688e-007	1.287472e-007
4.168693834703346e+000	8.243841e-007	8.142686e-007	1.287472e-007
4.265795188015918e+000	8.243838e-007	8.142683e-007	1.287471e-007
4.365158322401651e+000	8.243834e-007	8.142679e-007	1.287471e-007
4.466835921509622e+000	8.243831e-007	8.142676e-007	1.287470e-007
4.570881896148741e+000	8.243828e-007	8.142673e-007	1.287470e-007
4.677351412871972e+000	8.243824e-007	8.142669e-007	1.287469e-007
4.786300923226373e+000	8.243820e-007	8.142666e-007	1.287468e-007
4.897788193684452e+000	8.243816e-007	8.142662e-007	1.287468e-007
5.011872336272712e+000	8.243812e-007	8.142658e-007	1.287467e-007
5.128613839913638e+000	8.243808e-007	8.142653e-007	1.287466e-007
5.248074602497715e+000	8.243803e-007	8.142649e-007	1.287466e-007
5.370317963702516e+000	8.243799e-007	8.142644e-007	1.287465e-007
5.495408738576233e+000	8.243794e-007	8.142639e-007	1.287464e-007
5.623413251903478e+000	8.243788e-007	8.142634e-007	1.287464e-007
5.754399373371556e+000	8.243783e-007	8.142629e-007	1.287463e-007
5.888436553555876e+000	8.243778e-007	8.142623e-007	1.287462e-007
6.025595860743564e+000	8.243771e-007	8.142617e-007	1.287461e-007
6.165950018614807e+000	8.243765e-007	8.142611e-007	1.287460e-007
6.309573444801917e+000	8.243758e-007	8.142604e-007	1.287459e-007
6.456542290346540e+000	8.243751e-007	8.142597e-007	1.287458e-007
6.606934480075944e+000	8.243745e-007	8.142591e-007	1.287457e-007
6.760829753919802e+000	8.243737e-007	8.142583e-007	1.287455e-007
6.918309709189348e+000	8.243729e-007	8.142575e-007	1.287454e-007
7.079457843841362e+000	8.243721e-007	8.142567e-007	1.287453e-007
7.244359600749883e+000	8.243712e-007	8.142558e-007	1.287452e-007
7.413102413009157e+000	8.243703e-007	8.142550e-007	1.287450e-007
7.585775750291819e+000	8.243694e-007	8.142540e-007	1.287449e-007
7.762471166286898e+000	8.243684e-007	8.142530e-007	1.287447e-007
7.943282347242795e+000	8.243673e-007	8.142520e-007	1.287445e-007
8.128305161640972e+000	8.243662e-007	8.142509e-007	1.287444e-007
8.317637711026690e+000	8.243651e-007	8.142498e-007	1.287442e-007
8.511380382023743e+000	8.243639e-007	8.142486e-007	1.287440e-007
8.709635899560784e+000	8.243626e-007	8.142474e-007	1.287438e-007
8.912509381337431e+000	8.243613e-007	8.142461e-007	1.287436e-007
9.120108393559072e+000	8.243600e-007	8.142447e-007	1.287434e-007
9.332543007969884e+000	8.243586e-007	8.142433e-007	1.287432e-007
9.549925860214332e+000	8.243570e-007	8.142418e-007	1.287429e-007
9.772372209558078e+000	8.243555e-007	8.142403e-007	1.287427e-007
9.999999999999970e+000	8.243538e-007	8.142387e-007	1.287424e-007
1.023292992280751e+001	8.243521e-007	8.142370e-007	1.287422e-007
1.047128548050896e+001	8.243503e-007	8.142352e-007	1.287419e-007
1.071519305237603e+001	8.243484e-007	8.142333e-007	1.287416e-007
1.096478196143182e+001	8.243464e-007	8.142313e-007	1.287413e-007
1.122018454301960e+001	8.243443e-007	8.142293e-007	1.287410e-007
1.148153621496879e+001	8.243422e-007	8.142272e-007	1.287406e-007
