Freq.	V(vout)
1.00000000000000e-001	(1.19999999961423e+002dB,-5.39999998401124e-003°)
1.02329299228075e-001	(1.19999999959605e+002dB,-5.52578214118381e-003°)
1.04712854805090e-001	(1.19999999957701e+002dB,-5.65449414111731e-003°)
1.07151930523761e-001	(1.19999999955708e+002dB,-5.78620422861260e-003°)
1.09647819614319e-001	(1.19999999953620e+002dB,-5.92098223809591e-003°)
1.12201845430196e-001	(1.19999999951435e+002dB,-6.05889963064588e-003°)
1.14815362149688e-001	(1.19999999949146e+002dB,-6.20002953188320e-003°)
1.17489755493953e-001	(1.19999999946749e+002dB,-6.34444677074273e-003°)
1.20226443461741e-001	(1.19999999944240e+002dB,-6.49222791914875e-003°)
1.23026877081238e-001	(1.19999999941612e+002dB,-6.64345133261440e-003°)
1.25892541179417e-001	(1.19999999938860e+002dB,-6.79819719178673e-003°)
1.28824955169313e-001	(1.19999999935978e+002dB,-6.95654754495956e-003°)
1.31825673855641e-001	(1.19999999932961e+002dB,-7.11858635157647e-003°)
1.34896288259165e-001	(1.19999999929802e+002dB,-7.28439952674718e-003°)
1.38038426460288e-001	(1.19999999926493e+002dB,-7.45407498680085e-003°)
1.41253754462275e-001	(1.19999999923029e+002dB,-7.62770269590043e-003°)
1.44543977074593e-001	(1.19999999919402e+002dB,-7.80537471374273e-003°)
1.47910838816821e-001	(1.19999999915603e+002dB,-7.98718524436971e-003°)
1.51356124843621e-001	(1.19999999911626e+002dB,-8.17323068611660e-003°)
1.54881661891248e-001	(1.19999999907461e+002dB,-8.36360968272352e-003°)
1.58489319246111e-001	(1.19999999903099e+002dB,-8.55842317563761e-003°)
1.62181009735893e-001	(1.19999999898533e+002dB,-8.75777445753344e-003°)
1.65958690743756e-001	(1.19999999893751e+002dB,-8.96176922708009e-003°)
1.69824365246174e-001	(1.19999999888743e+002dB,-9.17051564498386e-003°)
1.73780082874937e-001	(1.19999999883500e+002dB,-9.38412439133642e-003°)
1.77827941003892e-001	(1.19999999878009e+002dB,-9.60270872429878e-003°)
1.81970085860998e-001	(1.19999999872260e+002dB,-9.82638454015210e-003°)
1.86208713666287e-001	(1.19999999866240e+002dB,-1.00552704347474e-002°)
1.90546071796325e-001	(1.19999999859936e+002dB,-1.02894877663863e-002°)
1.94984459975804e-001	(1.19999999853335e+002dB,-1.05291607201671e-002°)
1.99526231496888e-001	(1.19999999846423e+002dB,-1.07744163738287e-002°)
2.04173794466953e-001	(1.19999999839185e+002dB,-1.10253847651290e-002°)
2.08929613085404e-001	(1.19999999831606e+002dB,-1.12821989607926e-002°)
2.13796208950223e-001	(1.19999999823670e+002dB,-1.15449951270639e-002°)
2.18776162394955e-001	(1.19999999815360e+002dB,-1.18139126019047e-002°)
2.23872113856834e-001	(1.19999999806658e+002dB,-1.20890939688722e-002°)
2.29086765276777e-001	(1.19999999797546e+002dB,-1.23706851327188e-002°)
2.34422881531992e-001	(1.19999999788005e+002dB,-1.26588353967525e-002°)
2.39883291901949e-001	(1.19999999778014e+002dB,-1.29536975419989e-002°)
2.45470891568503e-001	(1.19999999767552e+002dB,-1.32554279082081e-002°)
2.51188643150958e-001	(1.19999999756597e+002dB,-1.35641864767470e-002°)
2.57039578276886e-001	(1.19999999745125e+002dB,-1.38801369554238e-002°)
2.63026799189538e-001	(1.19999999733114e+002dB,-1.42034468652875e-002°)
2.69153480392691e-001	(1.19999999720536e+002dB,-1.45342876294494e-002°)
2.75422870333816e-001	(1.19999999707365e+002dB,-1.48728346639736e-002°)
2.81838293126445e-001	(1.19999999693573e+002dB,-1.52192674708843e-002°)
2.88403150312660e-001	(1.19999999679132e+002dB,-1.55737697333401e-002°)
2.95120922666638e-001	(1.19999999664010e+002dB,-1.59365294130241e-002°)
3.01995172040201e-001	(1.19999999648175e+002dB,-1.63077388498039e-002°)
3.09029543251359e-001	(1.19999999631594e+002dB,-1.66875948637117e-002°)
3.16227766016838e-001	(1.19999999614232e+002dB,-1.70762988593003e-002°)
3.23593656929628e-001	(1.19999999596051e+002dB,-1.74740569324302e-002°)
3.31131121482591e-001	(1.19999999577013e+002dB,-1.78810799795432e-002°)
3.38844156139202e-001	(1.19999999557079e+002dB,-1.82975838094820e-002°)
3.46736850452531e-001	(1.19999999536204e+002dB,-1.87237892579143e-002°)
3.54813389233575e-001	(1.19999999514346e+002dB,-1.91599223044215e-002°)
3.63078054770101e-001	(1.19999999491458e+002dB,-1.96062141923154e-002°)
3.71535229097172e-001	(1.19999999467492e+002dB,-2.00629015512456e-002°)
3.80189396320561e-001	(1.19999999442395e+002dB,-2.05302265226627e-002°)
3.89045144994280e-001	(1.19999999416116e+002dB,-2.10084368882033e-002°)
3.98107170553497e-001	(1.19999999388598e+002dB,-2.14977862010664e-002°)
4.07380277804112e-001	(1.19999999359784e+002dB,-2.19985339204494e-002°)
4.16869383470335e-001	(1.19999999329612e+002dB,-2.25109455491150e-002°)
4.26579518801592e-001	(1.19999999298017e+002dB,-2.30352927741633e-002°)
4.36515832240165e-001	(1.19999999264934e+002dB,-2.35718536110820e-002°)
4.46683592150962e-001	(1.19999999230291e+002dB,-2.41209125511525e-002°)
4.57088189614874e-001	(1.19999999194016e+002dB,-2.46827607122887e-002°)
4.67735141287197e-001	(1.19999999156031e+002dB,-2.52576959933903e-002°)
4.78630092322638e-001	(1.19999999116256e+002dB,-2.58460232322901e-002°)
4.89778819368445e-001	(1.19999999074606e+002dB,-2.64480543673809e-002°)
5.01187233627271e-001	(1.19999999030994e+002dB,-2.70641086030074e-002°)
5.12861383991364e-001	(1.19999998985326e+002dB,-2.76945125787097e-002°)
5.24807460249772e-001	(1.19999998937506e+002dB,-2.83396005424092e-002°)
5.37031796370252e-001	(1.19999998887432e+002dB,-2.89997145276284e-002°)
5.49540873857624e-001	(1.19999998834998e+002dB,-2.96752045348386e-002°)
5.62341325190348e-001	(1.19999998780094e+002dB,-3.03664287170312e-002°)
5.75439937337156e-001	(1.19999998722601e+002dB,-3.10737535696117e-002°)
5.88843655355588e-001	(1.19999998662399e+002dB,-3.17975541247167e-002°)
6.02559586074357e-001	(1.19999998599360e+002dB,-3.25382141500566e-002°)
6.16595001861481e-001	(1.19999998533350e+002dB,-3.32961263523897e-002°)
6.30957344480192e-001	(1.19999998464229e+002dB,-3.40716925857365e-002°)
6.45654229034654e-001	(1.19999998391850e+002dB,-3.48653240644421e-002°)
6.60693448007595e-001	(1.19999998316061e+002dB,-3.56774415812027e-002°)
6.76082975391981e-001	(1.19999998236699e+002dB,-3.65084757301692e-002°)
6.91830970918935e-001	(1.19999998153597e+002dB,-3.73588671352481e-002°)
7.07945784384137e-001	(1.19999998066579e+002dB,-3.82290666837191e-002°)
7.24435960074989e-001	(1.19999997975460e+002dB,-3.91195357652944e-002°)
7.41310241300916e-001	(1.19999997880046e+002dB,-4.00307465167462e-002°)
7.58577575029182e-001	(1.19999997780136e+002dB,-4.09631820722315e-002°)
7.76247116628690e-001	(1.19999997675517e+002dB,-4.19173368194472e-002°)
7.94328234724280e-001	(1.19999997565967e+002dB,-4.28937166617519e-002°)
8.12830516164098e-001	(1.19999997451255e+002dB,-4.38928392863923e-002°)
8.31763771102669e-001	(1.19999997331136e+002dB,-4.49152344389770e-002°)
8.51138038202375e-001	(1.19999997205356e+002dB,-4.59614442043431e-002°)
8.70963589956079e-001	(1.19999997073649e+002dB,-4.70320232939641e-002°)
8.91250938133744e-001	(1.19999996935734e+002dB,-4.81275393400523e-002°)
9.12010839355908e-001	(1.19999996791320e+002dB,-4.92485731965103e-002°)
9.33254300796989e-001	(1.19999996640100e+002dB,-5.03957192468921e-002°)
9.54992586021434e-001	(1.19999996481752e+002dB,-5.15695857195371e-002°)
9.77237220955809e-001	(1.19999996315943e+002dB,-5.27707950100430e-002°)
9.99999999999998e-001	(1.19999996142318e+002dB,-5.39999840112493e-002°)
1.02329299228075e+000	(1.19999995960512e+002dB,-5.52578044509061e-002°)
1.04712854805090e+000	(1.19999995770136e+002dB,-5.65449232372075e-002°)
1.07151930523760e+000	(1.19999995570789e+002dB,-5.78620228123716e-002°)
1.09647819614318e+000	(1.19999995362047e+002dB,-5.92098015144559e-002°)
1.12201845430196e+000	(1.19999995143467e+002dB,-6.05889739475985e-002°)
1.14815362149688e+000	(1.19999994914586e+002dB,-6.20002713608823e-002°)
1.17489755493953e+000	(1.19999994674918e+002dB,-6.34444420360225e-002°)
1.20226443461741e+000	(1.19999994423955e+002dB,-6.49222516840827e-002°)
1.23026877081238e+000	(1.19999994161164e+002dB,-6.64344838514297e-002°)
1.25892541179416e+000	(1.19999993885988e+002dB,-6.79819403351433e-002°)
1.28824955169313e+000	(1.19999993597844e+002dB,-6.95654416080984e-002°)
1.31825673855640e+000	(1.19999993296120e+002dB,-7.11858272539486e-002°)
1.34896288259165e+000	(1.19999992980176e+002dB,-7.28439564122376e-002°)
1.38038426460288e+000	(1.19999992649342e+002dB,-7.45407082338769e-002°)
1.41253754462275e+000	(1.19999992302917e+002dB,-7.62769823472306e-002°)
1.44543977074592e+000	(1.19999991940165e+002dB,-7.80536993350530e-002°)
1.47910838816820e+000	(1.19999991560317e+002dB,-7.98718012225329e-002°)
1.51356124843620e+000	(1.19999991162567e+002dB,-8.17322519767029e-002°)
1.54881661891248e+000	(1.19999990746072e+002dB,-8.36360380174768e-002°)
1.58489319246111e+000	(1.19999990309949e+002dB,-8.55841687405885e-002°)
1.62181009735892e+000	(1.19999989853271e+002dB,-8.75776770527058e-002°)
1.65958690743756e+000	(1.19999989375071e+002dB,-8.96176199190056e-002°)
1.69824365246174e+000	(1.19999988874334e+002dB,-9.17050789234986e-002°)
1.73780082874937e+000	(1.19999988349998e+002dB,-9.38411608424003e-002°)
1.77827941003892e+000	(1.19999987800952e+002dB,-9.60269982308531e-002°)
1.81970085860998e+000	(1.19999987226029e+002dB,-9.82637500233080e-002°)
1.86208713666286e+000	(1.19999986624011e+002dB,-1.00552602147886e-001°)
1.90546071796324e+000	(1.19999985993621e+002dB,-1.02894768155042e-001°)
1.94984459975804e+000	(1.19999985333522e+002dB,-1.05291489860865e-001°)
1.99526231496887e+000	(1.19999984642313e+002dB,-1.07744038005360e-001°)
2.04173794466952e+000	(1.19999983918529e+002dB,-1.10253712926046e-001°)
2.08929613085403e+000	(1.19999983160634e+002dB,-1.12821845247241e-001°)
2.13796208950223e+000	(1.19999982367021e+002dB,-1.15449796585395e-001°)
2.18776162394955e+000	(1.19999981536006e+002dB,-1.18138960270841e-001°)
2.23872113856833e+000	(1.19999980665827e+002dB,-1.20890762086341e-001°)
