Freq.	V(vout)
1.00000000000000e-002	(7.99998983874392e+001dB,1.79999999979561e+002°)
1.02329299228075e-002	(7.99998983874392e+001dB,1.79999999979085e+002°)
1.04712854805090e-002	(7.99998983874392e+001dB,1.79999999978598e+002°)
1.07151930523761e-002	(7.99998983874392e+001dB,1.79999999978100e+002°)
1.09647819614318e-002	(7.99998983874392e+001dB,1.79999999977590e+002°)
1.12201845430196e-002	(7.99998983874392e+001dB,1.79999999977068e+002°)
1.14815362149688e-002	(7.99998983874392e+001dB,1.79999999976533e+002°)
1.17489755493953e-002	(7.99998983874392e+001dB,1.79999999975987e+002°)
1.20226443461741e-002	(7.99998983874392e+001dB,1.79999999975428e+002°)
1.23026877081238e-002	(7.99998983874392e+001dB,1.79999999974855e+002°)
1.25892541179417e-002	(7.99998983874392e+001dB,1.79999999974269e+002°)
1.28824955169313e-002	(7.99998983874392e+001dB,1.79999999973670e+002°)
1.31825673855641e-002	(7.99998983874392e+001dB,1.79999999973057e+002°)
1.34896288259165e-002	(7.99998983874392e+001dB,1.79999999972429e+002°)
1.38038426460288e-002	(7.99998983874392e+001dB,1.79999999971787e+002°)
1.41253754462275e-002	(7.99998983874392e+001dB,1.79999999971130e+002°)
1.44543977074593e-002	(7.99998983874392e+001dB,1.79999999970457e+002°)
1.47910838816821e-002	(7.99998983874392e+001dB,1.79999999969769e+002°)
1.51356124843621e-002	(7.99998983874392e+001dB,1.79999999969065e+002°)
1.54881661891248e-002	(7.99998983874392e+001dB,1.79999999968345e+002°)
1.58489319246111e-002	(7.99998983874392e+001dB,1.79999999967607e+002°)
1.62181009735893e-002	(7.99998983874392e+001dB,1.79999999966853e+002°)
1.65958690743756e-002	(7.99998983874392e+001dB,1.79999999966081e+002°)
1.69824365246174e-002	(7.99998983874392e+001dB,1.79999999965290e+002°)
1.73780082874937e-002	(7.99998983874392e+001dB,1.79999999964482e+002°)
1.77827941003892e-002	(7.99998983874392e+001dB,1.79999999963655e+002°)
1.81970085860998e-002	(7.99998983874392e+001dB,1.79999999962808e+002°)
1.86208713666287e-002	(7.99998983874392e+001dB,1.79999999961942e+002°)
1.90546071796325e-002	(7.99998983874392e+001dB,1.79999999961055e+002°)
1.94984459975804e-002	(7.99998983874392e+001dB,1.79999999960148e+002°)
1.99526231496888e-002	(7.99998983874392e+001dB,1.79999999959220e+002°)
2.04173794466953e-002	(7.99998983874392e+001dB,1.79999999958270e+002°)
2.08929613085404e-002	(7.99998983874392e+001dB,1.79999999957298e+002°)
2.13796208950223e-002	(7.99998983874392e+001dB,1.79999999956303e+002°)
2.18776162394955e-002	(7.99998983874392e+001dB,1.79999999955285e+002°)
2.23872113856834e-002	(7.99998983874392e+001dB,1.79999999954244e+002°)
2.29086765276777e-002	(7.99998983874392e+001dB,1.79999999953178e+002°)
2.34422881531992e-002	(7.99998983874392e+001dB,1.79999999952087e+002°)
2.39883291901949e-002	(7.99998983874392e+001dB,1.79999999950971e+002°)
2.45470891568503e-002	(7.99998983874392e+001dB,1.79999999949829e+002°)
2.51188643150958e-002	(7.99998983874392e+001dB,1.79999999948661e+002°)
2.57039578276886e-002	(7.99998983874392e+001dB,1.79999999947465e+002°)
2.63026799189538e-002	(7.99998983874392e+001dB,1.79999999946241e+002°)
2.69153480392691e-002	(7.99998983874392e+001dB,1.79999999944989e+002°)
2.75422870333816e-002	(7.99998983874392e+001dB,1.79999999943708e+002°)
2.81838293126445e-002	(7.99998983874392e+001dB,1.79999999942396e+002°)
2.88403150312660e-002	(7.99998983874392e+001dB,1.79999999941055e+002°)
2.95120922666638e-002	(7.99998983874392e+001dB,1.79999999939682e+002°)
3.01995172040201e-002	(7.99998983874392e+001dB,1.79999999938277e+002°)
3.09029543251359e-002	(7.99998983874392e+001dB,1.79999999936839e+002°)
3.16227766016838e-002	(7.99998983874392e+001dB,1.79999999935368e+002°)
3.23593656929628e-002	(7.99998983874392e+001dB,1.79999999933862e+002°)
3.31131121482591e-002	(7.99998983874392e+001dB,1.79999999932322e+002°)
3.38844156139202e-002	(7.99998983874392e+001dB,1.79999999930745e+002°)
3.46736850452531e-002	(7.99998983874392e+001dB,1.79999999929132e+002°)
3.54813389233575e-002	(7.99998983874392e+001dB,1.79999999927481e+002°)
3.63078054770101e-002	(7.99998983874392e+001dB,1.79999999925792e+002°)
3.71535229097172e-002	(7.99998983874392e+001dB,1.79999999924064e+002°)
3.80189396320561e-002	(7.99998983874392e+001dB,1.79999999922295e+002°)
3.89045144994280e-002	(7.99998983874392e+001dB,1.79999999920485e+002°)
3.98107170553497e-002	(7.99998983874392e+001dB,1.79999999918633e+002°)
4.07380277804112e-002	(7.99998983874392e+001dB,1.79999999916738e+002°)
4.16869383470335e-002	(7.99998983874392e+001dB,1.79999999914798e+002°)
4.26579518801592e-002	(7.99998983874392e+001dB,1.79999999912814e+002°)
4.36515832240165e-002	(7.99998983874392e+001dB,1.79999999910783e+002°)
4.46683592150962e-002	(7.99998983874392e+001dB,1.79999999908705e+002°)
4.57088189614874e-002	(7.99998983874392e+001dB,1.79999999906578e+002°)
4.67735141287197e-002	(7.99998983874392e+001dB,1.79999999904402e+002°)
4.78630092322637e-002	(7.99998983874392e+001dB,1.79999999902175e+002°)
4.89778819368445e-002	(7.99998983874392e+001dB,1.79999999899897e+002°)
5.01187233627271e-002	(7.99998983874392e+001dB,1.79999999897565e+002°)
5.12861383991364e-002	(7.99998983874392e+001dB,1.79999999895179e+002°)
5.24807460249771e-002	(7.99998983874392e+001dB,1.79999999892737e+002°)
5.37031796370252e-002	(7.99998983874392e+001dB,1.79999999890239e+002°)
5.49540873857623e-002	(7.99998983874392e+001dB,1.79999999887682e+002°)
5.62341325190348e-002	(7.99998983874392e+001dB,1.79999999885066e+002°)
5.75439937337156e-002	(7.99998983874392e+001dB,1.79999999882389e+002°)
5.88843655355588e-002	(7.99998983874392e+001dB,1.79999999879649e+002°)
6.02559586074356e-002	(7.99998983874392e+001dB,1.79999999876846e+002°)
6.16595001861481e-002	(7.99998983874392e+001dB,1.79999999873977e+002°)
6.30957344480192e-002	(7.99998983874392e+001dB,1.79999999871042e+002°)
6.45654229034654e-002	(7.99998983874392e+001dB,1.79999999868038e+002°)
6.60693448007594e-002	(7.99998983874392e+001dB,1.79999999864964e+002°)
6.76082975391980e-002	(7.99998983874392e+001dB,1.79999999861819e+002°)
6.91830970918935e-002	(7.99998983874392e+001dB,1.79999999858600e+002°)
7.07945784384136e-002	(7.99998983874392e+001dB,1.79999999855306e+002°)
