frequency,V(onoise),V(r1)
1.000000000000000e-001,8.060625e-007,8.142653e-009
1.023292992280754e-001,7.968389e-007,8.142653e-009
1.047128548050900e-001,7.877210e-007,8.142653e-009
1.071519305237607e-001,7.787075e-007,8.142653e-009
1.096478196143185e-001,7.697972e-007,8.142653e-009
1.122018454301964e-001,7.609890e-007,8.142653e-009
1.148153621496883e-001,7.522816e-007,8.142653e-009
1.174897554939530e-001,7.436739e-007,8.142653e-009
1.202264434617413e-001,7.351648e-007,8.142653e-009
1.230268770812382e-001,7.267532e-007,8.142653e-009
1.258925411794167e-001,7.184378e-007,8.142653e-009
1.288249551693134e-001,7.102178e-007,8.142653e-009
1.318256738556407e-001,7.020918e-007,8.142653e-009
1.348962882591653e-001,6.940589e-007,8.142653e-009
1.380384264602884e-001,6.861180e-007,8.142653e-009
1.412537544622754e-001,6.782681e-007,8.142653e-009
1.445439770745927e-001,6.705080e-007,8.142653e-009
1.479108388168207e-001,6.628368e-007,8.142653e-009
1.513561248436207e-001,6.552535e-007,8.142653e-009
1.548816618912480e-001,6.477570e-007,8.142653e-009
1.584893192461112e-001,6.403465e-007,8.142653e-009
1.621810097358929e-001,6.330207e-007,8.142653e-009
1.659586907437559e-001,6.257789e-007,8.142653e-009
1.698243652461743e-001,6.186200e-007,8.142653e-009
1.737800828749374e-001,6.115432e-007,8.142653e-009
1.778279410038921e-001,6.045473e-007,8.142653e-009
1.819700858609982e-001,5.976316e-007,8.142653e-009
1.862087136662866e-001,5.907951e-007,8.142653e-009
1.905460717963245e-001,5.840370e-007,8.142653e-009
1.949844599758043e-001,5.773563e-007,8.142653e-009
1.995262314968878e-001,5.707520e-007,8.142653e-009
2.041737944669527e-001,5.642235e-007,8.142653e-009
2.089296130854037e-001,5.577697e-007,8.142653e-009
2.137962089502230e-001,5.513899e-007,8.142653e-009
2.187761623949550e-001,5.450831e-007,8.142653e-009
2.238721138568337e-001,5.388486e-007,8.142653e-009
2.290867652767770e-001,5.326855e-007,8.142653e-009
2.344228815319919e-001,5.265930e-007,8.142653e-009
2.398832919019487e-001,5.205703e-007,8.142653e-009
2.454708915685027e-001,5.146166e-007,8.142653e-009
2.511886431509577e-001,5.087311e-007,8.142653e-009
2.570395782768861e-001,5.029131e-007,8.142653e-009
2.630267991895379e-001,4.971617e-007,8.142653e-009
2.691534803926912e-001,4.914763e-007,8.142653e-009
2.754228703338163e-001,4.858559e-007,8.142653e-009
2.818382931264450e-001,4.803000e-007,8.142653e-009
2.884031503126602e-001,4.748077e-007,8.142653e-009
2.951209226666382e-001,4.693784e-007,8.142653e-009
3.019951720402012e-001,4.640113e-007,8.142653e-009
3.090295432513586e-001,4.587056e-007,8.142653e-009
3.162277660168375e-001,4.534608e-007,8.142653e-009
3.235936569296278e-001,4.482761e-007,8.142653e-009
3.311311214825907e-001,4.431508e-007,8.142653e-009
3.388441561392021e-001,4.380843e-007,8.142653e-009
3.467368504525312e-001,4.330758e-007,8.142653e-009
3.548133892335750e-001,4.281247e-007,8.142653e-009
3.630780547701009e-001,4.232304e-007,8.142653e-009
3.715352290971720e-001,4.183921e-007,8.142653e-009
3.801893963205607e-001,4.136094e-007,8.142653e-009
3.890451449942800e-001,4.088814e-007,8.142653e-009
3.981071705534967e-001,4.042076e-007,8.142653e-009
4.073802778041121e-001,3.995875e-007,8.142653e-009
4.168693834703348e-001,3.950202e-007,8.142653e-009
4.265795188015920e-001,3.905054e-007,8.142653e-009
4.365158322401653e-001,3.860423e-007,8.142653e-009
4.466835921509624e-001,3.816304e-007,8.142653e-009
4.570881896148742e-001,3.772690e-007,8.142653e-009
4.677351412871974e-001,3.729577e-007,8.142653e-009
4.786300923226375e-001,3.686958e-007,8.142653e-009
4.897788193684454e-001,3.644828e-007,8.142653e-009
5.011872336272715e-001,3.603180e-007,8.142653e-009
5.128613839913641e-001,3.562011e-007,8.142653e-009
5.248074602497718e-001,3.521313e-007,8.142653e-009
5.370317963702519e-001,3.481083e-007,8.142653e-009
5.495408738576236e-001,3.441313e-007,8.142653e-009
5.623413251903481e-001,3.402000e-007,8.142653e-009
5.754399373371559e-001,3.363138e-007,8.142653e-009
5.888436553555879e-001,3.324722e-007,8.142653e-009
6.025595860743567e-001,3.286746e-007,8.142653e-009
6.165950018614811e-001,3.249206e-007,8.142653e-009
6.309573444801921e-001,3.212096e-007,8.142653e-009
6.456542290346544e-001,3.175412e-007,8.142653e-009
6.606934480075949e-001,3.139150e-007,8.142653e-009
6.760829753919806e-001,3.103303e-007,8.142653e-009
6.918309709189353e-001,3.067868e-007,8.142653e-009
7.079457843841367e-001,3.032839e-007,8.142653e-009
7.244359600749888e-001,2.998212e-007,8.142653e-009
7.413102413009162e-001,2.963983e-007,8.142653e-009
7.585775750291823e-001,2.930146e-007,8.142653e-009
7.762471166286903e-001,2.896698e-007,8.142653e-009
7.943282347242799e-001,2.863634e-007,8.142653e-009
8.128305161640976e-001,2.830950e-007,8.142653e-009
8.317637711026693e-001,2.798641e-007,8.142653e-009
8.511380382023747e-001,2.766702e-007,8.142653e-009
8.709635899560788e-001,2.735131e-007,8.142653e-009
8.912509381337437e-001,2.703921e-007,8.142653e-009
9.120108393559078e-001,2.673071e-007,8.142653e-009
9.332543007969890e-001,2.642574e-007,8.142653e-009
9.549925860214339e-001,2.612428e-007,8.142653e-009
9.772372209558086e-001,2.582628e-007,8.142653e-009
9.999999999999978e-001,2.553171e-007,8.142653e-009
1.023292992280752e+000,2.524052e-007,8.142653e-009
1.047128548050897e+000,2.495267e-007,8.142653e-009
1.071519305237604e+000,2.466813e-007,8.142653e-009
1.096478196143182e+000,2.438686e-007,8.142653e-009
1.122018454301961e+000,2.410883e-007,8.142653e-009
1.148153621496880e+000,2.383399e-007,8.142653e-009
1.174897554939527e+000,2.356231e-007,8.142653e-009
1.202264434617410e+000,2.329375e-007,8.142653e-009
1.230268770812378e+000,2.302828e-007,8.142653e-009
1.258925411794164e+000,2.276586e-007,8.142653e-009
1.288249551693131e+000,2.250646e-007,8.142653e-009
1.318256738556404e+000,2.225004e-007,8.142653e-009
1.348962882591650e+000,2.199657e-007,8.142653e-009
1.380384264602881e+000,2.174602e-007,8.142653e-009
1.412537544622750e+000,2.149835e-007,8.142653e-009
1.445439770745923e+000,2.125353e-007,8.142653e-009
1.479108388168203e+000,2.101152e-007,8.142653e-009
1.513561248436204e+000,2.077230e-007,8.142653e-009
1.548816618912477e+000,2.053583e-007,8.142653e-009
1.584893192461109e+000,2.030209e-007,8.142653e-009
1.621810097358925e+000,2.007104e-007,8.142653e-009
1.659586907437555e+000,1.984264e-007,8.142653e-009
1.698243652461739e+000,1.961688e-007,8.142653e-009
