Freq.	V(vout)
1.00000000000000e-002	(7.48936080224489e+001dB,1.79999992011107e+002°)
1.02329299228075e-002	(7.48936080224485e+001dB,1.79999991825022e+002°)
1.04712854805090e-002	(7.48936080224481e+001dB,1.79999991634602e+002°)
1.07151930523761e-002	(7.48936080224477e+001dB,1.79999991439747e+002°)
1.09647819614318e-002	(7.48936080224473e+001dB,1.79999991240353e+002°)
1.12201845430196e-002	(7.48936080224469e+001dB,1.79999991036314e+002°)
1.14815362149688e-002	(7.48936080224464e+001dB,1.79999990827523e+002°)
1.17489755493953e-002	(7.48936080224425e+001dB,1.79999990613869e+002°)
1.20226443461741e-002	(7.48936080224420e+001dB,1.79999990395238e+002°)
1.23026877081238e-002	(7.48936080224414e+001dB,1.79999990171514e+002°)
1.25892541179417e-002	(7.48936080224409e+001dB,1.79999989942579e+002°)
1.28824955169313e-002	(7.48936080224403e+001dB,1.79999989708312e+002°)
1.31825673855641e-002	(7.48936080224397e+001dB,1.79999989468588e+002°)
1.34896288259165e-002	(7.48936080224391e+001dB,1.79999989223280e+002°)
1.38038426460288e-002	(7.48936080224384e+001dB,1.79999988972258e+002°)
1.41253754462275e-002	(7.48936080224377e+001dB,1.79999988715388e+002°)
1.44543977074593e-002	(7.48936080224370e+001dB,1.79999988452536e+002°)
1.47910838816821e-002	(7.48936080224362e+001dB,1.79999988183561e+002°)
1.51356124843621e-002	(7.48936080224354e+001dB,1.79999987908321e+002°)
1.54881661891248e-002	(7.48936080224346e+001dB,1.79999987626669e+002°)
1.58489319246111e-002	(7.48936080224337e+001dB,1.79999987338458e+002°)
1.62181009735893e-002	(7.48936080224328e+001dB,1.79999987043532e+002°)
1.65958690743756e-002	(7.48936080224319e+001dB,1.79999986741737e+002°)
1.69824365246174e-002	(7.48936080224309e+001dB,1.79999986432913e+002°)
1.73780082874937e-002	(7.48936080224298e+001dB,1.79999986116895e+002°)
1.77827941003892e-002	(7.48936080224287e+001dB,1.79999985793516e+002°)
1.81970085860998e-002	(7.48936080224276e+001dB,1.79999985462604e+002°)
1.86208713666287e-002	(7.48936080224264e+001dB,1.79999985123985e+002°)
1.90546071796325e-002	(7.48936080224251e+001dB,1.79999984777478e+002°)
1.94984459975804e-002	(7.48936080224238e+001dB,1.79999984422900e+002°)
1.99526231496888e-002	(7.48936080224189e+001dB,1.79999984060062e+002°)
2.04173794466953e-002	(7.48936080224175e+001dB,1.79999983688774e+002°)
2.08929613085404e-002	(7.48936080224160e+001dB,1.79999983308836e+002°)
2.13796208950223e-002	(7.48936080224144e+001dB,1.79999982920049e+002°)
2.18776162394955e-002	(7.48936080224127e+001dB,1.79999982522206e+002°)
2.23872113856834e-002	(7.48936080224110e+001dB,1.79999982115096e+002°)
2.29086765276777e-002	(7.48936080224092e+001dB,1.79999981698503e+002°)
2.34422881531992e-002	(7.48936080224073e+001dB,1.79999981272206e+002°)
2.39883291901949e-002	(7.48936080224053e+001dB,1.79999980835980e+002°)
2.45470891568503e-002	(7.48936080224032e+001dB,1.79999980389593e+002°)
2.51188643150958e-002	(7.48936080224010e+001dB,1.79999979932808e+002°)
2.57039578276886e-002	(7.48936080223952e+001dB,1.79999979465383e+002°)
2.63026799189538e-002	(7.48936080223928e+001dB,1.79999978987070e+002°)
2.69153480392691e-002	(7.48936080223903e+001dB,1.79999978497616e+002°)
2.75422870333816e-002	(7.48936080223877e+001dB,1.79999977996761e+002°)
2.81838293126445e-002	(7.48936080223849e+001dB,1.79999977484240e+002°)
2.88403150312660e-002	(7.48936080223821e+001dB,1.79999976959780e+002°)
2.95120922666638e-002	(7.48936080223790e+001dB,1.79999976423105e+002°)
3.01995172040201e-002	(7.48936080223759e+001dB,1.79999975873928e+002°)
3.09029543251359e-002	(7.48936080223691e+001dB,1.79999975311960e+002°)
3.16227766016838e-002	(7.48936080223656e+001dB,1.79999974736901e+002°)
3.23593656929628e-002	(7.48936080223620e+001dB,1.79999974148448e+002°)
3.31131121482591e-002	(7.48936080223582e+001dB,1.79999973546288e+002°)
3.38844156139202e-002	(7.48936080223542e+001dB,1.79999972930102e+002°)
3.46736850452531e-002	(7.48936080223465e+001dB,1.79999972299563e+002°)
3.54813389233575e-002	(7.48936080223422e+001dB,1.79999971654337e+002°)
3.63078054770101e-002	(7.48936080223376e+001dB,1.79999970994082e+002°)
3.71535229097172e-002	(7.48936080223328e+001dB,1.79999970318447e+002°)
3.80189396320561e-002	(7.48936080223278e+001dB,1.79999969627075e+002°)
3.89045144994280e-002	(7.48936080223191e+001dB,1.79999968919599e+002°)
3.98107170553497e-002	(7.48936080223136e+001dB,1.79999968195643e+002°)
4.07380277804112e-002	(7.48936080223078e+001dB,1.79999967454825e+002°)
4.16869383470335e-002	(7.48936080222983e+001dB,1.79999966696750e+002°)
4.26579518801592e-002	(7.48936080222920e+001dB,1.79999965921018e+002°)
4.36515832240165e-002	(7.48936080222854e+001dB,1.79999965127216e+002°)
4.46683592150962e-002	(7.48936080222750e+001dB,1.79999964314925e+002°)
4.57088189614874e-002	(7.48936080222678e+001dB,1.79999963483713e+002°)
4.67735141287197e-002	(7.48936080222602e+001dB,1.79999962633139e+002°)
4.78630092322637e-002	(7.48936080222488e+001dB,1.79999961762753e+002°)
4.89778819368445e-002	(7.48936080222404e+001dB,1.79999960872093e+002°)
5.01187233627271e-002	(7.48936080222282e+001dB,1.79999959960687e+002°)
5.12861383991364e-002	(7.48936080222191e+001dB,1.79999959028052e+002°)
5.24807460249771e-002	(7.48936080222096e+001dB,1.79999958073692e+002°)
5.37031796370252e-002	(7.48936080221926e+001dB,1.79999957097103e+002°)
5.49540873857623e-002	(7.48936080221821e+001dB,1.79999956097767e+002°)
5.62341325190348e-002	(7.48936080221677e+001dB,1.79999955075152e+002°)
5.75439937337156e-002	(7.48936080221527e+001dB,1.79999954028718e+002°)
5.88843655355588e-002	(7.48936080221407e+001dB,1.79999952957909e+002°)
6.02559586074356e-002	(7.48936080221246e+001dB,1.79999951862158e+002°)
6.16595001861481e-002	(7.48936080221114e+001dB,1.79999950740884e+002°)
6.30957344480192e-002	(7.48936080220942e+001dB,1.79999949593492e+002°)
6.45654229034654e-002	(7.48936080220762e+001dB,1.79999948419373e+002°)
6.60693448007594e-002	(7.48936080220576e+001dB,1.79999947217906e+002°)
6.76082975391980e-002	(7.48936080220418e+001dB,1.79999945988453e+002°)
6.91830970918935e-002	(7.48936080220217e+001dB,1.79999944730363e+002°)
7.07945784384136e-002	(7.48936080220008e+001dB,1.79999943442967e+002°)
7.24435960074988e-002	(7.48936080219757e+001dB,1.79999942125585e+002°)
7.41310241300916e-002	(7.48936080219531e+001dB,1.79999940777517e+002°)
7.58577575029182e-002	(7.48936080219297e+001dB,1.79999939398048e+002°)
7.76247116628690e-002	(7.48936080219053e+001dB,1.79999937986447e+002°)
7.94328234724279e-002	(7.48936080218799e+001dB,1.79999936541966e+002°)
8.12830516164097e-002	(7.48936080218536e+001dB,1.79999935063838e+002°)
8.31763771102669e-002	(7.48936080218261e+001dB,1.79999933551281e+002°)
8.51138038202374e-002	(7.48936080217975e+001dB,1.79999932003491e+002°)
8.70963589956078e-002	(7.48936080217642e+001dB,1.79999930419649e+002°)
8.91250938133743e-002	(7.48936080217332e+001dB,1.79999928798915e+002°)
9.12010839355907e-002	(7.48936080217009e+001dB,1.79999927140428e+002°)
9.33254300796988e-002	(7.48936080216637e+001dB,1.79999925443311e+002°)
9.54992586021433e-002	(7.48936080216251e+001dB,1.79999923706663e+002°)
9.77237220955808e-002	(7.48936080215885e+001dB,1.79999921929562e+002°)
9.99999999999997e-002	(7.48936080215469e+001dB,1.79999920111068e+002°)
1.02329299228075e-001	(7.48936080215001e+001dB,1.79999918250216e+002°)
1.04712854805090e-001	(7.48936080214551e+001dB,1.79999916346019e+002°)
1.07151930523760e-001	(7.48936080214119e+001dB,1.79999914397468e+002°)
1.09647819614318e-001	(7.48936080213597e+001dB,1.79999912403528e+002°)
1.12201845430196e-001	(7.48936080213091e+001dB,1.79999910363145e+002°)
1.14815362149688e-001	(7.48936080212564e+001dB,1.79999908275234e+002°)
1.17489755493953e-001	(7.48936080212016e+001dB,1.79999906138690e+002°)
1.20226443461741e-001	(7.48936080211410e+001dB,1.79999903952379e+002°)
1.23026877081238e-001	(7.48936080210816e+001dB,1.79999901715143e+002°)
1.25892541179416e-001	(7.48936080210127e+001dB,1.79999899425794e+002°)
1.28824955169313e-001	(7.48936080209447e+001dB,1.79999897083120e+002°)
